Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,44.200073,[ 22 114] ; [59 44],[46.09205021 89.90794979] ; [34.90794979 68.09205021],1
s3,1,0.0,41.319444,[ 34 102] ; [68 34],[58.28571429 77.71428571] ; [43.71428571 58.28571429],1
s7,1,0.0,40.893299,[ 16 111] ; [53 50],[38.1 88.9] ; [30.9 72.1],1
s8,1,0.0,31.446047,[ 15 122] ; [44 60],[ 33.53941909 103.46058091] ; [25.46058091 78.53941909],1
s5,1,0.0,28.918046,[ 10 122] ; [36 64],[ 26.17241379 105.82758621] ; [19.82758621 80.17241379],1
s4,1,4.4e-05,16.677598,[ 13 124] ; [31 72],[ 25.11666667 111.88333333] ; [18.88333333 84.11666667],1
r4,1,0.000106,15.035429,[90 47] ; [91 13],[102.89211618  34.10788382] ; [78.10788382 25.89211618],1
n6,1,0.000154,14.322649,[87 50] ; [88 15],[99.89583333 37.10416667] ; [75.10416667 27.89583333],1
p10,1,0.000497,12.128284,[72 62] ; [78 25],[84.81012658 49.18987342] ; [65.18987342 37.81012658],1
r3,1,0.000791,11.262718,[107  29] ; [97  6],[116.08368201  19.91631799] ; [87.91631799 15.08368201],1
v4,1,0.001732,9.814396,[106  29] ; [96  7],[114.57983193  20.42016807] ; [87.42016807 15.57983193],0
p9,1,0.00188,9.662868,[78 55] ; [78 22],[89.0472103 43.9527897] ; [66.9527897 33.0472103],0
r1,1,0.003069,8.766173,[79 58] ; [79 25],[89.81742739 47.18257261] ; [68.18257261 35.81742739],0
u1,1,0.004995,7.881279,[  9 128] ; [19 85],[ 15.91701245 121.08298755] ; [12.08298755 91.91701245],0
p2,1,0.005887,7.584652,[73 63] ; [74 30],[83.3 52.7] ; [63.7 40.3],0
a2,1,0.02903,4.765807,[ 17 120] ; [24 80],[ 23.30705394 113.69294606] ; [17.69294606 86.30705394],0
p11,1,0.03122,4.640831,[79 58] ; [74 30],[86.97510373 50.02489627] ; [66.02489627 37.97510373],0
p12,1,0.03126,4.638621,[  2 135] ; [ 7 96],[  5.1375 131.8625] ; [ 3.8625 99.1375],0
p7,1,0.041711,4.146889,[47 88] ; [48 52],[54.57446809 80.42553191] ; [40.42553191 59.57446809],0
u3,1,0.061562,3.494788,[22 39] ; [19 15],[26.32631579 34.67368421] ; [14.67368421 19.32631579],0
r2,1,0.062954,3.457804,[112  23] ; [94  9],[116.8487395  18.1512605] ; [89.1512605 13.8487395],0
a3,1,0.072354,3.228799,[76 60] ; [70 34],[82.73333333 53.26666667] ; [63.26666667 40.73333333],0
