Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.015117,5.902778,[ 1 11] ; [11 11],[4.23529412 7.76470588] ; [ 7.76470588 14.23529412],0
b1,1,0.06092,3.512149,[7 5] ; [ 6 17],[4.45714286 7.54285714] ; [ 8.54285714 14.45714286],0
d3,1,0.06092,3.512149,[5 7] ; [17  6],[7.54285714 4.45714286] ; [14.45714286  8.54285714],0
s5,1,0.081262,3.039474,[4 7] ; [15  7],[6.33333333 4.66666667] ; [12.66666667  9.33333333],0
d4,1,0.118826,2.432723,[7 5] ; [19  4],[8.91428571 3.08571429] ; [17.08571429  5.91428571],0
s7,1,0.149443,2.077922,[6 6] ; [15  5],[7.875 4.125] ; [13.125  6.875],0
r1,1,0.154324,2.028986,[8 4] ; [20  3],[9.6 2.4] ; [18.4  4.6],0
p7,1,0.174652,1.842553,[8 4] ; [19  3],[9.52941176 2.47058824] ; [17.47058824  4.52941176],0
r2,1,0.190732,1.711957,[9 3] ; [21  2],[10.28571429  1.71428571] ; [19.71428571  3.28571429],0
n5,1,0.212628,1.553442,[11  1] ; [17  6],[9.6 2.4] ; [18.4  4.6],0
s4,1,0.21656,1.527023,[ 2 10] ; [ 1 22],[ 1.02857143 10.97142857] ; [ 1.97142857 21.02857143],0
u2,1,0.303052,1.060714,[1 3] ; [4 3],[1.81818182 2.18181818] ; [3.18181818 3.81818182],0
u3,1,0.303052,1.060714,[1 3] ; [4 3],[1.81818182 2.18181818] ; [3.18181818 3.81818182],0
n4,1,0.31786,0.99773,[11  1] ; [18  5],[9.94285714 2.05714286] ; [19.05714286  3.94285714],0
s2,1,0.353588,0.860537,[3 9] ; [ 9 13],[4.23529412 7.76470588] ; [ 7.76470588 14.23529412],0
v3,1,0.353588,0.860537,[3 9] ; [ 9 13],[4.23529412 7.76470588] ; [ 7.76470588 14.23529412],0
a8,1,0.408937,0.681888,[ 1 11] ; [ 4 17],[ 1.81818182 10.18181818] ; [ 3.18181818 17.81818182],0
b4,1,0.410854,0.676329,[8 4] ; [12 11],[6.85714286 5.14285714] ; [13.14285714  9.85714286],0
s8,1,0.424427,0.638024,[4 8] ; [10 11],[5.09090909 6.90909091] ; [ 8.90909091 12.09090909],0
a1,1,0.467288,0.528382,[ 1 11] ; [ 4 19],[ 1.71428571 10.28571429] ; [ 3.28571429 19.71428571],0
a2,1,0.467288,0.528382,[ 1 11] ; [ 4 19],[ 1.71428571 10.28571429] ; [ 3.28571429 19.71428571],0
p8,1,0.502927,0.448754,[8 4] ; [17  5],[8.82352941 3.17647059] ; [16.17647059  5.82352941],0
p1,1,0.506379,0.441543,[5 7] ; [ 7 16],[4.11428571 7.88571429] ; [ 7.88571429 15.11428571],0
v4,1,0.512336,0.429293,[10  2] ; [20  2],[10.58823529  1.41176471] ; [19.41176471  2.58823529],0
n3,1,0.583882,0.3,[1 1] ; [7 3],[1.33333333 0.66666667] ; [6.66666667 3.33333333],0
a5,1,0.593231,0.285326,[9 3] ; [19  4],[9.6 2.4] ; [18.4  4.6],0
r3,1,0.64649,0.210354,[11  1] ; [19  3],[10.58823529  1.41176471] ; [19.41176471  2.58823529],0
p9,1,0.64649,0.210354,[11  1] ; [19  3],[10.58823529  1.41176471] ; [19.41176471  2.58823529],0
d1,1,0.713146,0.135154,[6 6] ; [10 13],[5.48571429 6.51428571] ; [10.51428571 12.48571429],0
