Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.001509,10.067125,[ 4 12] ; [33 14],[9.3968254 6.6031746] ; [27.6031746 19.3968254],0
p10,1,0.003096,8.750282,[12  4] ; [47  1],[14.75  1.25] ; [44.25  3.75],0
s5,1,0.004859,7.931163,[6 9] ; [34  9],[10.34482759  4.65517241] ; [29.65517241 13.34482759],0
v3,1,0.005933,7.57067,[ 5 11] ; [33 14],[9.65079365 6.34920635] ; [28.34920635 18.65079365],0
r4,1,0.008829,6.857143,[11  5] ; [45  3],[14.  2.] ; [42.  6.],0
n6,1,0.051194,3.801926,[12  3] ; [45  2],[13.79032258  1.20967742] ; [43.20967742  3.79032258],0
n2,1,0.052353,3.764444,[2 3] ; [8 1],[3.57142857 1.42857143] ; [6.42857143 2.57142857],0
s1,1,0.059779,3.543503,[ 3 13] ; [ 2 46],[ 1.25 14.75] ; [ 3.75 44.25],0
n5,1,0.059779,3.543503,[13  3] ; [46  2],[14.75  1.25] ; [44.25  3.75],0
p11,1,0.080856,3.047619,[12  4] ; [44  4],[14.  2.] ; [42.  6.],0
s2,1,0.086573,2.936973,[7 8] ; [34 14],[9.76190476 5.23809524] ; [31.23809524 16.76190476],0
p9,1,0.087793,2.91439,[14  2] ; [47  1],[15.25  0.75] ; [45.75  2.25],0
p1,1,0.108462,2.57649,[7 9] ; [11 37],[ 4.5 11.5] ; [13.5 34.5],0
r3,1,0.113301,2.507566,[12  3] ; [45  3],[13.57142857  1.42857143] ; [43.42857143  4.57142857],0
p12,1,0.141396,2.162703,[ 2 14] ; [15 33],[ 4.25 11.75] ; [12.75 35.25],0
b4,1,0.141714,2.159244,[12  4] ; [26 22],[9.5 6.5] ; [28.5 19.5],0
p4,1,0.145513,2.118666,[13  3] ; [44  3],[14.47619048  1.52380952] ; [42.52380952  4.47619048],0
s4,1,0.162429,1.951465,[ 1 15] ; [10 36],[ 2.83870968 13.16129032] ; [ 8.16129032 37.83870968],0
p8,1,0.209241,1.576672,[11  5] ; [40  8],[12.75  3.25] ; [38.25  9.75],0
s8,1,0.298496,1.080903,[8 7] ; [32 15],[9.67741935 5.32258065] ; [30.32258065 16.67741935],0
a7,1,0.335504,0.927536,[10  6] ; [36 12],[11.5  4.5] ; [34.5 13.5],0
n4,1,0.41981,0.650847,[14  2] ; [45  3],[14.75  1.25] ; [44.25  3.75],0
u2,1,0.427355,0.63,[1 1] ; [4 1],[1.42857143 0.57142857] ; [3.57142857 1.42857143],0
u1,1,0.429645,0.623782,[ 6 10] ; [13 35],[ 4.75 11.25] ; [14.25 33.75],0
s7,1,0.459416,0.547317,[12  3] ; [33 14],[10.88709677  4.11290323] ; [34.11290323 12.88709677],0
d3,1,0.473786,0.513132,[15  1] ; [41  6],[14.22222222  1.77777778] ; [41.77777778  5.22222222],0
a2,1,0.504985,0.444444,[ 5 11] ; [11 37],[ 4. 12.] ; [12. 36.],0
p7,1,0.559735,0.340164,[11  4] ; [37  9],[11.80327869  3.19672131] ; [36.19672131  9.80327869],0
b1,1,0.560624,0.338624,[ 6 10] ; [22 26],[7. 9.] ; [21. 27.],0
b5,1,0.560624,0.338624,[8 8] ; [20 28],[7. 9.] ; [21. 27.],0
a4,1,0.664852,0.187683,[9 7] ; [24 24],[8.25 7.75] ; [24.75 23.25],0
b3,1,0.686737,0.162641,[6 7] ; [20 18],[6.62745098 6.37254902] ; [19.37254902 18.62745098],0
b2,1,0.686737,0.162641,[6 7] ; [20 18],[6.62745098 6.37254902] ; [19.37254902 18.62745098],0
a1,1,0.690982,0.158025,[ 3 13] ; [ 7 41],[ 2.5 13.5] ; [ 7.5 40.5],0
r1,1,0.690982,0.158025,[13  3] ; [41  7],[13.5  2.5] ; [40.5  7.5],0
a5,1,0.690982,0.158025,[14  2] ; [40  8],[13.5  2.5] ; [40.5  7.5],0
p2,1,0.753713,0.098438,[13  2] ; [43  5],[13.33333333  1.66666667] ; [42.66666667  5.33333333],0
s3,1,0.758906,0.094199,[10  5] ; [34 14],[10.47619048  4.52380952] ; [33.52380952 14.47619048],0
p6,1,0.779663,0.078265,[8 7] ; [27 20],[8.46774194 6.53225806] ; [26.53225806 20.46774194],0
r2,1,0.787994,0.072316,[15  1] ; [44  4],[14.75  1.25] ; [44.25  3.75],0
n3,1,0.803017,0.062222,[2 3] ; [3 6],[1.78571429 3.21428571] ; [3.21428571 5.78571429],0
a3,1,0.817137,0.053467,[14  2] ; [43  5],[14.25  1.75] ; [42.75  5.25],0
n1,1,0.872081,0.025926,[3 2] ; [5 4],[2.85714286 2.14285714] ; [5.14285714 3.85714286],0
a6,1,0.960641,0.002435,[11  5] ; [32 15],[10.92063492  5.07936508] ; [32.07936508 14.92063492],0
d2,1,0.966324,0.001782,[12  4] ; [35 12],[11.93650794  4.06349206] ; [35.06349206 11.93650794],0
s6,1,0.970656,0.001353,[12  3] ; [37  9],[12.04918033  2.95081967] ; [36.95081967  9.04918033],0
p3,1,0.972,0.001232,[13  3] ; [38  9],[12.95238095  3.04761905] ; [38.04761905  8.95238095],0
