Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,75.109579,[ 3 40] ; [170  54],[27.86142322 15.13857678] ; [145.13857678  78.86142322],1
d5,1,0.0,67.190555,[17 26] ; [204  20],[35.5917603  7.4082397] ; [185.4082397  38.5917603],1
d3,1,0.0,40.038542,[13 29] ; [177  47],[30. 12.] ; [160.  64.],1
d2,1,2.3e-05,17.962751,[10 33] ; [131  93],[22.70786517 20.29213483] ; [118.29213483 105.70786517],1
r4,1,0.000187,13.957658,[33 10] ; [211  13],[39.29588015  3.70411985] ; [204.70411985  19.29588015],1
a3,1,0.000252,13.399746,[23 20] ; [177  45],[32.45283019 10.54716981] ; [167.54716981  54.45283019],1
a2,1,0.002033,9.519133,[ 3 40] ; [ 66 158],[11.11235955 31.88764045] ; [ 57.88764045 166.11235955],0
r3,1,0.002783,8.944866,[37  6] ; [214   7],[40.88257576  2.11742424] ; [210.11742424  10.88257576],0
p1,1,0.003601,8.474888,[12 31] ; [ 25 199],[ 5.9588015 37.0411985] ; [ 31.0411985 192.9588015],0
u1,1,0.004374,8.121445,[ 3 40] ; [ 61 163],[10.3071161 32.6928839] ; [ 53.6928839 170.3071161],0
v1,1,0.005397,7.741393,[20 23] ; [151  69],[27.9581749 15.0418251] ; [143.0418251  76.9581749],0
a4,1,0.006078,7.527055,[13 29] ; [121 103],[21.15789474 20.84210526] ; [112.84210526 111.15789474],0
s6,1,0.00916,6.791282,[25 16] ; [173  44],[31.46511628  9.53488372] ; [166.53488372  50.46511628],0
p9,1,0.011065,6.454912,[36  7] ; [211  12],[39.92857143  3.07142857] ; [207.07142857  15.92857143],0
a5,1,0.011276,6.421301,[26 17] ; [176  48],[32.53183521 10.46816479] ; [169.46816479  54.53183521],0
p2,1,0.016089,5.793159,[35  8] ; [208  16],[39.13483146  3.86516854] ; [203.86516854  20.13483146],0
r1,1,0.018321,5.565189,[30 13] ; [189  34],[35.40225564  7.59774436] ; [183.59774436  39.40225564],0
s2,1,0.021095,5.318961,[20 23] ; [144  77],[26.71212121 16.28787879] ; [137.28787879  83.71212121],0
s8,1,0.030727,4.668161,[19 24] ; [138  85],[25.37969925 17.62030075] ; [131.62030075  91.37969925],0
v4,1,0.037649,4.320812,[39  4] ; [216   6],[41.37735849  1.62264151] ; [213.62264151   8.37735849],0
n6,1,0.058233,3.587011,[37  6] ; [210  13],[39.92857143  3.07142857] ; [207.07142857  15.92857143],0
a7,1,0.061155,3.505782,[26 17] ; [166  57],[31.03759398 11.96240602] ; [160.96240602  62.03759398],0
p4,1,0.064137,3.42704,[31 12] ; [188  36],[35.26966292  7.73033708] ; [183.73033708  40.26966292],0
r2,1,0.065479,3.392869,[39  4] ; [214   7],[41.20833333  1.79166667] ; [211.79166667   9.20833333],0
p11,1,0.113289,2.507736,[32 11] ; [189  35],[35.5917603  7.4082397] ; [185.4082397  38.5917603],0
a1,1,0.160106,1.973228,[ 1 42] ; [ 19 205],[ 3.22097378 39.77902622] ; [ 16.77902622 207.22097378],0
s3,1,0.199529,1.645815,[23 19] ; [144  77],[26.66920152 15.33079848] ; [140.33079848  80.66920152],0
p8,1,0.214095,1.54352,[28 15] ; [165  57],[31.31698113 11.68301887] ; [161.68301887  60.31698113],0
s4,1,0.231667,1.430594,[ 5 37] ; [ 43 175],[ 7.75384615 34.24615385] ; [ 40.24615385 177.75384615],0
s5,1,0.268401,1.224899,[15 26] ; [ 97 114],[18.22222222 22.77777778] ; [ 93.77777778 117.22222222],0
u3,1,0.272282,1.205217,[ 9 11] ; [28 19],[11.04477612  8.95522388] ; [25.95522388 21.04477612],0
u2,1,0.293836,1.101962,[13  7] ; [24 23],[11.04477612  8.95522388] ; [25.95522388 21.04477612],0
p10,1,0.319524,0.990895,[35  7] ; [198  25],[36.92830189  5.07169811] ; [196.07169811  26.92830189],0
v2,1,0.371937,0.797182,[23 19] ; [136  83],[25.5862069 16.4137931] ; [133.4137931  85.5862069],0
