Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2.2e-05,17.980024,[189  31] ; [11 11],[181.81818182  38.18181818] ; [18.18181818  3.81818182],1
d5,1,0.003746,8.402778,[185  35] ; [13  9],[180.  40.] ; [18.  4.],0
n4,1,0.012764,6.201541,[188  32] ; [15  8],[183.78600823  36.21399177] ; [19.21399177  3.78600823],0
p11,1,0.014162,6.017787,[181  39] ; [14  9],[176.54320988  43.45679012] ; [18.45679012  4.54320988],0
d3,1,0.025496,4.989848,[182  37] ; [14  8],[178.10788382  40.89211618] ; [17.89211618  4.10788382],0
p9,1,0.034569,4.466357,[202  18] ; [18  5],[199.17695473  20.82304527] ; [20.82304527  2.17695473],0
s6,1,0.037413,4.331534,[152  62] ; [21  2],[156.21097046  57.78902954] ; [16.78902954  6.21097046],0
s1,1,0.040503,4.1967,[  8 210] ; [ 3 20],[  9.95020747 208.04979253] ; [ 1.04979253 21.95020747],0
p7,1,0.067734,3.337101,[181  33] ; [16  7],[177.88185654  36.11814346] ; [19.11814346  3.88185654],0
a2,1,0.081294,3.038844,[ 78 142] ; [ 4 19],[ 74.23868313 145.76131687] ; [ 7.76131687 15.23868313],0
a4,1,0.110411,2.548332,[115 105] ; [ 8 15],[111.35802469 108.64197531] ; [11.64197531 11.35802469],0
d1,1,0.133354,2.253022,[149  71] ; [12 11],[145.76131687  74.23868313] ; [15.23868313  7.76131687],0
v2,1,0.13556,2.227649,[132  84] ; [17  5],[135.22689076  80.77310924] ; [13.77310924  8.22689076],0
s2,1,0.163939,1.937513,[128  89] ; [17  6],[131.10416667  85.89583333] ; [13.89583333  9.10416667],0
n5,1,0.184191,1.763483,[177  41] ; [16  7],[174.58091286  43.41908714] ; [18.41908714  4.58091286],0
a3,1,0.18655,1.744658,[169  49] ; [15  8],[166.43983402  51.56016598] ; [17.56016598  5.43983402],0
d4,1,0.192518,1.698246,[192  28] ; [17  5],[190.  30.] ; [19.  3.],0
p3,1,0.194851,1.680556,[150  70] ; [12 10],[147.27272727  72.72727273] ; [14.72727273  7.27272727],0
b3,1,0.203305,1.618471,[63 73] ; [ 4 10],[60.74666667 75.25333333] ; [6.25333333 7.74666667],0
b2,1,0.203305,1.618471,[63 73] ; [ 4 10],[60.74666667 75.25333333] ; [6.25333333 7.74666667],0
b5,1,0.215101,1.536759,[144  76] ; [18  5],[146.66666667  73.33333333] ; [15.33333333  7.66666667],0
u1,1,0.218698,1.512891,[ 65 155] ; [ 4 19],[ 62.4691358 157.5308642] ; [ 6.5308642 16.4691358],0
r4,1,0.232089,1.428012,[206  14] ; [20  3],[204.6090535  15.3909465] ; [21.3909465  1.6090535],0
p10,1,0.233916,1.41689,[191  28] ; [18  5],[189.13636364  29.86363636] ; [19.86363636  3.13636364],0
a5,1,0.292528,1.107951,[174  46] ; [16  7],[172.01646091  47.98353909] ; [17.98353909  5.01646091],0
n1,1,0.332922,0.9375,[17 23] ; [1 4],[16. 24.] ; [2. 3.],0
n3,1,0.371723,0.797897,[32  9] ; [3 2],[31.19565217  9.80434783] ; [3.80434783 1.19565217],0
