Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,3.7e-05,16.994526,[ 90 135] ; [39 16],[103.66071429 121.33928571] ; [25.33928571 29.66071429],1
n4,1,0.000446,12.327088,[207  26] ; [44 18],[198.24745763  34.75254237] ; [52.75254237  9.24745763],1
n6,1,0.000472,12.221938,[216  15] ; [48 13],[208.84931507  22.15068493] ; [55.15068493  5.84931507],1
v3,1,0.006287,7.466241,[109 118] ; [17 43],[ 99.65853659 127.34146341] ; [26.34146341 33.65853659],0
s2,1,0.010447,6.557028,[134  97] ; [47 15],[142.6996587  88.3003413] ; [38.3003413 23.6996587],0
n5,1,0.011034,6.459868,[199  32] ; [45 17],[192.36860068  38.63139932] ; [51.63139932 10.36860068],0
a8,1,0.015811,5.823744,[ 37 171] ; [ 3 56],[ 31.16104869 176.83895131] ; [ 8.83895131 50.16104869],0
v2,1,0.025034,5.021511,[147  82] ; [29 31],[139.46020761  89.53979239] ; [36.53979239 23.46020761],0
d3,1,0.035085,4.441036,[162  69] ; [51 10],[168.50342466  62.49657534] ; [44.49657534 16.50342466],0
r3,1,0.04024,4.207741,[226   6] ; [56  5],[223.29010239   8.70989761] ; [58.70989761  2.29010239],0
v1,1,0.042447,4.117294,[153  77] ; [32 29],[146.21993127  83.78006873] ; [38.78006873 22.21993127],0
d1,1,0.078865,3.088146,[149  84] ; [47 15],[154.80677966  78.19322034] ; [41.19322034 20.80677966],0
s6,1,0.08577,2.952031,[169  58] ; [51  9],[174.00696864  52.99303136] ; [45.99303136 14.00696864],0
s3,1,0.126784,2.331448,[135  95] ; [43 19],[140.20547945  89.79452055] ; [37.79452055 24.20547945],0
s7,1,0.143663,2.138278,[137  84] ; [44 17],[141.84751773  79.15248227] ; [39.15248227 21.84751773],0
a1,1,0.153522,2.036906,[ 20 213] ; [ 2 60],[ 17.37627119 215.62372881] ; [ 4.62372881 57.37627119],0
p1,1,0.166337,1.915654,[ 29 203] ; [12 50],[ 32.3537415 199.6462585] ; [ 8.6462585 53.3537415],0
p2,1,0.20261,1.62346,[212  21] ; [53  9],[209.30508475  23.69491525] ; [55.69491525  6.30508475],0
s1,1,0.205578,1.602295,[  7 225] ; [ 4 58],[  8.68027211 223.31972789] ; [ 2.31972789 59.68027211],0
p11,1,0.214964,1.537677,[196  37] ; [48 14],[192.71864407  40.28135593] ; [51.28135593 10.71864407],0
d2,1,0.221543,1.494347,[122 110] ; [38 24],[126.2585034 105.7414966] ; [33.7414966 28.2585034],0
d4,1,0.238585,1.388934,[195  36] ; [56  6],[197.88737201  33.11262799] ; [53.11262799  8.88737201],0
b5,1,0.267669,1.228656,[136  97] ; [41 21],[139.8  93.2] ; [37.2 24.8],0
a3,1,0.284959,1.143286,[179  52] ; [44 18],[175.81228669  55.18771331] ; [47.18771331 14.81228669],0
b3,1,0.289563,1.121653,[74 78] ; [14 22],[71.14893617 80.85106383] ; [16.85106383 19.14893617],0
b2,1,0.289563,1.121653,[74 78] ; [14 22],[71.14893617 80.85106383] ; [16.85106383 19.14893617],0
a4,1,0.29853,1.080747,[118 115] ; [36 26],[121.63389831 111.36610169] ; [32.36610169 29.63389831],0
u1,1,0.3195,0.990994,[ 50 183] ; [17 45],[ 52.91864407 180.08135593] ; [14.08135593 47.91864407],0
u2,1,0.331491,0.943063,[34 20] ; [9 9],[32.25 21.75] ; [10.75  7.25],0
b4,1,0.348857,0.877612,[135  98] ; [40 22],[138.22033898  94.77966102] ; [36.77966102 25.22033898],0
p5,1,0.354105,0.858691,[ 50 183] ; [10 52],[ 47.38983051 185.61016949] ; [12.61016949 49.38983051],0
p4,1,0.418173,0.655443,[188  44] ; [53  9],[190.17687075  41.82312925] ; [50.82312925 11.17687075],0
p8,1,0.424578,0.637608,[160  72] ; [46 16],[162.55782313  69.44217687] ; [43.44217687 18.55782313],0
u4,1,0.458827,0.548754,[  8 225] ; [ 1 61],[  7.10847458 225.89152542] ; [ 1.89152542 60.10847458],0
p3,1,0.493723,0.468402,[154  78] ; [44 18],[156.24489796  75.75510204] ; [41.75510204 20.24489796],0
a6,1,0.520601,0.412702,[154  77] ; [44 18],[156.10238908  74.89761092] ; [41.89761092 20.10238908],0
n2,1,0.538262,0.37877,[32 15] ; [10  3],[32.9 14.1] ; [9.1 3.9],0
r1,1,0.597073,0.279433,[191  42] ; [49 13],[189.55932203  43.44067797] ; [50.44067797 11.55932203],0
b1,1,0.64235,0.215682,[ 94 139] ; [23 39],[ 92.41016949 140.58983051] ; [24.58983051 37.41016949],0
s8,1,0.685461,0.164043,[135  96] ; [38 24],[136.39249147  94.60750853] ; [36.60750853 25.39249147],0
u3,1,0.705358,0.142958,[35 18] ; [11  7],[34.33802817 18.66197183] ; [11.66197183  6.33802817],0
p7,1,0.719195,0.129266,[190  38] ; [52  9],[190.92041522  37.07958478] ; [51.07958478  9.92041522],0
a2,1,0.754589,0.097715,[ 63 170] ; [18 44],[ 63.97627119 169.02372881] ; [17.02372881 44.97627119],0
p12,1,0.789694,0.071133,[ 33 199] ; [ 8 54],[ 32.3537415 199.6462585] ; [ 8.6462585 53.3537415],0
n1,1,0.791129,0.070143,[20 27] ; [5 8],[19.58333333 27.41666667] ; [5.41666667 7.58333333],0
a5,1,0.791186,0.070104,[184  49] ; [48 14],[183.24067797  49.75932203] ; [48.75932203 13.24067797],0
a7,1,0.804306,0.061394,[171  61] ; [44 17],[170.23890785  61.76109215] ; [44.76109215 16.23890785],0
v4,1,0.80966,0.058016,[223   9] ; [60  2],[223.31972789   8.68027211] ; [59.68027211  2.31972789],0
d5,1,0.811146,0.057096,[196  35] ; [51 10],[195.40068493  35.59931507] ; [51.59931507  9.40068493],0
r4,1,0.837825,0.041892,[216  17] ; [57  5],[215.62372881  17.37627119] ; [57.37627119  4.62372881],0
r2,1,0.939362,0.005787,[222   8] ; [59  2],[222.09621993   7.90378007] ; [58.90378007  2.09621993],0
p10,1,0.974497,0.001022,[213  19] ; [57  5],[213.06122449  18.93877551] ; [56.93877551  5.06122449],0
n3,1,0.981551,0.000535,[32 14] ; [9 4],[31.96610169 14.03389831] ; [9.03389831 3.96610169],0
