Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,22.966284,[23 85] ; [30 20],[36.2278481 71.7721519] ; [16.7721519 33.2278481],1
s3,1,8.5e-05,15.44372,[33 74] ; [32 18],[44.29936306 62.70063694] ; [20.70063694 29.29936306],1
s6,1,0.002926,8.852838,[37 72] ; [29 20],[45.53164557 63.46835443] ; [20.46835443 28.53164557],0
v3,1,0.012607,6.223419,[27 76] ; [22 25],[33.64666667 69.35333333] ; [15.35333333 31.64666667],0
s8,1,0.021169,5.312818,[22 87] ; [19 32],[27.93125 81.06875] ; [13.06875 37.93125],0
u3,1,0.0252,5.010101,[18 26] ; [13  5],[22. 22.] ; [9. 9.],0
s7,1,0.026581,4.917851,[23 78] ; [19 28],[28.66216216 72.33783784] ; [13.33783784 33.66216216],0
p11,1,0.035949,4.399505,[49 60] ; [32 19],[55.18125 53.81875] ; [25.81875 25.18125],0
n2,1,0.060941,3.51159,[27 20] ; [17  4],[30.41176471 16.58823529] ; [13.58823529  7.41176471],0
p9,1,0.065443,3.393778,[48 56] ; [31 19],[53.35064935 50.64935065] ; [25.64935065 24.35064935],0
s4,1,0.075071,3.168504,[16 93] ; [13 36],[20.00632911 88.99367089] ; [ 8.99367089 40.00632911],0
r3,1,0.113675,2.502367,[79 30] ; [42  8],[82.94968553 26.05031447] ; [38.05031447 11.94968553],0
v4,1,0.113675,2.502367,[79 30] ; [42  8],[82.94968553 26.05031447] ; [38.05031447 11.94968553],0
b5,1,0.113775,2.500987,[56 53] ; [33 18],[60.63125 48.36875] ; [28.36875 22.63125],0
n3,1,0.170035,1.882631,[23 20] ; [15  6],[25.53125 17.46875] ; [12.46875  8.53125],0
d5,1,0.186843,1.742336,[75 33] ; [30 21],[71.32075472 36.67924528] ; [33.67924528 17.32075472],0
b1,1,0.189865,1.718667,[57 52] ; [21 30],[53.1375 55.8625] ; [24.8625 26.1375],0
r4,1,0.195347,1.676827,[70 39] ; [38 13],[73.575 35.425] ; [34.425 16.575],0
