Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,51.273314,[19 62] ; [54 11],[40.5 40.5] ; [32.5 32.5],1
d3,1,0.0,42.977895,[24 57] ; [56 11],[43.78378378 37.21621622] ; [36.21621622 30.78378378],1
d4,1,0.0,37.734557,[41 40] ; [63  2],[57.69863014 23.30136986] ; [46.30136986 18.69863014],1
d5,1,0.0,30.243695,[43 38] ; [63  4],[58.01351351 22.98648649] ; [47.98648649 19.01351351],1
a2,1,2e-06,22.167694,[ 3 78] ; [22 45],[13.68243243 67.31756757] ; [11.31756757 55.68243243],1
u1,1,8e-06,19.999937,[ 1 80] ; [17 50],[ 9.85135135 71.14864865] ; [ 8.14864865 58.85135135],1
a4,1,2.5e-05,17.763541,[17 64] ; [36 30],[29.20408163 51.79591837] ; [23.79591837 42.20408163],1
a7,1,0.001048,10.740316,[38 42] ; [49 17],[47.67123288 32.32876712] ; [39.32876712 26.67123288],0
a5,1,0.001057,10.72441,[39 42] ; [50 17],[48.70945946 32.29054054] ; [40.29054054 26.70945946],0
a3,1,0.004916,7.909903,[39 41] ; [48 19],[47.34693878 32.65306122] ; [39.65306122 27.34693878],0
a6,1,0.015996,5.803363,[41 40] ; [47 20],[48.16216216 32.83783784] ; [39.83783784 27.16216216],0
v2,1,0.025351,4.999743,[23 55] ; [31 34],[29.45454545 48.54545455] ; [24.54545455 40.45454545],0
n6,1,0.044218,4.048204,[44 36] ; [47 19],[49.8630137 30.1369863] ; [41.1369863 24.8630137],0
n3,1,0.057964,3.594695,[18  9] ; [12 17],[14.46428571 12.53571429] ; [15.53571429 13.46428571],0
r2,1,0.072232,3.231565,[64 16] ; [59  6],[67.86206897 12.13793103] ; [55.13793103  9.86206897],0
p8,1,0.076943,3.12832,[14 66] ; [20 47],[18.50340136 61.49659864] ; [15.49659864 51.50340136],0
s7,1,0.104407,2.636908,[15 61] ; [20 43],[19.13669065 56.86330935] ; [15.86330935 47.13669065],0
b4,1,0.127219,2.32612,[47 34] ; [47 20],[51.44594595 29.55405405] ; [42.55405405 24.44594595],0
s1,1,0.135288,2.230749,[ 9 71] ; [ 3 64],[ 6.53061224 73.46938776] ; [ 5.46938776 61.53061224],0
s5,1,0.161046,1.964375,[11 70] ; [15 52],[14.22972973 66.77027027] ; [11.77027027 55.22972973],0
n2,1,0.184927,1.757576,[19 10] ; [14 15],[16.5 12.5] ; [16.5 12.5],0
p3,1,0.187367,1.738199,[25 56] ; [14 52],[21.48979592 59.51020408] ; [17.51020408 48.48979592],0
r3,1,0.246033,1.345692,[59 21] ; [54 12],[61.91780822 18.08219178] ; [51.08219178 14.91780822],0
r1,1,0.24927,1.327388,[54 26] ; [51 16],[57.14285714 22.85714286] ; [47.85714286 19.14285714],0
v3,1,0.295605,1.093919,[28 50] ; [18 47],[25.09090909 52.90909091] ; [20.90909091 44.09090909],0
p10,1,0.318215,0.99627,[17 63] ; [19 48],[19.59183673 60.40816327] ; [16.40816327 50.59183673],0
u3,1,0.339563,0.912081,[21 21] ; [12  7],[22.72131148 19.27868852] ; [10.27868852  8.72131148],0
s2,1,0.350047,0.873286,[21 59] ; [22 44],[23.56164384 56.43835616] ; [19.43835616 46.56164384],0
p5,1,0.402118,0.701984,[ 3 77] ; [ 1 66],[ 2.17687075 77.82312925] ; [ 1.82312925 65.17687075],0
s8,1,0.44734,0.577383,[13 68] ; [14 53],[14.77702703 66.22297297] ; [12.22297297 54.77702703],0
b5,1,0.459084,0.548128,[41 40] ; [38 29],[43.23648649 37.76351351] ; [35.76351351 31.23648649],0
p11,1,0.462713,0.539325,[35 46] ; [33 34],[37.21621622 43.78378378] ; [30.78378378 36.21621622],0
n5,1,0.468555,0.525383,[43 37] ; [40 27],[45.17006803 34.82993197] ; [37.82993197 29.17006803],0
s4,1,0.519775,0.41434,[14 67] ; [ 9 58],[12.58783784 68.41216216] ; [10.41216216 56.58783784],0
p7,1,0.561696,0.336776,[30 49] ; [22 44],[28.33103448 50.66896552] ; [23.66896552 42.33103448],0
n1,1,0.573618,0.316667,[10 17] ; [ 9 21],[ 9. 18.] ; [10. 20.],0
s3,1,0.583257,0.300998,[33 46] ; [25 42],[31.38356164 47.61643836] ; [26.61643836 40.38356164],0
p4,1,0.624395,0.239739,[26 54] ; [24 42],[27.39726027 52.60273973] ; [22.60273973 43.39726027],0
s6,1,0.64214,0.215954,[32 49] ; [29 38],[33.38513514 47.61486486] ; [27.61486486 39.38513514],0
n4,1,0.652685,0.202531,[53 27] ; [42 25],[51.70068027 28.29931973] ; [43.29931973 23.70068027],0
u2,1,0.665112,0.187373,[18 23] ; [9 9],[18.76271186 22.23728814] ; [8.23728814 9.76271186],0
v1,1,0.674858,0.175972,[24 57] ; [22 45],[25.17567568 55.82432432] ; [20.82432432 46.17567568],0
r4,1,0.705421,0.142893,[52 29] ; [45 22],[53.08783784 27.91216216] ; [43.91216216 23.08783784],0
p2,1,0.753,0.099028,[39 42] ; [34 33],[39.9527027 41.0472973] ; [33.0472973 33.9527027],0
b2,1,0.773564,0.082781,[13 34] ; [11 33],[12.3956044 34.6043956] ; [11.6043956 32.3956044],0
b3,1,0.773564,0.082781,[13 34] ; [11 33],[12.3956044 34.6043956] ; [11.6043956 32.3956044],0
v4,1,0.82011,0.051713,[61 18] ; [52 14],[61.56551724 17.43448276] ; [51.43448276 14.56551724],0
a8,1,0.82754,0.047462,[ 6 70] ; [ 4 54],[ 5.67164179 70.32835821] ; [ 4.32835821 53.67164179],0
p1,1,0.943806,0.004968,[ 5 75] ; [ 4 63],[ 4.89795918 75.10204082] ; [ 4.10204082 62.89795918],0
b1,1,0.962591,0.0022,[42 39] ; [35 32],[42.14189189 38.85810811] ; [34.85810811 32.14189189],0
a1,1,0.989818,0.000163,[ 6 75] ; [ 5 62],[ 6.02027027 74.97972973] ; [ 4.97972973 62.02027027],0
