Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.00107,10.703202,[2 2] ; [  8 121],[0.30075188 3.69924812] ; [  9.69924812 119.30075188],0
s1,1,0.001103,10.645877,[2 2] ; [  9 133],[0.30136986 3.69863014] ; [ 10.69863014 131.30136986],0
p3,1,0.026882,4.898401,[3 1] ; [ 36 106],[1.06849315 2.93150685] ; [ 37.93150685 104.06849315],0
v3,1,0.064742,3.411544,[3 1] ; [43 95],[1.29577465 2.70422535] ; [44.70422535 93.29577465],0
s5,1,0.085933,2.948966,[2 2] ; [ 24 119],[0.70748299 3.29251701] ; [ 25.29251701 117.70748299],0
p1,1,0.112234,2.522475,[1 3] ; [  8 134],[0.24657534 3.75342466] ; [  8.75342466 133.24657534],0
s6,1,0.167945,1.90119,[3 1] ; [58 85],[1.65986395 2.34013605] ; [59.34013605 83.65986395],0
p4,1,0.223827,1.479664,[2 1] ; [47 95],[1.0137931 1.9862069] ; [47.9862069 94.0137931],0
d2,1,0.303904,1.056984,[3 1] ; [69 72],[1.9862069 2.0137931] ; [70.0137931 70.9862069],0
d4,1,0.327888,0.957222,[2 2] ; [102  39],[2.86896552 1.13103448] ; [101.13103448  39.86896552],0
b1,1,0.344422,0.893903,[3 1] ; [73 70],[2.06802721 1.93197279] ; [73.93197279 69.06802721],0
d1,1,0.402118,0.701984,[1 3] ; [66 77],[1.82312925 2.17687075] ; [65.17687075 77.82312925],0
a3,1,0.507045,0.44016,[3 1] ; [83 59],[2.35616438 1.64383562] ; [83.64383562 58.35616438],0
a5,1,0.531212,0.392073,[3 1] ; [85 58],[2.39455782 1.60544218] ; [85.60544218 57.39455782],0
a6,1,0.531212,0.392073,[3 1] ; [85 58],[2.39455782 1.60544218] ; [85.60544218 57.39455782],0
p7,1,0.536246,0.382543,[2 2] ; [49 91],[1.41666667 2.58333333] ; [49.58333333 90.41666667],0
r2,1,0.549403,0.358387,[3 1] ; [120  20],[3.41666667 0.58333333] ; [119.58333333  20.41666667],0
b4,1,0.5559,0.346853,[2 2] ; [92 51],[2.55782313 1.44217687] ; [91.44217687 51.55782313],0
a4,1,0.652997,0.202142,[1 3] ; [51 91],[1.42465753 2.57534247] ; [50.57534247 91.42465753],0
s3,1,0.657135,0.197022,[2 2] ; [55 86],[1.57241379 2.42758621] ; [55.42758621 85.57241379],0
r4,1,0.699643,0.148844,[3 1] ; [94 49],[2.63945578 1.36054422] ; [94.36054422 48.63945578],0
a7,1,0.700695,0.147749,[2 2] ; [84 57],[2.37241379 1.62758621] ; [83.62758621 57.37241379],0
s8,1,0.728337,0.120644,[1 3] ; [ 26 117],[0.73469388 3.26530612] ; [ 26.26530612 116.73469388],0
v1,1,0.783175,0.075726,[1 3] ; [45 98],[1.25170068 2.74829932] ; [44.74829932 98.25170068],0
n2,1,0.81793,0.052996,[1 1] ; [32 23],[1.15789474 0.84210526] ; [31.84210526 23.15789474],0
s2,1,0.836232,0.042731,[1 3] ; [42 99],[1.1862069 2.8137931] ; [41.8137931 99.1862069],0
d3,1,0.857127,0.032412,[2 2] ; [78 65],[2.17687075 1.82312925] ; [77.82312925 65.17687075],0
v4,1,0.863945,0.029363,[3 1] ; [110  30],[3.13888889 0.86111111] ; [109.86111111  30.13888889],0
p11,1,0.879057,0.023154,[2 2] ; [66 77],[1.85034014 2.14965986] ; [66.14965986 76.85034014],0
r3,1,0.886019,0.020547,[3 1] ; [110  31],[3.11724138 0.88275862] ; [109.88275862  31.11724138],0
r1,1,0.889381,0.019345,[3 1] ; [102  40],[2.87671233 1.12328767] ; [102.12328767  39.87671233],0
d5,1,0.895991,0.01709,[3 1] ; [103  40],[2.88435374 1.11564626] ; [103.11564626  39.88435374],0
p8,1,0.928315,0.008094,[1 3] ; [ 33 110],[0.92517007 3.07482993] ; [ 33.07482993 109.92517007],0
n3,1,0.937273,0.006193,[1 1] ; [28 25],[1.05454545 0.94545455] ; [27.94545455 25.05454545],0
b2,1,0.938535,0.005946,[1 3] ; [23 63],[1.06666667 2.93333333] ; [22.93333333 63.06666667],0
b3,1,0.938535,0.005946,[1 3] ; [23 63],[1.06666667 2.93333333] ; [22.93333333 63.06666667],0
s7,1,0.986515,0.000286,[1 3] ; [ 34 100],[1.01449275 2.98550725] ; [ 33.98550725 100.01449275],0
