Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4.5e-05,16.646675,[249 136] ; [68  9],[264.16666667 120.83333333] ; [52.83333333 24.16666667],1
s2,1,0.00011,14.963098,[187 204] ; [56 22],[202.58635394 188.41364606] ; [40.41364606 37.58635394],1
a8,1,0.0006,11.777013,[ 68 290] ; [ 2 71],[ 58.14385151 299.85614849] ; [11.85614849 61.14385151],1
s5,1,0.000738,11.390271,[134 253] ; [41 33],[146.90889371 240.09110629] ; [28.09110629 45.90889371],1
s3,1,0.001502,10.075792,[212 174] ; [58 20],[224.61206897 161.38793103] ; [45.38793103 32.61206897],0
s7,1,0.006556,7.390775,[196 178] ; [54 24],[206.85840708 167.14159292] ; [43.14159292 34.85840708],0
b3,1,0.010959,6.472014,[112 152] ; [11 37],[104.07692308 159.92307692] ; [18.92307692 29.07692308],0
b2,1,0.010959,6.472014,[112 152] ; [11 37],[104.07692308 159.92307692] ; [18.92307692 29.07692308],0
v2,1,0.020543,5.365111,[245 137] ; [38 38],[236.03930131 145.96069869] ; [46.96069869 29.03930131],0
r4,1,0.031549,4.622833,[367  27] ; [67 11],[362.27966102  31.72033898] ; [71.72033898  6.27966102],0
v3,1,0.062711,3.464204,[175 207] ; [26 50],[167.64628821 214.35371179] ; [33.35371179 42.64628821],0
p6,1,0.065105,3.402323,[179 208] ; [45 33],[186.42580645 200.57419355] ; [37.57419355 40.42580645],0
a7,1,0.076426,3.139312,[286 107] ; [49 29],[279.52229299 113.47770701] ; [55.47770701 22.52229299],0
n4,1,0.079334,3.078499,[322  72] ; [57 21],[316.36864407  77.63135593] ; [62.63135593 15.36864407],0
r2,1,0.086016,2.947394,[366  20] ; [70  8],[362.70689655  23.29310345] ; [73.29310345  4.70689655],0
a5,1,0.127872,2.318147,[300  94] ; [53 25],[294.66525424  99.33474576] ; [58.33474576 19.66525424],0
a3,1,0.136827,2.213282,[294  99] ; [52 26],[288.70063694 104.29936306] ; [57.29936306 20.70063694],0
u2,1,0.166223,1.916677,[60 38] ; [12 14],[56.90322581 41.09677419] ; [15.09677419 10.90322581],0
s1,1,0.167865,1.901907,[  9 380] ; [ 4 74],[ 10.82869379 378.17130621] ; [ 2.17130621 75.82869379],0
s8,1,0.172412,1.861844,[192 198] ; [45 33],[197.5 192.5] ; [39.5 38.5],0
r1,1,0.242878,1.363814,[328  64] ; [61 17],[324.44255319  67.55744681] ; [64.55744681 13.44255319],0
n2,1,0.271386,1.209729,[52 19] ; [13  2],[53.6627907 17.3372093] ; [11.3372093  3.6627907],0
p3,1,0.303534,1.058603,[237 155] ; [52 26],[241.03829787 150.96170213] ; [47.96170213 30.03829787],0
p4,1,0.373839,0.790865,[277 115] ; [59 19],[280.23829787 111.76170213] ; [55.76170213 22.23829787],0
n5,1,0.431661,0.618351,[306  86] ; [64 14],[308.59574468  83.40425532] ; [61.40425532 16.59574468],0
v1,1,0.432348,0.616507,[228 156] ; [42 35],[224.90238612 159.09761388] ; [45.09761388 31.90238612],0
a1,1,0.435319,0.608591,[ 24 370] ; [ 3 75],[ 22.53813559 371.46186441] ; [ 4.46186441 73.53813559],0
p5,1,0.437508,0.602809,[ 64 328] ; [10 68],[ 61.71914894 330.28085106] ; [12.28085106 65.71914894],0
