Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000121,14.780594,[356  11] ; [23  5],[352.13417722  14.86582278] ; [26.86582278  1.13417722],1
n4,1,0.000135,14.565106,[307  63] ; [15 13],[299.34673367  70.65326633] ; [22.65326633  5.34673367],1
p9,1,0.000156,14.296421,[337  34] ; [19  9],[331.01754386  39.98245614] ; [24.98245614  3.01754386],1
r1,1,0.000185,13.976118,[312  56] ; [16 12],[304.80808081  63.19191919] ; [23.19191919  4.80808081],1
p10,1,0.000424,12.425491,[332  37] ; [19  9],[326.24433249  42.75566751] ; [24.75566751  3.24433249],1
d3,1,0.000585,11.822538,[282  89] ; [13 15],[274.29824561  96.70175439] ; [20.70175439  7.29824561],1
r2,1,0.000681,11.539776,[347  19] ; [22  6],[342.77664975  23.22335025] ; [26.22335025  1.77664975],1
r4,1,0.000859,11.108733,[345  26] ; [21  7],[340.31578947  30.68421053] ; [25.68421053  2.31578947],1
a6,1,0.001765,9.779607,[264 107] ; [12 16],[256.63157895 114.36842105] ; [19.36842105  8.63157895],0
a7,1,0.00327,8.650439,[279  91] ; [14 14],[272.38693467  97.61306533] ; [20.61306533  7.38693467],0
a2,1,0.003451,8.552458,[108 263] ; [ 1 27],[101.35087719 269.64912281] ; [ 7.64912281 20.35087719],0
r3,1,0.006808,7.32286,[355  13] ; [24  4],[352.2020202  15.7979798] ; [26.7979798  1.2020202],0
s1,1,0.008155,6.999198,[  8 359] ; [ 3 25],[ 10.22025316 356.77974684] ; [ 0.77974684 27.22025316],0
d4,1,0.024744,5.041718,[312  58] ; [19  9],[307.71356784  62.28643216] ; [23.28643216  4.71356784],0
n6,1,0.036673,4.365518,[324  44] ; [20  7],[320.48607595  47.51392405] ; [23.51392405  3.48607595],0
v3,1,0.046553,3.961481,[163 194] ; [ 7 20],[158.046875 198.953125] ; [11.953125 15.046875],0
s7,1,0.052523,3.759032,[211 142] ; [10 15],[206.38359788 146.61640212] ; [14.61640212 10.38359788],0
u1,1,0.061164,3.505526,[ 82 289] ; [ 2 26],[ 78.10526316 292.89473684] ; [ 5.89473684 22.10526316],0
a3,1,0.073184,3.210118,[281  89] ; [17 11],[277.03517588  92.96482412] ; [20.96482412  7.03517588],0
b1,1,0.078506,3.095554,[149 222] ; [16 12],[153.42105263 217.57894737] ; [11.57894737 16.42105263],0
p3,1,0.11022,2.551059,[265 106] ; [16 12],[261.28070175 109.71929825] ; [19.71929825  8.28070175],0
p11,1,0.114371,2.492765,[319  52] ; [21  7],[316.14035088  54.85964912] ; [23.85964912  4.14035088],0
p8,1,0.132244,2.265967,[281  89] ; [17 10],[277.73299748  92.26700252] ; [20.26700252  6.73299748],0
b4,1,0.134228,2.242915,[213 158] ; [12 16],[209.21052632 161.78947368] ; [15.78947368 12.21052632],0
d1,1,0.142571,2.149988,[237 134] ; [14 14],[233.38596491 137.61403509] ; [17.61403509 10.38596491],0
n5,1,0.174705,1.842101,[302  67] ; [20  8],[299.28967254  69.71032746] ; [22.71032746  5.28967254],0
p6,1,0.212926,1.551417,[217 154] ; [13 15],[213.85964912 157.14035088] ; [16.14035088 11.85964912],0
d5,1,0.23103,1.434509,[310  60] ; [21  7],[307.71356784  62.28643216] ; [23.28643216  4.71356784],0
s3,1,0.240128,1.379845,[223 141] ; [14 14],[220.07142857 143.92857143] ; [16.92857143 11.07142857],0
a8,1,0.254546,1.298181,[ 50 283] ; [ 2 26],[ 47.966759 285.033241] ; [ 4.033241 23.966759],0
b3,1,0.262156,1.257336,[ 95 146] ; [ 6 16],[ 92.5513308 148.4486692] ; [ 8.4486692 13.5513308],0
b2,1,0.262156,1.257336,[ 95 146] ; [ 6 16],[ 92.5513308 148.4486692] ; [ 8.4486692 13.5513308],0
s6,1,0.273218,1.200521,[265  94] ; [18 10],[262.5245478  96.4754522] ; [20.4754522  7.5245478],0
a5,1,0.330008,0.948865,[294  77] ; [20  8],[291.96491228  79.03508772] ; [22.03508772  5.96491228],0
v1,1,0.404975,0.693505,[224 140] ; [15 13],[221.92857143 142.07142857] ; [17.07142857 10.92857143],0
v2,1,0.422272,0.643984,[215 145] ; [14 13],[213.02325581 146.97674419] ; [15.97674419 11.02325581],0
n1,1,0.450891,0.56841,[21 37] ; [4 4],[21.96969697 36.03030303] ; [3.03030303 4.96969697],0
b5,1,0.462072,0.540872,[212 159] ; [14 14],[210.14035088 160.85964912] ; [15.85964912 12.14035088],0
p1,1,0.493513,0.468857,[ 42 328] ; [ 2 26],[ 40.90452261 329.09547739] ; [ 3.09547739 24.90452261],0
s8,1,0.548607,0.359818,[193 176] ; [13 15],[191.47103275 177.52896725] ; [14.52896725 13.47103275],0
a4,1,0.548607,0.359818,[176 193] ; [15 13],[177.52896725 191.47103275] ; [13.47103275 14.52896725],0
u2,1,0.561006,0.337965,[53 36] ; [5 5],[52.14141414 36.85858586] ; [5.85858586 4.14141414],0
p5,1,0.602784,0.270817,[ 70 300] ; [ 6 20],[ 71.01010101 298.98989899] ; [ 4.98989899 21.01010101],0
d2,1,0.605939,0.266131,[191 180] ; [13 15],[189.68421053 181.31578947] ; [14.31578947 13.68421053],0
p12,1,0.656248,0.198113,[ 36 335] ; [ 2 26],[ 35.33333333 335.66666667] ; [ 2.66666667 25.33333333],0
s4,1,0.743213,0.107323,[ 69 296] ; [ 6 22],[ 69.65648855 295.34351145] ; [ 5.34351145 22.65648855],0
u3,1,0.772082,0.083898,[52 36] ; [7 4],[52.44444444 35.55555556] ; [6.55555556 4.44444444],0
s2,1,0.814353,0.055138,[205 162] ; [15 13],[204.40506329 162.59493671] ; [15.59493671 12.40506329],0
s5,1,0.831499,0.045275,[148 210] ; [11 17],[147.46632124 210.53367876] ; [11.53367876 16.46632124],0
n3,1,0.879047,0.023158,[43 14] ; [7 2],[43.18181818 13.81818182] ; [6.81818182 2.18181818],0
n2,1,0.900193,0.015729,[44 14] ; [7 2],[44.14925373 13.85074627] ; [6.85074627 2.14925373],0
a1,1,0.934541,0.006746,[ 25 346] ; [ 2 26],[ 25.10526316 345.89473684] ; [ 1.89473684 26.10526316],0
