Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,39.313197,[17 10] ; [ 9 94],[ 5.4 21.6] ; [20.6 82.4],1
p6,1,0.0,31.413104,[13 15] ; [ 5 96],[ 3.90697674 24.09302326] ; [14.09302326 86.90697674],1
p3,1,0.0,28.691954,[16 12] ; [11 91],[ 5.81538462 22.18461538] ; [21.18461538 80.81538462],1
p5,1,0.001158,10.555574,[ 6 20] ; [ 4 98],[ 2.03125 23.96875] ; [ 7.96875 94.03125],0
p11,1,0.009883,6.655813,[21  7] ; [49 54],[14.96183206 13.03816794] ; [55.03816794 47.96183206],0
p10,1,0.032509,4.571429,[19  9] ; [45 55],[14. 14.] ; [50. 50.],0
p9,1,0.077817,3.109911,[19  9] ; [47 49],[14.90322581 13.09677419] ; [51.09677419 44.90322581],0
p1,1,0.419509,0.65169,[ 2 26] ; [13 90],[ 3.20610687 24.79389313] ; [11.79389313 91.20610687],0
b1,1,0.531844,0.390867,[16 12] ; [52 51],[14.53435115 13.46564885] ; [53.46564885 49.53435115],0
p12,1,0.805798,0.060442,[ 2 26] ; [ 6 96],[ 1.72307692 26.27692308] ; [ 6.27692308 95.72307692],0
