Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,55.33596,[ 8 63] ; [83 42],[32.96428571 38.03571429] ; [58.03571429 66.96428571],1
p6,1,1e-06,24.886642,[11 60] ; [64 60],[27.30769231 43.69230769] ; [47.69230769 76.30769231],1
p2,1,1e-06,23.731266,[41 30] ; [111  15],[54.78172589 16.21827411] ; [97.21827411 28.78172589],1
p10,1,0.000362,12.718371,[43 27] ; [106  20],[53.21428571 16.78571429] ; [95.78571429 30.21428571],1
p4,1,0.000992,10.842626,[29 42] ; [82 44],[40.00507614 30.99492386] ; [70.99492386 55.00507614],1
p3,1,0.00129,10.357477,[25 46] ; [75 52],[35.85858586 35.14141414] ; [64.14141414 62.85858586],0
v3,1,0.001813,9.729418,[17 48] ; [63 64],[27.08333333 37.91666667] ; [52.91666667 74.08333333],0
r4,1,0.001976,9.57206,[51 20] ; [114  14],[58.86934673 12.13065327] ; [106.13065327  21.86934673],0
s5,1,0.002242,9.339701,[17 48] ; [61 63],[26.82539683 38.17460317] ; [51.17460317 72.82539683],0
v2,1,0.00632,7.456861,[27 41] ; [77 51],[36.08163265 31.91836735] ; [67.91836735 60.08163265],0
s8,1,0.012496,6.239127,[26 45] ; [70 57],[34.42424242 36.57575758] ; [61.57575758 65.42424242],0
p11,1,0.014026,6.034866,[48 23] ; [106  22],[54.94472362 16.05527638] ; [99.05527638 28.94472362],0
v4,1,0.01651,5.747746,[59 11] ; [121   7],[63.63636364  6.36363636] ; [116.36363636  11.63636364],0
a4,1,0.024901,5.030788,[45 25] ; [61 67],[37.47474747 32.52525253] ; [68.52525253 59.47474747],0
n5,1,0.032299,4.582574,[48 23] ; [103  24],[54.14646465 16.85353535] ; [96.85353535 30.14646465],0
b5,1,0.035287,4.431254,[41 30] ; [54 74],[33.89447236 37.10552764] ; [61.10552764 66.89447236],0
r3,1,0.037249,4.338983,[61 10] ; [121   7],[64.93467337  6.06532663] ; [117.06532663  10.93467337],0
p9,1,0.040681,4.189259,[49 20] ; [106  21],[54.56632653 14.43367347] ; [100.43367347  26.56632653],0
s7,1,0.059665,3.546681,[30 35] ; [75 49],[36.11111111 28.88888889] ; [68.88888889 55.11111111],0
p5,1,0.085814,2.951197,[ 5 65] ; [ 20 108],[ 8.83838384 61.16161616] ; [ 16.16161616 111.83838384],0
r1,1,0.088368,2.903855,[47 24] ; [99 29],[52.09045226 18.90954774] ; [93.90954774 34.09045226],0
d3,1,0.088679,2.8982,[31 40] ; [72 56],[36.74874372 34.25125628] ; [66.25125628 61.74874372],0
a3,1,0.096623,2.760424,[59 12] ; [93 35],[54.23115578 16.76884422] ; [97.76884422 30.23115578],0
s1,1,0.106,2.612866,[ 5 66] ; [  3 125],[ 2.85427136 68.14572864] ; [  5.14572864 122.85427136],0
n6,1,0.116013,2.470334,[54 17] ; [108  19],[58.09090909 12.90909091] ; [103.90909091  23.09090909],0
