Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,29.144153,[12 26] ; [93 25],[25.57692308 12.42307692] ; [79.42307692 38.57692308],1
v4,1,8e-05,15.551876,[29  8] ; [115   3],[34.37419355  2.62580645] ; [109.62580645   8.37419355],1
p4,1,0.00018,14.024485,[ 8 30] ; [66 52],[18.02564103 19.97435897] ; [55.97435897 62.02564103],1
n4,1,0.000226,13.598063,[19 19] ; [95 23],[27.76923077 10.23076923] ; [86.23076923 31.76923077],1
r3,1,0.001187,10.510133,[30  8] ; [112   5],[34.81290323  3.18709677] ; [107.18709677   9.81290323],0
r4,1,0.004518,8.063131,[27 11] ; [106  12],[32.3974359  5.6025641] ; [100.6025641  17.3974359],0
p11,1,0.005445,7.725386,[20 18] ; [90 28],[26.79487179 11.20512821] ; [83.20512821 34.79487179],0
u1,1,0.015461,5.863115,[ 1 37] ; [22 96],[ 5.6025641 32.3974359] ; [ 17.3974359 100.6025641],0
a7,1,0.028569,4.793389,[22 16] ; [90 28],[27.28205128 10.71794872] ; [84.71794872 33.28205128],0
p10,1,0.031416,4.630071,[21 16] ; [88 29],[26.18831169 10.81168831] ; [82.81168831 34.18831169],0
p2,1,0.033653,4.512226,[23 15] ; [92 26],[28.01282051  9.98717949] ; [86.98717949 31.01282051],0
a6,1,0.034837,4.453167,[20 18] ; [84 34],[25.33333333 12.66666667] ; [78.66666667 39.33333333],0
p9,1,0.054783,3.688686,[26 11] ; [98 18],[29.9869281  7.0130719] ; [94.0130719 21.9869281],0
s6,1,0.066429,3.369132,[20 17] ; [81 34],[24.58552632 12.41447368] ; [76.41447368 38.58552632],0
b1,1,0.072359,3.228671,[18 20] ; [37 81],[13.3974359 24.6025641] ; [41.6025641 76.3974359],0
a2,1,0.095187,2.784389,[ 5 33] ; [31 87],[ 8.76923077 29.23076923] ; [27.23076923 90.76923077],0
n2,1,0.103451,2.651515,[12  6] ; [21  3],[14.14285714  3.85714286] ; [18.85714286  5.14285714],0
b3,1,0.11662,2.462143,[11  9] ; [26 47],[ 7.95698925 12.04301075] ; [29.04301075 43.95698925],0
b2,1,0.11662,2.462143,[11  9] ; [26 47],[ 7.95698925 12.04301075] ; [29.04301075 43.95698925],0
p8,1,0.116809,2.45959,[ 7 31] ; [37 80],[10.78709677 27.21290323] ; [33.21290323 83.78709677],0
p5,1,0.120963,2.404805,[ 1 36] ; [ 13 104],[ 3.36363636 33.63636364] ; [ 10.63636364 106.36363636],0
p1,1,0.137699,2.203489,[ 6 32] ; [  9 109],[ 3.65384615 34.34615385] ; [ 11.34615385 106.65384615],0
s1,1,0.138874,2.19039,[ 3 35] ; [  3 114],[ 1.47096774 36.52903226] ; [  4.52903226 112.47096774],0
d2,1,0.14494,2.124709,[14 24] ; [59 58],[17.89677419 20.10322581] ; [55.10322581 61.89677419],0
r2,1,0.148149,2.091209,[34  4] ; [113   5],[35.80769231  2.19230769] ; [111.19230769   6.80769231],0
b5,1,0.1872,1.739518,[22 16] ; [82 36],[25.33333333 12.66666667] ; [78.66666667 39.33333333],0
r1,1,0.190227,1.715861,[26 12] ; [93 25],[28.98717949  9.01282051] ; [90.01282051 27.98717949],0
a1,1,0.226159,1.464858,[ 2 36] ; [  2 116],[ 0.97435897 37.02564103] ; [  3.02564103 114.97435897],0
d1,1,0.310956,1.026613,[18 20] ; [67 51],[20.70512821 17.29487179] ; [64.29487179 53.70512821],0
p3,1,0.353041,0.862496,[11 26] ; [45 73],[13.36774194 23.63225806] ; [42.63225806 75.36774194],0
a5,1,0.393693,0.727506,[26 12] ; [89 29],[28.01282051  9.98717949] ; [86.98717949 31.01282051],0
p12,1,0.399263,0.710546,[ 2 34] ; [ 12 106],[ 3.27272727 32.72727273] ; [ 10.72727273 107.27272727],0
