Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1e-06,23.268612,[ 5 16] ; [59 15],[14.14736842  6.85263158] ; [49.85263158 24.14736842],1
p6,1,0.000459,12.273375,[ 6 15] ; [53 22],[12.90625  8.09375] ; [46.09375 28.90625],1
p10,1,0.002872,8.886857,[13  8] ; [67  8],[17.5  3.5] ; [62.5 12.5],0
p2,1,0.011753,6.347755,[15  6] ; [69  6],[18.375  2.625] ; [65.625  9.375],0
s5,1,0.024109,5.086797,[ 6 12] ; [44 26],[10.22727273  7.77272727] ; [39.77272727 30.22727273],0
a7,1,0.025054,5.02012,[19  2] ; [49 26],[14.875  6.125] ; [53.125 21.875],0
p3,1,0.065725,3.386675,[12  9] ; [58 17],[15.3125  5.6875] ; [54.6875 20.3125],0
b5,1,0.07588,3.151016,[16  5] ; [41 34],[12.46875  8.53125] ; [44.53125 30.46875],0
s1,1,0.085227,2.962286,[ 3 18] ; [ 3 72],[ 1.3125 19.6875] ; [ 4.6875 70.3125],0
u1,1,0.085947,2.948694,[ 8 13] ; [15 60],[ 5.03125 15.96875] ; [17.96875 57.03125],0
p11,1,0.116897,2.458413,[13  8] ; [59 16],[15.75  5.25] ; [56.25 18.75],0
v1,1,0.13063,2.284999,[ 8 13] ; [42 32],[11.05263158  9.94736842] ; [38.94736842 35.05263158],0
s2,1,0.16304,1.945801,[16  3] ; [51 24],[13.54255319  5.45744681] ; [53.45744681 21.54255319],0
b4,1,0.17304,1.856407,[16  5] ; [45 30],[13.34375  7.65625] ; [47.65625 27.34375],0
p5,1,0.183411,1.769766,[ 1 20] ; [12 63],[ 2.84375 18.15625] ; [10.15625 64.84375],0
p1,1,0.225099,1.471565,[ 1 20] ; [11 64],[ 2.625 18.375] ; [ 9.375 65.625],0
p9,1,0.242537,1.365785,[16  5] ; [65 10],[17.71875  3.28125] ; [63.28125 11.71875],0
v3,1,0.251946,1.31248,[ 4 17] ; [23 49],[ 6.09677419 14.90322581] ; [20.90322581 51.09677419],0
r4,1,0.275717,1.188083,[20  1] ; [65 10],[18.59375  2.40625] ; [66.40625  8.59375],0
a6,1,0.294894,1.097143,[16  5] ; [48 27],[14.  7.] ; [50. 25.],0
b1,1,0.325796,0.965534,[ 7 14] ; [34 41],[ 8.96875 12.03125] ; [32.03125 42.96875],0
s7,1,0.335867,0.926143,[11  9] ; [48 24],[12.82608696  7.17391304] ; [46.17391304 25.82608696],0
n4,1,0.348498,0.87892,[17  4] ; [53 22],[15.3125  5.6875] ; [54.6875 20.3125],0
b3,1,0.381637,0.765421,[ 2 12] ; [11 32],[ 3.19298246 10.80701754] ; [ 9.80701754 33.19298246],0
b2,1,0.381637,0.765421,[ 2 12] ; [11 32],[ 3.19298246 10.80701754] ; [ 9.80701754 33.19298246],0
u3,1,0.382143,0.763797,[4 1] ; [13  9],[3.14814815 1.85185185] ; [13.85185185  8.14814815],0
n5,1,0.401006,0.705306,[15  6] ; [60 15],[16.40625  4.59375] ; [58.59375 16.40625],0
v2,1,0.454632,0.559079,[ 8 13] ; [35 39],[ 9.50526316 11.49473684] ; [33.49473684 40.50526316],0
a2,1,0.465896,0.531692,[ 7 14] ; [19 56],[ 5.6875 15.3125] ; [20.3125 54.6875],0
r3,1,0.493488,0.468912,[19  2] ; [70  4],[19.67368421  1.32631579] ; [69.32631579  4.67368421],0
r1,1,0.501542,0.451673,[16  5] ; [62 13],[17.0625  3.9375] ; [60.9375 14.0625],0
n3,1,0.518647,0.416583,[6 1] ; [11  4],[5.40909091 1.59090909] ; [11.59090909  3.40909091],0
a4,1,0.526877,0.400412,[12  9] ; [37 38],[10.71875 10.28125] ; [38.28125 36.71875],0
d2,1,0.554528,0.349267,[13  8] ; [41 34],[11.8125  9.1875] ; [42.1875 32.8125],0
a8,1,0.589402,0.291279,[ 1 18] ; [ 2 70],[ 0.62637363 18.37362637] ; [ 2.37362637 69.62637363],0
n1,1,0.603743,0.269388,[2 5] ; [6 9],[2.54545455 4.45454545] ; [5.45454545 9.54545455],0
a3,1,0.618744,0.247637,[16  5] ; [53 22],[15.09375  5.90625] ; [53.90625 21.09375],0
a1,1,0.625719,0.237911,[ 1 20] ; [ 2 73],[ 0.65625 20.34375] ; [ 2.34375 72.65625],0
n6,1,0.627156,0.235937,[19  2] ; [64 10],[18.34736842  2.65263158] ; [64.65263158  9.34736842],0
a5,1,0.633171,0.227785,[17  4] ; [57 18],[16.1875  4.8125] ; [57.8125 17.1875],0
n2,1,0.654992,0.199664,[5 2] ; [12  3],[5.40909091 1.59090909] ; [11.59090909  3.40909091],0
s3,1,0.673675,0.177333,[14  6] ; [56 19],[14.73684211  5.26315789] ; [55.26315789 19.73684211],0
d3,1,0.722895,0.125736,[17  4] ; [58 17],[16.40625  4.59375] ; [58.59375 16.40625],0
d4,1,0.74047,0.109714,[17  4] ; [63 12],[17.5  3.5] ; [62.5 12.5],0
u2,1,0.824653,0.049091,[2 3] ; [10 12],[2.22222222 2.77777778] ; [ 9.77777778 12.22222222],0
d1,1,0.853362,0.034162,[15  6] ; [52 23],[14.65625  6.34375] ; [52.34375 22.65625],0
s6,1,0.887689,0.019946,[18  2] ; [64  8],[17.82608696  2.17391304] ; [64.17391304  7.82608696],0
d5,1,0.910237,0.01271,[18  3] ; [65 10],[18.15625  2.84375] ; [64.84375 10.15625],0
s8,1,0.925654,0.008707,[12  9] ; [42 33],[11.8125  9.1875] ; [42.1875 32.8125],0
