Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,52.93199,[ 28 136] ; [38 17],[ 49.42465753 114.57534247] ; [16.57534247 38.42465753],1
s2,1,0.0,34.603334,[ 38 131] ; [37 20],[ 56.0840708 112.9159292] ; [18.9159292 38.0840708],1
s6,1,0.0,31.950204,[ 57 113] ; [43 13],[75.22123894 94.77876106] ; [24.77876106 31.22123894],1
s3,1,5e-06,20.699249,[ 57 111] ; [39 18],[71.68 96.32] ; [24.32 32.68],1
r4,1,0.000115,14.869901,[111  61] ; [52  5],[122.4279476  49.5720524] ; [40.5720524 16.4279476],1
s5,1,0.00048,12.192264,[ 24 142] ; [19 33],[ 32.74311927 133.25688073] ; [10.25688073 41.74311927],1
r1,1,0.000783,11.280735,[103  69] ; [48  9],[113.41484716  58.58515284] ; [37.58515284 19.41484716],1
v3,1,0.001657,9.89488,[ 39 127] ; [24 28],[ 47.97247706 118.02752294] ; [15.02752294 36.97247706],0
p6,1,0.001907,9.636605,[  8 162] ; [10 47],[ 13.48017621 156.51982379] ; [ 4.51982379 52.48017621],0
u3,1,0.003337,8.613445,[29 39] ; [12  2],[34. 34.] ; [7. 7.],0
v4,1,0.003886,8.336507,[133  38] ; [54  3],[140.25  30.75] ; [46.75 10.25],0
u1,1,0.004635,8.016443,[ 13 159] ; [12 45],[ 18.77729258 153.22270742] ; [ 6.22270742 50.77729258],0
p3,1,0.004884,7.92197,[ 13 158] ; [12 45],[ 18.75 152.25] ; [ 6.25 50.75],0
d2,1,0.00997,6.640248,[ 62 107] ; [32 25],[70.2920354 98.7079646] ; [23.7079646 33.2920354],0
d5,1,0.013788,6.065057,[112  60] ; [47 10],[119.42358079  52.57641921] ; [39.57641921 17.42358079],0
r3,1,0.015181,5.895338,[134  36] ; [53  4],[140.04405286  29.95594714] ; [46.95594714 10.04405286],0
p10,1,0.021568,5.280292,[95 75] ; [41 15],[102.30088496  67.69911504] ; [33.69911504 22.30088496],0
v2,1,0.023956,5.097785,[ 59 104] ; [28 24],[65.95813953 97.04186047] ; [21.04186047 30.95813953],0
d1,1,0.028994,4.767942,[ 71 101] ; [33 24],[78.11353712 93.88646288] ; [25.88646288 31.11353712],0
n1,1,0.042492,4.115492,[24 45] ; [11  7],[27.75862069 41.24137931] ; [ 7.24137931 10.75862069],0
a3,1,0.051111,3.804616,[104  66] ; [43 14],[110.08810573  59.91189427] ; [36.91189427 20.08810573],0
d4,1,0.053423,3.730629,[122  49] ; [48  9],[127.5  43.5] ; [42.5 14.5],0
n6,1,0.057547,3.60671,[112  59] ; [45 12],[117.75  53.25] ; [39.25 17.75],0
r2,1,0.060635,3.519923,[145  25] ; [54  3],[149.030837  20.969163] ; [49.969163  7.030837],0
p9,1,0.088358,2.904038,[107  59] ; [43 13],[112.16216216  53.83783784] ; [37.83783784 18.16216216],0
a2,1,0.22052,1.500984,[ 27 145] ; [13 44],[ 30.04366812 141.95633188] ; [ 9.95633188 47.04366812],0
a4,1,0.224198,1.477294,[ 65 105] ; [27 30],[ 68.89867841 101.10132159] ; [23.10132159 33.89867841],0
u2,1,0.248821,1.32991,[30 38] ; [8 5],[31.90123457 36.09876543] ; [6.09876543 6.90123457],0
a5,1,0.249773,1.324572,[103  69] ; [39 18],[106.65502183  65.34497817] ; [35.34497817 21.65502183],0
p5,1,0.253366,1.304649,[  4 168] ; [ 3 53],[  5.28070175 166.71929825] ; [ 1.71929825 54.28070175],0
p12,1,0.254109,1.300573,[  6 164] ; [ 4 52],[  7.52212389 162.47787611] ; [ 2.47787611 53.52212389],0
p11,1,0.282391,1.155545,[104  68] ; [39 18],[107.40611354  64.59388646] ; [35.59388646 21.40611354],0
n5,1,0.328361,0.955352,[101  71] ; [37 19],[104.10526316  67.89473684] ; [33.89473684 22.10526316],0
s1,1,0.332428,0.939418,[  8 162] ; [ 1 55],[  6.7699115 163.2300885] ; [ 2.2300885 53.7699115],0
n4,1,0.397827,0.714884,[107  65] ; [39 18],[109.65938865  62.34061135] ; [36.34061135 20.65938865],0
a6,1,0.397827,0.714884,[107  65] ; [39 18],[109.65938865  62.34061135] ; [36.34061135 20.65938865],0
v1,1,0.399596,0.709541,[ 60 109] ; [23 32],[ 62.62053571 106.37946429] ; [20.37946429 34.62053571],0
a7,1,0.425595,0.634815,[107  64] ; [39 18],[109.5  61.5] ; [36.5 20.5],0
a1,1,0.434051,0.61196,[ 10 162] ; [ 5 52],[ 11.26637555 160.73362445] ; [ 3.73362445 53.26637555],0
n3,1,0.486106,0.485134,[38 28] ; [12  6],[39.28571429 26.71428571] ; [10.71428571  7.28571429],0
n2,1,0.486902,0.483366,[45 24] ; [14  5],[46.26136364 22.73863636] ; [12.73863636  6.26136364],0
p1,1,0.489117,0.478469,[ 13 158] ; [ 6 51],[ 14.25 156.75] ; [ 4.75 52.25],0
s4,1,0.508167,0.437839,[ 31 140] ; [ 8 48],[ 29.37885463 141.62114537] ; [ 9.62114537 46.37885463],0
b4,1,0.559921,0.339841,[110  62] ; [34 23],[108.15720524  63.84279476] ; [35.84279476 21.15720524],0
d3,1,0.675235,0.175539,[99 73] ; [31 26],[97.6419214 74.3580786] ; [32.3580786 24.6419214],0
a8,1,0.729461,0.119607,[ 13 151] ; [ 5 48],[ 13.60368664 150.39631336] ; [ 4.39631336 48.60368664],0
u4,1,0.733532,0.115893,[  2 170] ; [ 1 56],[  2.25327511 169.74672489] ; [ 0.74672489 56.25327511],0
p8,1,0.760652,0.092796,[ 30 141] ; [ 9 48],[ 29.25 141.75] ; [ 9.75 47.25],0
b1,1,0.789766,0.071083,[ 63 109] ; [22 35],[ 63.84279476 108.15720524] ; [21.15720524 35.84279476],0
p2,1,0.844713,0.038365,[94 78] ; [32 25],[94.63755459 77.36244541] ; [31.36244541 25.63755459],0
b5,1,0.851503,0.035044,[105  67] ; [34 23],[104.40174672  67.59825328] ; [34.59825328 22.40174672],0
b3,1,0.984297,0.000387,[33 51] ; [15 23],[33.04918033 50.95081967] ; [14.95081967 23.04918033],0
b2,1,0.984297,0.000387,[33 51] ; [15 23],[33.04918033 50.95081967] ; [14.95081967 23.04918033],0
