Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000858,11.112245,[8 6] ; [20 92],[ 3.11111111 10.88888889] ; [24.88888889 87.11111111],1
s8,1,0.002715,8.990068,[8 6] ; [23 89],[ 3.44444444 10.55555556] ; [27.55555556 84.44444444],0
s7,1,0.029326,4.748377,[7 6] ; [26 78],[3.66666667 9.33333333] ; [29.33333333 74.66666667],0
n4,1,0.038686,4.274583,[9 5] ; [40 72],[5.44444444 8.55555556] ; [43.55555556 68.44444444],0
p4,1,0.072159,3.233222,[7 7] ; [30 82],[4.11111111 9.88888889] ; [32.88888889 79.11111111],0
s6,1,0.088651,2.898701,[10  4] ; [52 58],[7. 7.] ; [55. 55.],0
v1,1,0.104936,2.62887,[8 5] ; [42 68],[5.28455285 7.71544715] ; [44.71544715 65.28455285],0
r4,1,0.107645,2.588455,[13  1] ; [82 30],[10.55555556  3.44444444] ; [84.44444444 27.55555556],0
b2,1,0.109428,2.562458,[5 3] ; [19 38],[2.95384615 5.04615385] ; [21.04615385 35.95384615],0
b3,1,0.109428,2.562458,[5 3] ; [19 38],[2.95384615 5.04615385] ; [21.04615385 35.95384615],0
p9,1,0.173934,1.848703,[11  3] ; [64 43],[8.67768595 5.32231405] ; [66.32231405 40.67768595],0
a7,1,0.188844,1.726617,[12  2] ; [77 35],[9.88888889 4.11111111] ; [79.11111111 32.88888889],0
p1,1,0.200793,1.636595,[ 2 12] ; [  6 105],[ 0.896 13.104] ; [  7.104 103.896],0
a2,1,0.243163,1.362162,[ 3 11] ; [ 12 100],[ 1.66666667 12.33333333] ; [13.33333333 98.66666667],0
a4,1,0.266072,1.236889,[7 7] ; [39 73],[5.11111111 8.88888889] ; [40.88888889 71.11111111],0
a6,1,0.278076,1.176467,[10  4] ; [63 49],[8.11111111 5.88888889] ; [64.88888889 47.11111111],0
p10,1,0.32963,0.95035,[9 5] ; [55 54],[7.28455285 6.71544715] ; [56.71544715 52.28455285],0
s2,1,0.343628,0.896849,[7 7] ; [41 70],[5.376 8.624] ; [42.624 68.376],0
v4,1,0.372884,0.794032,[13  1] ; [93 18],[11.872  2.128] ; [94.128 16.872],0
s4,1,0.384976,0.754752,[ 4 10] ; [21 91],[ 2.77777778 11.22222222] ; [22.22222222 89.77777778],0
u1,1,0.434758,0.610079,[ 2 12] ; [  9 103],[ 1.22222222 12.77777778] ; [  9.77777778 102.22222222],0
s5,1,0.469158,0.523959,[4 8] ; [25 80],[2.97435897 9.02564103] ; [26.02564103 78.97435897],0
d3,1,0.512977,0.427989,[10  4] ; [70 42],[8.88888889 5.11111111] ; [71.11111111 40.88888889],0
r1,1,0.518048,0.417778,[11  3] ; [78 33],[9.968 4.032] ; [79.032 31.968],0
a5,1,0.525375,0.403329,[9 5] ; [62 50],[7.88888889 6.11111111] ; [63.11111111 48.88888889],0
d1,1,0.528681,0.396925,[8 6] ; [54 58],[6.88888889 7.11111111] ; [55.11111111 56.88888889],0
b1,1,0.554113,0.35,[ 4 10] ; [41 71],[5. 9.] ; [40. 72.],0
a3,1,0.566765,0.328125,[9 5] ; [63 49],[8. 6.] ; [64. 48.],0
v3,1,0.596263,0.280669,[ 3 11] ; [29 74],[ 3.82905983 10.17094017] ; [28.17094017 74.82905983],0
p2,1,0.609755,0.260532,[9 5] ; [64 48],[8.11111111 5.88888889] ; [64.88888889 47.11111111],0
p8,1,0.620313,0.245428,[ 2 12] ; [22 89],[ 2.688 11.312] ; [21.312 89.688],0
s3,1,0.681158,0.168825,[5 9] ; [46 65],[5.712 8.288] ; [45.288 65.712],0
n2,1,0.684646,0.164942,[4 2] ; [22 16],[3.54545455 2.45454545] ; [22.45454545 15.54545455],0
b4,1,0.697161,0.151442,[8 6] ; [70 42],[8.66666667 5.33333333] ; [69.33333333 42.66666667],0
b5,1,0.700228,0.148235,[9 5] ; [66 46],[8.33333333 5.66666667] ; [66.66666667 45.33333333],0
d4,1,0.739985,0.11014,[12  2] ; [92 20],[11.55555556  2.44444444] ; [92.44444444 19.55555556],0
a8,1,0.775803,0.081107,[ 1 12] ; [ 6 99],[ 0.77118644 12.22881356] ; [ 6.22881356 98.77118644],0
n6,1,0.800443,0.063895,[8 6] ; [60 52],[7.55555556 6.44444444] ; [60.44444444 51.55555556],0
n3,1,0.832305,0.044837,[4 2] ; [23 14],[3.76744186 2.23255814] ; [23.23255814 13.76744186],0
p11,1,0.84943,0.036041,[8 6] ; [61 51],[7.66666667 6.33333333] ; [61.33333333 50.66666667],0
v2,1,0.947091,0.004404,[7 7] ; [52 54],[6.88333333 7.11666667] ; [52.11666667 53.88333333],0
d2,1,0.947839,0.00428,[5 9] ; [41 71],[5.11111111 8.88888889] ; [40.88888889 71.11111111],0
d5,1,1.0,0.0,[11  3] ; [88 24],[11.  3.] ; [88. 24.],0
n1,1,1.0,0.0,[2 4] ; [13 26],[2. 4.] ; [13. 26.],0
