Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,6.4e-05,15.981113,[ 2 33] ; [7 5],[ 6.70212766 28.29787234] ; [2.29787234 9.70212766],1
s8,1,0.000278,13.211113,[ 3 32] ; [7 5],[ 7.44680851 27.55319149] ; [2.55319149 9.44680851],1
s3,1,0.001766,9.777778,[ 5 28] ; [7 4],[ 9. 24.] ; [3. 8.],0
s6,1,0.002765,8.956111,[ 7 28] ; [8 4],[11.17021277 23.82978723] ; [3.82978723 8.17021277],0
s5,1,0.006323,7.455895,[ 5 30] ; [6 5],[ 8.36956522 26.63043478] ; [2.63043478 8.36956522],0
p5,1,0.017685,5.627118,[ 1 34] ; [3 9],[ 2.9787234 32.0212766] ; [ 1.0212766 10.9787234],0
p4,1,0.021602,5.27752,[ 4 31] ; [5 7],[ 6.70212766 28.29787234] ; [2.29787234 9.70212766],0
b5,1,0.02333,5.143753,[13 22] ; [9 3],[16.38297872 18.61702128] ; [5.61702128 6.38297872],0
p2,1,0.039609,4.234557,[ 9 26] ; [7 5],[11.91489362 23.08510638] ; [4.08510638 7.91489362],0
n6,1,0.054586,3.694682,[15 20] ; [9 3],[17.87234043 17.12765957] ; [6.12765957 5.87234043],0
s1,1,0.061509,3.496224,[ 2 33] ; [3 9],[ 3.72340426 31.27659574] ; [ 1.27659574 10.72340426],0
p9,1,0.07044,3.272727,[12 21] ; [8 4],[14.66666667 18.33333333] ; [5.33333333 6.66666667],0
p8,1,0.081448,3.035775,[ 4 31] ; [4 8],[ 5.95744681 29.04255319] ; [2.04255319 9.95744681],0
s4,1,0.081448,3.035775,[ 4 31] ; [4 8],[ 5.95744681 29.04255319] ; [2.04255319 9.95744681],0
u1,1,0.091267,2.851876,[ 1 34] ; [ 2 10],[ 2.23404255 32.76595745] ; [ 0.76595745 11.23404255],0
a7,1,0.110138,2.552242,[14 21] ; [8 4],[16.38297872 18.61702128] ; [5.61702128 6.38297872],0
p10,1,0.112875,2.5135,[11 23] ; [7 5],[13.30434783 20.69565217] ; [4.69565217 7.30434783],0
b3,1,0.124634,2.358101,[12 11] ; [2 7],[10.0625 12.9375] ; [3.9375 5.0625],0
b2,1,0.124634,2.358101,[12 11] ; [2 7],[10.0625 12.9375] ; [3.9375 5.0625],0
v1,1,0.13744,2.206389,[ 7 28] ; [5 7],[ 8.93617021 26.06382979] ; [3.06382979 8.93617021],0
r4,1,0.147866,2.094124,[ 5 30] ; [4 8],[ 6.70212766 28.29787234] ; [2.29787234 9.70212766],0
v4,1,0.154112,2.031071,[18 17] ; [9 3],[20.10638298 14.89361702] ; [6.89361702 5.10638298],0
n2,1,0.16612,1.917614,[9 9] ; [7 2],[10.66666667  7.33333333] ; [5.33333333 3.66666667],0
d1,1,0.176426,1.827477,[10 25] ; [6 6],[11.91489362 23.08510638] ; [4.08510638 7.91489362],0
n3,1,0.192373,1.699346,[ 5 12] ; [5 4],[ 6.53846154 10.46153846] ; [3.46153846 5.53846154],0
d3,1,0.200123,1.641477,[13 22] ; [7 5],[14.89361702 20.10638298] ; [5.10638298 6.89361702],0
p1,1,0.236974,1.398507,[ 6 29] ; [4 8],[ 7.44680851 27.55319149] ; [2.55319149 9.44680851],0
a2,1,0.254488,1.298495,[ 4 31] ; [3 9],[ 5.21276596 29.78723404] ; [ 1.78723404 10.21276596],0
v3,1,0.257381,1.282789,[ 6 28] ; [4 8],[ 7.39130435 26.60869565] ; [2.60869565 9.39130435],0
u2,1,0.259177,1.273148,[ 4 14] ; [2 2],[ 4.90909091 13.09090909] ; [1.09090909 2.90909091],0
d4,1,0.278335,1.175203,[17 18] ; [8 4],[18.61702128 16.38297872] ; [6.38297872 5.61702128],0
a6,1,0.278335,1.175203,[17 18] ; [8 4],[18.61702128 16.38297872] ; [6.38297872 5.61702128],0
v2,1,0.29183,1.111159,[ 4 29] ; [3 9],[ 5.13333333 27.86666667] ; [ 1.86666667 10.13333333],0
d2,1,0.304981,1.052288,[14 20] ; [7 5],[15.52173913 18.47826087] ; [5.47826087 6.52173913],0
p11,1,0.34651,0.886195,[ 7 28] ; [4 8],[ 8.19148936 26.80851064] ; [2.80851064 9.19148936],0
a3,1,0.365712,0.818182,[17 16] ; [8 4],[18.33333333 14.66666667] ; [6.66666667 5.33333333],0
u3,1,0.388072,0.744974,[ 5 13] ; [2 2],[ 5.72727273 12.27272727] ; [1.27272727 2.72727273],0
n5,1,0.522957,0.408057,[26  9] ; [10  2],[26.80851064  8.19148936] ; [9.19148936 2.80851064],0
r2,1,0.529183,0.39596,[25  9] ; [7 4],[24.17777778  9.82222222] ; [7.82222222 3.17777778],0
r1,1,0.545437,0.365556,[14 21] ; [6 6],[14.89361702 20.10638298] ; [5.10638298 6.89361702],0
a5,1,0.559378,0.340782,[17 18] ; [7 5],[17.87234043 17.12765957] ; [6.12765957 5.87234043],0
n4,1,0.674332,0.176577,[24 11] ; [9 3],[24.57446809 10.42553191] ; [8.42553191 3.57446809],0
b4,1,0.681831,0.168072,[21 14] ; [8 4],[21.59574468 13.40425532] ; [7.40425532 4.59574468],0
a4,1,0.745582,0.105281,[12 21] ; [5 7],[12.46666667 20.53333333] ; [4.53333333 7.46666667],0
p12,1,0.748756,0.102579,[ 2 33] ; [ 1 11],[ 2.23404255 32.76595745] ; [ 0.76595745 11.23404255],0
n1,1,0.785351,0.074176,[9 9] ; [4 5],[8.66666667 9.33333333] ; [4.33333333 4.66666667],0
d5,1,0.807715,0.059232,[19 16] ; [7 5],[19.36170213 15.63829787] ; [6.63829787 5.36170213],0
b1,1,0.94262,0.005181,[20 15] ; [7 5],[20.10638298 14.89361702] ; [6.89361702 5.10638298],0
p3,1,0.969786,0.001435,[ 6 29] ; [ 2 10],[ 5.95744681 29.04255319] ; [2.04255319 9.95744681],0
