Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1e-06,23.659863,[18 84] ; [37 33],[32.61627907 69.38372093] ; [22.38372093 47.61627907],1
p6,1,2e-06,22.469613,[ 8 94] ; [26 44],[20.1627907 81.8372093] ; [13.8372093 56.1627907],1
p4,1,2e-05,18.202935,[24 79] ; [39 32],[37.29310345 65.70689655] ; [25.70689655 45.29310345],1
p2,1,0.000342,12.826063,[55 48] ; [56 14],[66.0867052 36.9132948] ; [44.9132948 25.0867052],1
p3,1,0.00059,11.807228,[21 81] ; [32 39],[31.24855491 70.75144509] ; [21.75144509 49.24855491],1
r4,1,0.003549,8.50134,[56 47] ; [54 17],[65.11494253 37.88505747] ; [44.88505747 26.11494253],0
n3,1,0.003737,8.407521,[16 21] ; [18  4],[21.3220339 15.6779661] ; [12.6779661  9.3220339],0
n6,1,0.008809,6.861171,[59 43] ; [54 16],[67.01162791 34.98837209] ; [45.98837209 24.01162791],0
b5,1,0.014321,5.998169,[55 48] ; [51 20],[62.74712644 40.25287356] ; [43.25287356 27.74712644],0
p11,1,0.024768,5.040001,[52 51] ; [48 23],[59.1954023 43.8045977] ; [40.8045977 30.1954023],0
r3,1,0.034196,4.48488,[72 30] ; [60 11],[77.8265896 24.1734104] ; [54.1734104 16.8265896],0
p9,1,0.048264,3.900787,[55 45] ; [49 21],[61.17647059 38.82352941] ; [42.82352941 27.17647059],0
u2,1,0.054779,3.688793,[16 27] ; [18 12],[20.02739726 22.97260274] ; [13.97260274 16.02739726],0
s3,1,0.086528,2.937815,[22 80] ; [23 46],[26.84210526 75.15789474] ; [18.15789474 50.84210526],0
v4,1,0.114687,2.488422,[76 26] ; [60 11],[80.1849711 21.8150289] ; [55.8150289 15.1849711],0
v1,1,0.1321,2.267651,[24 77] ; [24 46],[28.35087719 72.64912281] ; [19.64912281 50.35087719],0
b1,1,0.134548,2.239234,[48 55] ; [25 46],[43.21264368 59.78735632] ; [29.78735632 41.21264368],0
a4,1,0.151936,2.052701,[41 61] ; [21 50],[36.55491329 65.44508671] ; [25.44508671 45.55491329],0
a1,1,0.167944,1.901196,[ 8 95] ; [ 2 69],[ 5.91954023 97.08045977] ; [ 4.08045977 66.91954023],0
d2,1,0.179162,1.804562,[38 63] ; [34 37],[42.27906977 58.72093023] ; [29.72093023 41.27906977],0
r2,1,0.179768,1.799542,[80 21] ; [61  9],[83.28070175 17.71929825] ; [57.71929825 12.28070175],0
p10,1,0.191864,1.703249,[53 49] ; [44 27],[57.19075145 44.80924855] ; [39.80924855 31.19075145],0
d1,1,0.206073,1.5988,[38 65] ; [33 38],[42.02873563 60.97126437] ; [28.97126437 42.02873563],0
n2,1,0.231197,1.433479,[21 19] ; [15  7],[23.22580645 16.77419355] ; [12.77419355  9.22580645],0
s8,1,0.266407,1.235156,[ 9 94] ; [10 61],[11.24712644 91.75287356] ; [ 7.75287356 63.24712644],0
s2,1,0.273496,1.199129,[14 88] ; [14 56],[16.60465116 85.39534884] ; [11.39534884 58.60465116],0
r1,1,0.29511,1.096163,[52 51] ; [41 29],[55.3699422 47.6300578] ; [37.6300578 32.3699422],0
p1,1,0.322505,0.97876,[10 92] ; [ 4 67],[ 8.25433526 93.74566474] ; [ 5.74566474 65.25433526],0
n1,1,0.377135,0.78002,[16 24] ; [ 6 15],[14.42622951 25.57377049] ; [ 7.57377049 13.42622951],0
a7,1,0.461842,0.541427,[62 41] ; [46 24],[64.30057803 38.69942197] ; [43.69942197 26.30057803],0
b2,1,0.493108,0.469737,[24 36] ; [14 28],[22.35294118 37.64705882] ; [15.64705882 26.35294118],0
b3,1,0.493108,0.469737,[24 36] ; [14 28],[22.35294118 37.64705882] ; [15.64705882 26.35294118],0
b4,1,0.500434,0.454016,[59 44] ; [37 34],[56.82758621 46.17241379] ; [39.17241379 31.82758621],0
u3,1,0.581175,0.304339,[20 23] ; [12 18],[18.84931507 24.15068493] ; [13.15068493 16.84931507],0
a8,1,0.608075,0.262987,[10 89] ; [ 8 55],[11. 88.] ; [ 7. 56.],0
n4,1,0.637665,0.221809,[66 37] ; [43 28],[64.52298851 38.47701149] ; [44.47701149 26.52298851],0
n5,1,0.637665,0.221809,[66 37] ; [43 28],[64.52298851 38.47701149] ; [44.47701149 26.52298851],0
d5,1,0.677593,0.172849,[66 37] ; [47 23],[67.27745665 35.72254335] ; [45.72254335 24.27745665],0
v3,1,0.680408,0.169666,[12 87] ; [10 60],[12.88757396 86.11242604] ; [ 9.11242604 60.88757396],0
u1,1,0.686115,0.163324,[ 9 94] ; [ 5 66],[ 8.28735632 94.71264368] ; [ 5.71264368 65.28735632],0
d4,1,0.70431,0.144027,[71 32] ; [47 24],[69.85057471 33.14942529] ; [48.14942529 22.85057471],0
s7,1,0.710251,0.138026,[18 79] ; [14 53],[18.92682927 78.07317073] ; [13.07317073 53.92682927],0
p12,1,0.801061,0.063491,[  1 100] ; [ 1 70],[ 1.1744186 99.8255814] ; [ 0.8255814 70.1744186],0
d3,1,0.927619,0.008252,[56 47] ; [38 31],[56.29069767 46.70930233] ; [37.70930233 31.29069767],0
a2,1,0.929514,0.007825,[15 88] ; [10 61],[14.79885057 88.20114943] ; [10.20114943 60.79885057],0
a3,1,0.93794,0.006062,[60 42] ; [41 28],[60.24561404 41.75438596] ; [40.75438596 28.24561404],0
s5,1,0.946652,0.004477,[ 8 90] ; [ 6 65],[ 8.1183432 89.8816568] ; [ 5.8816568 65.1183432],0
a6,1,0.960975,0.002394,[62 41] ; [43 28],[62.15517241 40.84482759] ; [42.84482759 28.15517241],0
s4,1,0.9738,0.001079,[10 93] ; [ 7 64],[10.06321839 92.93678161] ; [ 6.93678161 64.06321839],0
p5,1,0.98705,0.000263,[ 3 99] ; [ 2 67],[ 2.98245614 99.01754386] ; [ 2.01754386 66.98245614],0
s1,1,0.993832,6e-05,[ 6 97] ; [ 4 65],[ 5.98837209 97.01162791] ; [ 4.01162791 64.98837209],0
a5,1,0.997148,1.3e-05,[58 45] ; [40 31],[58.01149425 44.98850575] ; [39.98850575 31.01149425],0
