Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,4e-06,21.450213,[13 31] ; [28  6],[23.12820513 20.87179487] ; [17.87179487 16.12820513],1
s2,1,0.001937,9.607913,[25 22] ; [30  5],[31.52439024 15.47560976] ; [23.47560976 11.52439024],0
u1,1,0.007928,7.049602,[ 4 43] ; [11 24],[ 8.59756098 38.40243902] ; [ 6.40243902 28.59756098],0
s3,1,0.010074,6.621733,[22 23] ; [27  8],[27.5625 17.4375] ; [21.4375 13.5625],0
s6,1,0.018326,5.564757,[35 12] ; [33  2],[38.97560976  8.02439024] ; [29.02439024  5.97560976],0
a2,1,0.019879,5.42253,[ 6 41] ; [12 23],[10.31707317 36.68292683] ; [ 7.68292683 27.31707317],0
r4,1,0.030059,4.705887,[36 11] ; [33  2],[39.54878049  7.45121951] ; [29.45121951  5.54878049],0
d5,1,0.030978,4.654182,[34 13] ; [32  3],[37.82926829  9.17073171] ; [28.17073171  6.82926829],0
p6,1,0.042185,4.127753,[ 5 41] ; [10 25],[ 8.51851852 37.48148148] ; [ 6.48148148 28.51851852],0
d2,1,0.042199,4.127189,[22 23] ; [25 10],[26.4375 18.5625] ; [20.5625 14.4375],0
p5,1,0.048601,3.889095,[10 37] ; [ 2 33],[ 6.87804878 40.12195122] ; [ 5.12195122 29.87804878],0
v3,1,0.049598,3.854981,[12 35] ; [15 17],[16.06329114 30.93670886] ; [10.93670886 21.06329114],0
u2,1,0.06176,3.489492,[7 9] ; [6 1],[9.04347826 6.95652174] ; [3.95652174 3.04347826],0
p12,1,0.069063,3.305161,[ 4 43] ; [ 8 27],[ 6.87804878 40.12195122] ; [ 5.12195122 29.87804878],0
p10,1,0.089292,2.887092,[32 14] ; [30  5],[35.20987654 10.79012346] ; [26.79012346  8.20987654],0
d4,1,0.113523,2.504474,[38  8] ; [33  2],[40.32098765  5.67901235] ; [30.67901235  4.32098765],0
d1,1,0.160105,1.973236,[25 22] ; [24 11],[28.08536585 18.91463415] ; [20.91463415 14.08536585],0
a3,1,0.161496,1.960162,[31 16] ; [28  7],[33.81707317 13.18292683] ; [25.18292683  9.81707317],0
b1,1,0.167063,1.909104,[17 30] ; [18 17],[20.06097561 26.93902439] ; [14.93902439 20.06097561],0
u3,1,0.172208,1.863616,[9 7] ; [6 1],[10.43478261  5.56521739] ; [4.56521739 2.43478261],0
v1,1,0.191105,1.709075,[20 27] ; [20 15],[22.92682927 24.07317073] ; [17.07317073 17.92682927],0
a6,1,0.193554,1.690359,[27 20] ; [25 10],[29.80487805 17.19512195] ; [22.19512195 12.80487805],0
p11,1,0.20244,1.62468,[32 15] ; [19 16],[29.23170732 17.76829268] ; [21.76829268 13.23170732],0
n1,1,0.239113,1.385814,[4 6] ; [9 5],[5.41666667 4.58333333] ; [7.58333333 6.41666667],0
v2,1,0.290333,1.118076,[20 27] ; [18 15],[22.325 24.675] ; [15.675 17.325],0
p9,1,0.311557,1.024066,[33 12] ; [29  6],[34.875 10.125] ; [27.125  7.875],0
b5,1,0.314222,1.012846,[30 17] ; [26  9],[32.09756098 14.90243902] ; [23.90243902 11.09756098],0
b3,1,0.333467,0.935386,[11 15] ; [ 7 17],[ 9.36 16.64] ; [ 8.64 15.36],0
b2,1,0.333467,0.935386,[11 15] ; [ 7 17],[ 9.36 16.64] ; [ 8.64 15.36],0
p2,1,0.334734,0.930496,[33 14] ; [21 14],[30.95121951 16.04878049] ; [23.04878049 11.95121951],0
n4,1,0.358259,0.843988,[29 18] ; [25 10],[30.95121951 16.04878049] ; [23.04878049 11.95121951],0
b4,1,0.388841,0.742564,[35 12] ; [23 12],[33.24390244 13.75609756] ; [24.75609756 10.24390244],0
r1,1,0.447528,0.576905,[32 14] ; [27  8],[33.50617284 12.49382716] ; [25.49382716  9.50617284],0
a5,1,0.541606,0.372571,[32 15] ; [26  9],[33.24390244 13.75609756] ; [24.75609756 10.24390244],0
n6,1,0.543298,0.369462,[40  7] ; [28  7],[38.97560976  8.02439024] ; [29.02439024  5.97560976],0
p3,1,0.6212,0.244184,[20 27] ; [13 22],[18.91463415 28.08536585] ; [14.08536585 20.91463415],0
a4,1,0.678886,0.171382,[22 25] ; [18 17],[22.92682927 24.07317073] ; [17.07317073 17.92682927],0
a7,1,0.757106,0.095656,[33 13] ; [24 11],[32.37037037 13.62962963] ; [24.62962963 10.37037037],0
s4,1,0.793974,0.068201,[12 34] ; [ 8 26],[11.5 34.5] ; [ 8.5 25.5],0
d3,1,0.803259,0.062067,[31 16] ; [24 11],[31.52439024 15.47560976] ; [23.47560976 11.52439024],0
n3,1,0.830696,0.045714,[6 4] ; [9 5],[6.25 3.75] ; [8.75 5.25],0
n2,1,0.840342,0.040584,[9 2] ; [11  3],[8.8 2.2] ; [11.2  2.8],0
p4,1,0.850358,0.035593,[22 24] ; [16 19],[21.58024691 24.41975309] ; [16.41975309 18.58024691],0
n5,1,0.859868,0.031167,[30 17] ; [23 12],[30.37804878 16.62195122] ; [22.62195122 12.37804878],0
r3,1,0.87157,0.026135,[40  6] ; [30  5],[39.75308642  6.24691358] ; [30.24691358  4.75308642],0
a1,1,0.900392,0.015667,[ 3 44] ; [ 2 33],[ 2.86585366 44.13414634] ; [ 2.13414634 32.86585366],0
r2,1,0.900392,0.015667,[44  3] ; [33  2],[44.13414634  2.86585366] ; [32.86585366  2.13414634],0
p1,1,0.938596,0.005934,[ 7 40] ; [ 5 30],[ 6.87804878 40.12195122] ; [ 5.12195122 29.87804878],0
p8,1,0.97663,0.000858,[ 8 38] ; [ 6 29],[ 7.95061728 38.04938272] ; [ 6.04938272 28.95061728],0
s1,1,0.984274,0.000388,[ 4 42] ; [ 3 32],[ 3.97530864 42.02469136] ; [ 3.02469136 31.97530864],0
a8,1,0.98965,0.000168,[ 3 41] ; [ 2 27],[ 3.01369863 40.98630137] ; [ 1.98630137 27.01369863],0
