Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000283,13.180085,[21  9] ; [12 32],[13.37837838 16.62162162] ; [19.62162162 24.37837838],1
s7,1,0.000413,12.471439,[14 16] ; [ 4 37],[ 7.6056338 22.3943662] ; [10.3943662 30.6056338],1
p6,1,0.000423,12.42838,[12 17] ; [ 3 40],[ 6.04166667 22.95833333] ; [ 8.95833333 34.04166667],1
s8,1,0.001682,9.867497,[14 16] ; [ 6 38],[ 8.10810811 21.89189189] ; [11.89189189 32.10810811],0
p10,1,0.012794,6.197415,[23  7] ; [21 23],[17.83783784 12.16216216] ; [26.16216216 17.83783784],0
a7,1,0.023038,5.165655,[21  9] ; [19 25],[16.21621622 13.78378378] ; [23.78378378 20.21621622],0
p4,1,0.027939,4.831815,[16 14] ; [12 31],[11.50684932 18.49315068] ; [16.49315068 26.50684932],0
p7,1,0.045137,4.013532,[22  7] ; [22 20],[17.97183099 11.02816901] ; [26.02816901 15.97183099],0
s2,1,0.046155,3.97593,[15 15] ; [12 32],[10.94594595 19.05405405] ; [16.05405405 27.94594595],0
u2,1,0.04868,3.886364,[11  5] ; [ 8 14],[8. 8.] ; [11. 11.],0
p5,1,0.062729,3.463733,[ 4 26] ; [ 1 43],[ 2.02702703 27.97297297] ; [ 2.97297297 41.02702703],0
a4,1,0.065731,3.386543,[ 2 28] ; [10 34],[ 4.86486486 25.13513514] ; [ 7.13513514 36.86486486],0
a5,1,0.074865,3.172995,[15 15] ; [13 31],[11.35135135 18.64864865] ; [16.64864865 27.35135135],0
p3,1,0.12312,2.377177,[11 19] ; [ 9 35],[ 8.10810811 21.89189189] ; [11.89189189 32.10810811],0
p1,1,0.148942,2.083052,[ 3 27] ; [ 1 43],[ 1.62162162 28.37837838] ; [ 2.37837838 41.62162162],0
b3,1,0.222434,1.488598,[4 7] ; [ 4 19],[2.58823529 8.41176471] ; [ 5.41176471 17.58823529],0
