Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.00105,10.736474,[ 7 10] ; [26  4],[11.93617021  5.06382979] ; [21.06382979  8.93617021],0
r1,1,0.006957,7.284108,[ 7 10] ; [24  6],[11.21276596  5.78723404] ; [19.78723404 10.21276596],0
p9,1,0.008979,6.826988,[8 9] ; [25  5],[11.93617021  5.06382979] ; [21.06382979  8.93617021],0
b1,1,0.014971,5.919904,[10  7] ; [ 7 23],[ 6.14893617 10.85106383] ; [10.85106383 19.14893617],0
p11,1,0.071657,3.244644,[8 9] ; [22  8],[10.85106383  6.14893617] ; [19.14893617 10.85106383],0
d3,1,0.169711,1.885498,[ 7 10] ; [18 11],[9.23913043 7.76086957] ; [15.76086957 13.23913043],0
a3,1,0.169711,1.885498,[ 7 10] ; [18 11],[9.23913043 7.76086957] ; [15.76086957 13.23913043],0
r2,1,0.20983,1.572602,[13  3] ; [28  2],[14.26086957  1.73913043] ; [26.73913043  3.26086957],0
b5,1,0.213992,1.544214,[ 7 10] ; [18 12],[9.04255319 7.95744681] ; [15.95744681 14.04255319],0
a6,1,0.277115,1.181186,[9 8] ; [20  9],[10.7173913  6.2826087] ; [18.2826087 10.7173913],0
a2,1,0.287087,1.13323,[ 1 16] ; [ 5 25],[ 2.17021277 14.82978723] ; [ 3.82978723 26.17021277],0
v1,1,0.329867,0.949418,[ 6 11] ; [15 15],[7.59574468 9.40425532] ; [13.40425532 16.59574468],0
p5,1,0.332791,0.938006,[ 2 15] ; [ 7 23],[ 3.25531915 13.74468085] ; [ 5.74468085 24.25531915],0
v3,1,0.345486,0.889967,[ 5 12] ; [13 17],[ 6.5106383 10.4893617] ; [11.4893617 18.5106383],0
s7,1,0.348928,0.877352,[ 4 13] ; [10 17],[ 5.40909091 11.59090909] ; [ 8.59090909 18.40909091],0
p4,1,0.35991,0.838208,[10  6] ; [14 15],[8.53333333 7.46666667] ; [15.46666667 13.53333333],0
p1,1,0.426006,0.633688,[ 1 16] ; [ 4 26],[ 1.80851064 15.19148936] ; [ 3.19148936 26.80851064],0
p12,1,0.426006,0.633688,[ 1 16] ; [ 4 26],[ 1.80851064 15.19148936] ; [ 3.19148936 26.80851064],0
v4,1,0.450339,0.569799,[14  3] ; [27  3],[14.82978723  2.17021277] ; [26.17021277  3.82978723],0
r4,1,0.464018,0.536185,[12  5] ; [24  6],[13.0212766  3.9787234] ; [22.9787234  7.0212766],0
n3,1,0.504985,0.444444,[2 1] ; [4 5],[1.5 1.5] ; [4.5 4.5],0
b2,1,0.52518,0.403708,[4 7] ; [ 4 12],[3.25925926 7.74074074] ; [ 4.74074074 11.25925926],0
b3,1,0.52518,0.403708,[4 7] ; [ 4 12],[3.25925926 7.74074074] ; [ 4.74074074 11.25925926],0
s6,1,0.526171,0.401781,[11  6] ; [16 13],[9.97826087 7.02173913] ; [17.02173913 11.97826087],0
n6,1,0.536527,0.382015,[13  4] ; [19  9],[12.08888889  4.91111111] ; [19.91111111  8.08888889],0
d1,1,0.560231,0.339305,[ 7 10] ; [15 15],[7.95744681 9.04255319] ; [14.04255319 15.95744681],0
a8,1,0.578405,0.30882,[ 2 14] ; [ 2 25],[ 1.48837209 14.51162791] ; [ 2.51162791 24.48837209],0
s8,1,0.583415,0.300746,[ 6 11] ; [ 8 21],[ 5.17391304 11.82608696] ; [ 8.82608696 20.17391304],0
p3,1,0.594907,0.282746,[8 9] ; [16 13],[8.86956522 8.13043478] ; [15.13043478 13.86956522],0
u1,1,0.626902,0.236286,[ 1 16] ; [ 3 27],[ 1.44680851 15.55319149] ; [ 2.55319149 27.44680851],0
u2,1,0.63904,0.22,[4 6] ; [6 6],[4.54545455 5.45454545] ; [5.45454545 6.54545455],0
u3,1,0.63904,0.22,[6 4] ; [6 6],[5.45454545 4.54545455] ; [6.54545455 5.45454545],0
p7,1,0.654025,0.200863,[11  5] ; [18 11],[10.31111111  5.68888889] ; [18.68888889 10.31111111],0
p6,1,0.716031,0.132328,[ 7 10] ; [14 16],[7.59574468 9.40425532] ; [13.40425532 16.59574468],0
s5,1,0.723238,0.125412,[ 5 12] ; [10 19],[ 5.54347826 11.45652174] ; [ 9.45652174 19.54347826],0
a5,1,0.781685,0.076797,[12  5] ; [20 10],[11.57446809  5.42553191] ; [20.42553191  9.57446809],0
v2,1,0.799284,0.064655,[10  6] ; [17 12],[9.6 6.4] ; [17.4 11.6],0
b4,1,0.80503,0.060932,[9 8] ; [17 13],[9.40425532 7.59574468] ; [16.59574468 13.40425532],0
r3,1,0.84384,0.038803,[14  3] ; [24  6],[13.74468085  3.25531915] ; [24.25531915  5.74468085],0
s4,1,0.876947,0.023976,[ 2 15] ; [ 4 26],[ 2.17021277 14.82978723] ; [ 3.82978723 26.17021277],0
s1,1,0.876947,0.023976,[ 2 15] ; [ 4 26],[ 2.17021277 14.82978723] ; [ 3.82978723 26.17021277],0
s2,1,0.883412,0.021505,[8 9] ; [13 16],[7.76086957 9.23913043] ; [13.23913043 15.76086957],0
n5,1,0.925032,0.008854,[11  6] ; [19 11],[10.85106383  6.14893617] ; [19.14893617 10.85106383],0
n4,1,0.937057,0.006236,[10  7] ; [18 12],[10.12765957  6.87234043] ; [17.87234043 12.12765957],0
d4,1,0.955526,0.00311,[11  6] ; [19 10],[11.08695652  5.91304348] ; [18.91304348 10.08695652],0
a4,1,0.955526,0.00311,[ 6 11] ; [10 19],[ 5.91304348 11.08695652] ; [10.08695652 18.91304348],0
d2,1,0.955526,0.00311,[ 6 11] ; [10 19],[ 5.91304348 11.08695652] ; [10.08695652 18.91304348],0
s3,1,0.977225,0.000815,[ 6 11] ; [10 18],[ 6.04444444 10.95555556] ; [ 9.95555556 18.04444444],0
d5,1,0.98924,0.000182,[10  7] ; [17 12],[9.97826087 7.02173913] ; [17.02173913 11.97826087],0
