Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000222,13.632941,[3 8] ; [57 14],[8.04878049 2.95121951] ; [51.95121951 19.04878049],1
p11,1,0.000258,13.354564,[6 5] ; [67  5],[9.6746988 1.3253012] ; [63.3253012  8.6746988],1
p4,1,0.001393,10.215593,[7 4] ; [67  4],[9.92682927 1.07317073] ; [64.07317073  6.92682927],0
p3,1,0.012274,6.270886,[6 5] ; [61 10],[8.98780488 2.01219512] ; [58.01219512 12.98780488],0
v2,1,0.022402,5.214299,[3 8] ; [44 25],[6.4625 4.5375] ; [40.5375 28.4625],0
a6,1,0.072121,3.234065,[4 7] ; [46 25],[6.70731707 4.29268293] ; [43.29268293 27.70731707],0
r3,1,0.07503,3.169409,[9 2] ; [67  3],[10.32098765  0.67901235] ; [65.67901235  4.32098765],0
r1,1,0.129613,2.297133,[7 4] ; [59 12],[8.85365854 2.14634146] ; [57.14634146 13.85365854],0
n3,1,0.133696,2.249053,[1 3] ; [10  5],[2.31578947 1.68421053] ; [8.68421053 6.31578947],0
s7,1,0.134894,2.235256,[6 5] ; [51 16],[8.03846154 2.96153846] ; [48.96153846 18.03846154],0
p10,1,0.137002,2.211313,[9 2] ; [67  4],[10.19512195  0.80487805] ; [65.80487805  5.19512195],0
s8,1,0.163075,1.945476,[5 6] ; [47 23],[7.0617284 3.9382716] ; [44.9382716 25.0617284],0
b5,1,0.172141,1.864197,[7 4] ; [30 42],[4.90361446 6.09638554] ; [32.09638554 39.90361446],0
s5,1,0.175381,1.836335,[5 5] ; [45 18],[6.84931507 3.15068493] ; [43.15068493 19.84931507],0
v3,1,0.208613,1.581028,[5 6] ; [45 24],[6.875 4.125] ; [43.125 25.875],0
s1,1,0.211614,1.560347,[2 9] ; [ 5 67],[ 0.92771084 10.07228916] ; [ 6.07228916 65.92771084],0
n1,1,0.21289,1.551667,[3 1] ; [6 9],[1.89473684 2.10526316] ; [7.10526316 7.89473684],0
a4,1,0.215047,1.537119,[3 8] ; [34 38],[4.90361446 6.09638554] ; [32.09638554 39.90361446],0
n2,1,0.226023,1.465714,[2 2] ; [12  3],[2.94736842 1.05263158] ; [11.05263158  3.94736842],0
a3,1,0.25351,1.303856,[7 4] ; [57 15],[8.48192771 2.51807229] ; [55.51807229 16.48192771],0
n5,1,0.302611,1.062652,[9 2] ; [66  6],[9.93975904 1.06024096] ; [65.06024096  6.93975904],0
n4,1,0.302611,1.062652,[9 2] ; [66  6],[9.93975904 1.06024096] ; [65.06024096  6.93975904],0
p2,1,0.302611,1.062652,[9 2] ; [66  6],[9.93975904 1.06024096] ; [65.06024096  6.93975904],0
p1,1,0.325909,0.965084,[5 6] ; [22 50],[3.57831325 7.42168675] ; [23.42168675 48.57831325],0
p12,1,0.353258,0.861721,[2 8] ; [25 47],[3.29268293 6.70731707] ; [23.70731707 48.29268293],0
s2,1,0.41947,0.651801,[8 3] ; [42 28],[6.79012346 4.20987654] ; [43.20987654 26.79012346],0
d5,1,0.485185,0.487186,[8 3] ; [58 13],[8.85365854 2.14634146] ; [57.14634146 13.85365854],0
a7,1,0.501835,0.451053,[9 2] ; [52 20],[8.08433735 2.91566265] ; [52.91566265 19.08433735],0
d3,1,0.511625,0.430743,[6 5] ; [46 25],[6.97560976 4.02439024] ; [45.02439024 25.97560976],0
b2,1,0.528265,0.397728,[2 3] ; [29 24],[2.67241379 2.32758621] ; [28.32758621 24.67241379],0
b3,1,0.528265,0.397728,[2 3] ; [29 24],[2.67241379 2.32758621] ; [28.32758621 24.67241379],0
u3,1,0.539222,0.376984,[2 2] ; [10  5],[2.52631579 1.47368421] ; [9.47368421 5.52631579],0
u1,1,0.629327,0.232974,[3 8] ; [15 57],[2.38554217 8.61445783] ; [15.61445783 56.38554217],0
s4,1,0.640119,0.218587,[ 1 10] ; [10 60],[1.49382716 9.50617284] ; [ 9.50617284 60.49382716],0
s3,1,0.660282,0.193181,[7 3] ; [44 26],[6.375 3.625] ; [44.625 25.375],0
b1,1,0.678569,0.171742,[5 6] ; [28 44],[4.37349398 6.62650602] ; [28.62650602 43.37349398],0
s6,1,0.70545,0.142865,[9 2] ; [56  9],[9.40789474 1.59210526] ; [55.59210526  9.40789474],0
d4,1,0.720523,0.127992,[9 2] ; [61 10],[9.3902439 1.6097561] ; [60.6097561 10.3902439],0
d2,1,0.745917,0.104994,[5 6] ; [36 35],[5.5 5.5] ; [35.5 35.5],0
a2,1,0.762001,0.091721,[2 9] ; [16 56],[2.38554217 8.61445783] ; [15.61445783 56.38554217],0
b4,1,0.804865,0.061037,[7 4] ; [43 29],[6.62650602 4.37349398] ; [43.37349398 28.62650602],0
r2,1,0.818604,0.052597,[10  1] ; [65  5],[10.18518519  0.81481481] ; [64.81481481  5.18518519],0
a5,1,0.83917,0.041191,[9 2] ; [57 15],[8.74698795 2.25301205] ; [57.25301205 14.74698795],0
v1,1,0.904705,0.014333,[7 3] ; [47 22],[6.83544304 3.16455696] ; [47.16455696 21.83544304],0
d1,1,0.942151,0.005266,[7 4] ; [45 27],[6.89156627 4.10843373] ; [45.10843373 26.89156627],0
u2,1,0.946375,0.004524,[3 1] ; [11  4],[2.94736842 1.05263158] ; [11.05263158  3.94736842],0
r4,1,0.947314,0.004367,[10  1] ; [65  7],[9.93975904 1.06024096] ; [65.06024096  6.93975904],0
