Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,2e-06,22.974076,[93 32] ; [45 59],[75.32751092 49.67248908] ; [62.67248908 41.32751092],1
p9,1,5.8e-05,16.178712,[121   4] ; [86 21],[111.53017241  13.46982759] ; [95.46982759 11.53017241],1
p5,1,0.00013,14.640052,[37 88] ; [10 97],[25.32327586 99.67672414] ; [21.67672414 85.32327586],1
s6,1,0.00081,11.218082,[118   6] ; [86 20],[109.9826087  14.0173913] ; [94.0173913 11.9826087],1
n6,1,0.002868,8.889419,[117   6] ; [88 18],[110.10917031  12.89082969] ; [94.89082969 11.10917031],0
p10,1,0.003432,8.562384,[118   7] ; [88 19],[110.99137931  14.00862069] ; [95.00862069 11.99137931],0
p7,1,0.003988,8.289435,[111  11] ; [81 24],[103.18942731  18.81057269] ; [88.81057269 16.18942731],0
v3,1,0.006914,7.29508,[71 54] ; [40 63],[60.85526316 64.14473684] ; [50.14473684 52.85526316],0
p6,1,0.008241,6.980309,[80 45] ; [50 57],[70.04310345 54.95689655] ; [59.95689655 47.04310345],0
s7,1,0.011228,6.42884,[98 24] ; [68 36],[89.61061947 32.38938053] ; [76.38938053 27.61061947],0
p3,1,0.041922,4.138331,[88 37] ; [61 45],[80.62770563 44.37229437] ; [68.37229437 37.62770563],0
s3,1,0.047977,3.910802,[112  12] ; [87 20],[106.82251082  17.17748918] ; [92.17748918 14.82251082],0
v2,1,0.083366,2.99802,[79 44] ; [55 49],[72.60792952 50.39207048] ; [61.39207048 42.60792952],0
a4,1,0.095361,2.781462,[62 64] ; [41 66],[55.69957082 70.30042918] ; [47.30042918 59.69957082],0
a5,1,0.1051,2.626395,[102  24] ; [77 30],[96.79828326 29.20171674] ; [82.20171674 24.79828326],0
r4,1,0.106512,2.605222,[120   6] ; [96 11],[116.80686695   9.19313305] ; [99.19313305  7.80686695],0
n1,1,0.119551,2.423188,[12 11] ; [ 4 11],[ 9.68421053 13.31578947] ; [6.31578947 8.68421053],0
u2,1,0.132569,2.262162,[15 15] ; [22 10],[17.90322581 12.09677419] ; [19.09677419 12.90322581],0
s8,1,0.135484,2.22852,[88 36] ; [66 41],[82.66666667 41.33333333] ; [71.33333333 35.66666667],0
n2,1,0.137547,2.205193,[21  2] ; [11  4],[19.36842105  3.63157895] ; [12.63157895  2.36842105],0
b5,1,0.140103,2.176822,[62 64] ; [63 44],[67.59656652 58.40343348] ; [57.40343348 49.59656652],0
p12,1,0.158145,1.991874,[ 21 105] ; [11 96],[ 17.30472103 108.69527897] ; [14.69527897 92.30472103],0
a8,1,0.190123,1.716662,[ 16 102] ; [20 79],[19.57603687 98.42396313] ; [16.42396313 82.57603687],0
r2,1,0.192347,1.69955,[123   3] ; [99  6],[121.09090909   4.90909091] ; [100.90909091   4.09090909],0
u1,1,0.204188,1.61216,[27 99] ; [16 91],[ 23.25321888 102.74678112] ; [19.74678112 87.25321888],0
p11,1,0.207312,1.590097,[111  15] ; [88 19],[107.61373391  18.38626609] ; [91.38626609 15.61373391],0
