Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,5e-06,21.03623,[33 53] ; [82 34],[48.96039604 37.03960396] ; [66.03960396 49.96039604],1
p4,1,0.000112,14.923889,[49 40] ; [93 23],[61.64878049 27.35121951] ; [80.35121951 35.64878049],1
b3,1,0.000689,11.517356,[ 6 39] ; [32 42],[14.3697479 30.6302521] ; [23.6302521 50.3697479],1
b2,1,0.000689,11.517356,[ 6 39] ; [32 42],[14.3697479 30.6302521] ; [23.6302521 50.3697479],1
r1,1,0.000941,10.94084,[60 30] ; [99 16],[69.80487805 20.19512195] ; [89.19512195 25.80487805],1
n4,1,0.004393,8.113926,[57 33] ; [94 22],[65.97087379 24.02912621] ; [85.02912621 30.97087379],0
p9,1,0.005981,7.555925,[71 19] ; [106   9],[77.70731707 12.29268293] ; [99.29268293 15.70731707],0
p6,1,0.006241,7.479281,[29 60] ; [59 55],[38.58128079 50.41871921] ; [49.41871921 64.58128079],0
a5,1,0.007539,7.139876,[60 30] ; [96 20],[68.15533981 21.84466019] ; [87.84466019 28.15533981],0
r4,1,0.007942,7.046423,[74 16] ; [109   7],[79.95145631 10.04854369] ; [103.04854369  12.95145631],0
v3,1,0.009325,6.759503,[23 65] ; [50 64],[31.8019802 56.1980198] ; [41.1980198 72.8019802],0
a4,1,0.009724,6.684783,[27 63] ; [55 60],[36. 54.] ; [46. 69.],0
d1,1,0.013967,6.042286,[42 48] ; [74 42],[50.67961165 39.32038835] ; [65.32038835 50.67961165],0
n5,1,0.015049,5.910769,[57 32] ; [92 24],[64.68780488 24.31219512] ; [84.31219512 31.68780488],0
u1,1,0.015841,5.820477,[ 6 84] ; [21 95],[11.7961165 78.2038835] ; [ 15.2038835 100.7961165],0
p3,1,0.016375,5.762175,[44 46] ; [76 40],[52.42718447 37.57281553] ; [67.57281553 48.42718447],0
d4,1,0.019895,5.421109,[63 27] ; [97 19],[69.90291262 20.09708738] ; [90.09708738 25.90291262],0
a2,1,0.024069,5.089624,[10 80] ; [27 89],[16.16504854 73.83495146] ; [20.83495146 95.16504854],0
p2,1,0.031336,4.634471,[72 18] ; [105  11],[77.33009709 12.66990291] ; [99.66990291 16.33009709],0
d5,1,0.032563,4.568592,[67 23] ; [100  16],[72.96116505 17.03883495] ; [94.03883495 21.96116505],0
d2,1,0.046206,3.974064,[31 59] ; [56 60],[38.00970874 51.99029126] ; [48.99029126 67.00970874],0
b4,1,0.046863,3.950314,[41 49] ; [69 47],[48.05825243 41.94174757] ; [61.94174757 54.05825243],0
s8,1,0.071405,3.250417,[19 71] ; [37 77],[24.70588235 65.29411765] ; [31.29411765 82.70588235],0
p10,1,0.074576,3.179304,[72 17] ; [104  12],[76.4097561 12.5902439] ; [99.5902439 16.4097561],0
b5,1,0.076402,3.139825,[48 42] ; [76 40],[54.17475728 35.82524272] ; [69.82524272 46.17475728],0
a3,1,0.100657,2.695096,[51 39] ; [78 37],[56.63414634 33.36585366] ; [72.36585366 42.63414634],0
r2,1,0.115695,2.474656,[77 11] ; [107   7],[80.15841584  7.84158416] ; [103.84158416  10.15841584],0
a7,1,0.11952,2.423598,[62 28] ; [91 25],[66.84466019 23.15533981] ; [86.15533981 29.84466019],0
p7,1,0.122902,2.379945,[65 23] ; [96 20],[69.45098039 18.54901961] ; [91.54901961 24.45098039],0
s6,1,0.140213,2.175619,[36 53] ; [57 55],[41.17910448 47.82089552] ; [51.82089552 60.17910448],0
n1,1,0.142258,2.153361,[ 6 18] ; [8 9],[ 8.19512195 15.80487805] ; [ 5.80487805 11.19512195],0
r3,1,0.185945,1.749457,[81  9] ; [110   6],[83.44660194  6.55339806] ; [107.55339806   8.44660194],0
n2,1,0.196243,1.670118,[16  9] ; [14  3],[17.85714286  7.14285714] ; [12.14285714  4.85714286],0
p5,1,0.244484,1.35455,[ 9 81] ; [18 98],[11.7961165 78.2038835] ; [ 15.2038835 100.7961165],0
a1,1,0.249475,1.32624,[ 4 86] ; [  2 114],[ 2.62135922 87.37864078] ; [  3.37864078 112.62135922],0
s7,1,0.304664,1.053667,[21 63] ; [34 73],[24.18848168 59.81151832] ; [30.81151832 76.18848168],0
n6,1,0.305376,1.050569,[72 17] ; [100  16],[74.67317073 14.32682927] ; [97.32682927 18.67317073],0
p11,1,0.322642,0.978205,[73 17] ; [100  16],[75.58252427 14.41747573] ; [97.41747573 18.58252427],0
p1,1,0.409651,0.679814,[ 7 83] ; [ 13 103],[ 8.73786408 81.26213592] ; [ 11.26213592 104.73786408],0
a8,1,0.433009,0.61474,[ 8 75] ; [13 84],[ 9.68333333 73.31666667] ; [11.31666667 85.68333333],0
s1,1,0.44873,0.573857,[ 3 86] ; [  2 114],[ 2.17073171 86.82926829] ; [  2.82926829 113.17073171],0
p12,1,0.45609,0.555474,[ 4 86] ; [  8 108],[ 5.24271845 84.75728155] ; [  6.75728155 109.24271845],0
n3,1,0.4603,0.545165,[16  9] ; [12  4],[17.07317073  7.92682927] ; [10.92682927  5.07317073],0
u3,1,0.491147,0.474012,[18 20] ; [21 17],[19.5 18.5] ; [19.5 18.5],0
a6,1,0.493701,0.468449,[58 32] ; [80 36],[60.29126214 29.70873786] ; [77.70873786 38.29126214],0
u2,1,0.575227,0.314015,[23 16] ; [20 18],[21.77922078 17.22077922] ; [21.22077922 16.77922078],0
d3,1,0.628239,0.234456,[60 30] ; [81 35],[61.60194175 28.39805825] ; [79.39805825 36.60194175],0
s2,1,0.732263,0.117044,[15 75] ; [17 97],[14.11764706 75.88235294] ; [17.88235294 96.11764706],0
s4,1,0.752535,0.099413,[ 9 80] ; [ 13 100],[ 9.69306931 79.30693069] ; [ 12.30693069 100.69306931],0
s5,1,0.811042,0.05716,[21 69] ; [28 85],[21.72413793 68.27586207] ; [27.27586207 85.72413793],0
b1,1,0.827166,0.047672,[30 60] ; [37 79],[29.27184466 60.72815534] ; [37.72815534 78.27184466],0
v4,1,0.962749,0.002181,[86  4] ; [111   5],[86.06796117  3.93203883] ; [110.93203883   5.06796117],0
