Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.015026,5.913375,[18  4] ; [13 14],[13.91836735  8.08163265] ; [17.08163265  9.91836735],0
p2,1,0.048005,3.909813,[23  2] ; [19  8],[20.19230769  4.80769231] ; [21.80769231  5.19230769],0
b4,1,0.05447,3.698245,[11 14] ; [19  8],[14.42307692 10.57692308] ; [15.57692308 11.42307692],0
p6,1,0.094394,2.797804,[11 14] ; [ 6 21],[ 8.17307692 16.82692308] ; [ 8.82692308 18.17307692],0
n5,1,0.100116,2.703688,[14 11] ; [ 9 18],[11.05769231 13.94230769] ; [11.94230769 15.05769231],0
u1,1,0.101573,2.680666,[ 1 24] ; [ 5 22],[ 2.88461538 22.11538462] ; [ 3.11538462 23.88461538],0
d4,1,0.122603,2.383746,[18  7] ; [24  3],[20.19230769  4.80769231] ; [21.80769231  5.19230769],0
r2,1,0.131119,2.279202,[20  4] ; [25  1],[21.6  2.4] ; [23.4  2.6],0
v2,1,0.148562,2.086957,[10 15] ; [14  9],[12.5 12.5] ; [11.5 11.5],0
p10,1,0.17964,1.800597,[22  3] ; [19  7],[20.09803922  4.90196078] ; [20.90196078  5.09803922],0
n1,1,0.184708,1.759334,[3 1] ; [4 7],[1.86666667 2.13333333] ; [5.13333333 5.86666667],0
a8,1,0.196904,1.665192,[ 2 22] ; [ 5 18],[ 3.57446809 20.42553191] ; [ 3.42553191 19.57446809],0
d5,1,0.219643,1.506701,[19  6] ; [24  3],[20.67307692  4.32692308] ; [22.32692308  4.67307692],0
p11,1,0.243812,1.35842,[21  4] ; [19  8],[19.23076923  5.76923077] ; [20.76923077  6.23076923],0
p4,1,0.250174,1.322334,[16  9] ; [13 14],[13.94230769 11.05769231] ; [15.05769231 11.94230769],0
s6,1,0.299584,1.076044,[22  3] ; [20  6],[20.58823529  4.41176471] ; [21.41176471  4.58823529],0
r4,1,0.374742,0.787879,[20  5] ; [24  3],[21.15384615  3.84615385] ; [22.84615385  4.15384615],0
r1,1,0.422996,0.641975,[20  5] ; [19  8],[18.75  6.25] ; [20.25  6.75],0
a3,1,0.429565,0.624,[14 11] ; [18  9],[15.38461538  9.61538462] ; [16.61538462 10.38461538],0
a6,1,0.431629,0.618436,[16  9] ; [20  7],[17.30769231  7.69230769] ; [18.69230769  8.30769231],0
a4,1,0.457942,0.550919,[ 6 19] ; [ 9 18],[ 7.21153846 17.78846154] ; [ 7.78846154 19.21153846],0
d3,1,0.457942,0.550919,[19  6] ; [18  9],[17.78846154  7.21153846] ; [19.21153846  7.78846154],0
s5,1,0.482885,0.492342,[ 8 17] ; [10 14],[ 9.18367347 15.81632653] ; [ 8.81632653 15.18367347],0
s7,1,0.483865,0.490141,[13 11] ; [16  9],[14.20408163  9.79591837] ; [14.79591837 10.20408163],0
r3,1,0.506768,0.440736,[23  2] ; [26  1],[23.55769231  1.44230769] ; [25.44230769  1.55769231],0
b5,1,0.513121,0.427697,[17  8] ; [16 11],[15.86538462  9.13461538] ; [17.13461538  9.86538462],0
s2,1,0.538962,0.377467,[14 10] ; [18  9],[15.05882353  8.94117647] ; [16.94117647 10.05882353],0
v1,1,0.597746,0.278409,[13 11] ; [16 10],[13.92 10.08] ; [15.08 10.92],0
p5,1,0.605046,0.267452,[ 3 22] ; [ 2 24],[ 2.45098039 22.54901961] ; [ 2.54901961 23.45098039],0
n3,1,0.622252,0.242716,[3 1] ; [8 5],[2.58823529 1.41176471] ; [8.41176471 4.58823529],0
a5,1,0.624642,0.239397,[16  9] ; [19  8],[16.82692308  8.17307692] ; [18.17307692  8.82692308],0
p1,1,0.703782,0.144567,[ 2 23] ; [ 3 24],[ 2.40384615 22.59615385] ; [ 2.59615385 24.40384615],0
b3,1,0.718432,0.13,[ 7 14] ; [ 7 11],[ 7.53846154 13.46153846] ; [ 6.46153846 11.53846154],0
b2,1,0.718432,0.13,[ 7 14] ; [ 7 11],[ 7.53846154 13.46153846] ; [ 6.46153846 11.53846154],0
p9,1,0.76223,0.091538,[21  4] ; [21  5],[20.58823529  4.41176471] ; [21.41176471  4.58823529],0
p3,1,0.797205,0.066032,[12 13] ; [12 15],[11.53846154 13.46153846] ; [12.46153846 14.53846154],0
n4,1,0.797205,0.066032,[12 13] ; [12 15],[11.53846154 13.46153846] ; [12.46153846 14.53846154],0
u2,1,0.811055,0.057152,[10  1] ; [7 1],[9.84210526 1.15789474] ; [7.15789474 0.84210526],0
v3,1,0.831251,0.045411,[ 8 16] ; [ 7 16],[ 7.65957447 16.34042553] ; [ 7.34042553 15.65957447],0
s3,1,0.846032,0.037707,[16  8] ; [18  8],[16.32  7.68] ; [17.68  8.32],0
s4,1,0.872687,0.025679,[ 6 19] ; [ 7 20],[ 6.25 18.75] ; [ 6.75 20.25],0
a2,1,0.90579,0.014007,[ 4 21] ; [ 4 23],[ 3.84615385 21.15384615] ; [ 4.15384615 22.84615385],0
a7,1,0.918433,0.010487,[17  8] ; [18  9],[16.82692308  8.17307692] ; [18.17307692  8.82692308],0
s1,1,0.953923,0.003339,[ 1 23] ; [ 1 25],[ 0.96 23.04] ; [ 1.04 24.96],0
b1,1,0.956623,0.002958,[15 10] ; [16 11],[14.90384615 10.09615385] ; [16.09615385 10.90384615],0
d1,1,0.956623,0.002958,[15 10] ; [16 11],[14.90384615 10.09615385] ; [16.09615385 10.90384615],0
d2,1,0.97428,0.001039,[11 14] ; [12 15],[11.05769231 13.94230769] ; [11.94230769 15.05769231],0
p12,1,0.977427,0.000801,[ 1 24] ; [ 1 25],[ 0.98039216 24.01960784] ; [ 1.01960784 24.98039216],0
