Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,47.193595,[159  48] ; [42 69],[130.83962264  76.16037736] ; [70.16037736 40.83962264],1
d3,1,0.0,32.367746,[149  57] ; [44 67],[125.41955836  80.58044164] ; [67.58044164 43.41955836],1
r3,1,1e-05,19.519921,[191  14] ; [84 27],[178.40189873  26.59810127] ; [96.59810127 14.40189873],1
d5,1,1.4e-05,18.844976,[168  39] ; [65 46],[151.66981132  55.33018868] ; [81.33018868 29.66981132],1
r4,1,1.6e-05,18.601288,[172  35] ; [68 43],[156.22641509  50.77358491] ; [83.77358491 27.22641509],1
u1,1,2.5e-05,17.730283,[ 41 166] ; [  3 108],[ 28.64150943 178.35849057] ; [15.35849057 95.64150943],1
v4,1,0.000118,14.820079,[187  18] ; [82 27],[175.62101911  29.37898089] ; [93.37898089 15.62101911],1
d4,1,0.000395,12.553691,[169  38] ; [70 40],[156.06624606  50.93375394] ; [82.93375394 27.06624606],1
a2,1,0.00065,11.627465,[ 54 153] ; [ 11 100],[ 42.31132075 164.68867925] ; [22.68867925 88.31132075],1
r1,1,0.002373,9.236077,[150  54] ; [63 48],[137.94285714  66.05714286] ; [75.05714286 35.94285714],0
a5,1,0.003012,8.800356,[143  64] ; [58 53],[130.83962264  76.16037736] ; [70.16037736 40.83962264],0
d1,1,0.00349,8.532031,[112  95] ; [41 70],[ 99.59433962 107.40566038] ; [53.40566038 57.59433962],0
p10,1,0.00364,8.455301,[144  61] ; [58 50],[132.30031949  72.69968051] ; [69.69968051 38.30031949],0
v2,1,0.008719,6.879414,[ 89 112] ; [31 76],[ 78.31168831 122.68831169] ; [41.68831169 65.31168831],0
s6,1,0.008903,6.842258,[124  83] ; [48 60],[113.02857143  93.97142857] ; [58.97142857 49.02857143],0
p2,1,0.010726,6.510231,[153  54] ; [66 44],[143.00630915  63.99369085] ; [75.99369085 34.00630915],0
p9,1,0.012304,6.266496,[156  49] ; [67 40],[146.5224359  58.4775641] ; [76.4775641 30.5224359],0
r2,1,0.015204,5.892631,[182  19] ; [89 21],[175.14790997  25.85209003] ; [95.85209003 14.14790997],0
u3,1,0.020383,5.378761,[39 26] ; [16 27],[33.10185185 31.89814815] ; [21.89814815 21.10185185],0
p4,1,0.023601,5.123687,[ 91 116] ; [34 76],[ 81.62460568 125.37539432] ; [43.37539432 66.62460568],0
u2,1,0.026014,4.9551,[37 27] ; [15 27],[31.39622642 32.60377358] ; [20.60377358 21.39622642],0
s2,1,0.026156,4.945703,[ 96 110] ; [37 73],[ 86.70253165 119.29746835] ; [46.29746835 63.70253165],0
p3,1,0.026194,4.94318,[ 67 139] ; [23 88],[ 58.48580442 147.51419558] ; [31.51419558 79.48580442],0
s8,1,0.038461,4.284537,[ 66 141] ; [23 87],[ 58.11671924 148.88328076] ; [30.88328076 79.11671924],0
b1,1,0.050003,3.841375,[ 79 128] ; [55 56],[ 87.22641509 119.77358491] ; [46.77358491 64.22641509],0
n3,1,0.082181,3.021238,[52 17] ; [27 18],[47.81578947 21.18421053] ; [31.18421053 13.81578947],0
b5,1,0.084279,2.980386,[136  71] ; [62 49],[128.88679245  78.11320755] ; [69.11320755 41.88679245],0
p12,1,0.089266,2.887566,[  4 202] ; [  6 104],[  6.51898734 199.48101266] ; [  3.48101266 106.51898734],0
n6,1,0.097055,2.753277,[156  50] ; [73 36],[149.75873016  56.24126984] ; [79.24126984 29.75873016],0
