Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,31.580041,[54 14] ; [13 35],[39.27586207 28.72413793] ; [27.72413793 20.27586207],1
a6,1,1e-06,23.46447,[55 14] ; [17 31],[42.46153846 26.53846154] ; [29.53846154 18.46153846],1
d5,1,2.9e-05,17.457394,[57 12] ; [22 26],[46.58974359 22.41025641] ; [32.41025641 15.58974359],1
d4,1,0.000131,14.633148,[61  8] ; [27 20],[52.34482759 16.65517241] ; [35.65517241 11.34482759],1
a5,1,0.004352,8.130937,[49 21] ; [21 27],[41.52542373 28.47457627] ; [28.47457627 19.52542373],0
a2,1,0.010313,6.580091,[17 53] ; [ 3 45],[11.86440678 58.13559322] ; [ 8.13559322 39.86440678],0
p2,1,0.013256,6.134594,[46 24] ; [20 27],[39.48717949 30.51282051] ; [26.51282051 20.48717949],0
r3,1,0.02352,5.129694,[58 12] ; [31 17],[52.79661017 17.20338983] ; [36.20338983 11.79661017],0
b5,1,0.027298,4.871847,[45 25] ; [21 27],[39.15254237 30.84745763] ; [26.84745763 21.15254237],0
d1,1,0.029736,4.724514,[36 34] ; [15 33],[30.25423729 39.74576271] ; [20.74576271 27.25423729],0
u1,1,0.038991,4.261241,[ 9 61] ; [ 1 47],[ 5.93220339 64.06779661] ; [ 4.06779661 43.93220339],0
a8,1,0.049287,3.865542,[11 55] ; [ 2 43],[ 7.72972973 58.27027027] ; [ 5.27027027 39.72972973],0
v4,1,0.053829,3.71798,[58 12] ; [31 15],[53.70689655 16.29310345] ; [35.29310345 10.70689655],0
r1,1,0.054837,3.687034,[48 21] ; [25 23],[43.05128205 25.94871795] ; [29.94871795 18.05128205],0
a3,1,0.068966,3.307451,[50 19] ; [27 21],[45.41025641 23.58974359] ; [31.58974359 16.41025641],0
v2,1,0.103638,2.648646,[29 38] ; [12 31],[24.97272727 42.02727273] ; [16.02727273 26.97272727],0
n2,1,0.114069,2.496929,[15 13] ; [20  7],[17.81818182 10.18181818] ; [17.18181818  9.81818182],0
