Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,42.354925,[ 58 141] ; [68 31],[ 84.1409396 114.8590604] ; [41.8590604 57.1409396],1
p4,1,0.0,25.402653,[ 41 160] ; [49 52],[ 59.90066225 141.09933775] ; [30.09933775 70.90066225],1
p6,1,2e-06,22.979414,[ 21 178] ; [34 69],[ 36.24172185 162.75827815] ; [18.75827815 84.24172185],1
p2,1,1.6e-05,18.573846,[126  76] ; [88 14],[142.19736842  59.80263158] ; [71.80263158 30.19736842],1
r4,1,0.007572,7.132019,[148  55] ; [89 14],[157.2254902  45.7745098] ; [79.7745098 23.2254902],0
p11,1,0.008548,6.914905,[132  71] ; [82 21],[141.96732026  61.03267974] ; [72.03267974 30.96732026],0
p9,1,0.011189,6.435039,[131  68] ; [80 20],[140.43143813  58.56856187] ; [70.56856187 29.43143813],0
v4,1,0.01266,6.215952,[169  32] ; [96  6],[175.79207921  25.20792079] ; [89.20792079 12.79207921],0
p10,1,0.012781,6.199225,[121  78] ; [76 25],[130.67666667  68.32333333] ; [66.32333333 34.67666667],0
a7,1,0.025245,5.006975,[126  74] ; [78 25],[134.65346535  65.34653465] ; [69.34653465 33.65346535],0
v1,1,0.039044,4.258966,[ 69 130] ; [47 53],[ 77.20401338 121.79598662] ; [38.79598662 61.20401338],0
d5,1,0.039162,4.253846,[136  66] ; [81 22],[143.71803279  58.28196721] ; [73.28196721 29.71803279],0
s4,1,0.042251,4.12512,[ 31 171] ; [ 7 92],[ 25.50166113 176.49833887] ; [12.49833887 86.50166113],0
r3,1,0.049627,3.854034,[171  29] ; [96  7],[176.23762376  23.76237624] ; [90.76237624 12.23762376],0
n6,1,0.089638,2.880868,[142  60] ; [81 21],[148.17763158  53.82236842] ; [74.82236842 27.17763158],0
s6,1,0.123429,2.373259,[ 82 120] ; [49 49],[ 88.20666667 113.79333333] ; [42.79333333 55.20666667],0
p5,1,0.130788,2.283127,[  5 198] ; [ 6 96],[  7.32131148 195.67868852] ; [ 3.67868852 98.32131148],0
p1,1,0.143267,2.142516,[  8 195] ; [ 8 93],[ 10.68421053 192.31578947] ; [ 5.31578947 95.68421053],0
d1,1,0.154934,2.022989,[ 89 114] ; [54 49],[ 94.86601307 108.13398693] ; [48.13398693 54.86601307],0
s8,1,0.165005,1.92775,[ 22 180] ; [17 86],[ 25.8295082 176.1704918] ; [13.1704918 89.8295082],0
a4,1,0.171978,1.865615,[ 75 126] ; [30 72],[ 69.65346535 131.34653465] ; [35.34653465 66.65346535],0
b5,1,0.177225,1.820739,[124  79] ; [71 32],[129.3627451  73.6372549] ; [65.6372549 37.3627451],0
a5,1,0.184117,1.764079,[112  91] ; [65 38],[117.42156863  85.57843137] ; [59.57843137 43.42156863],0
n1,1,0.184262,1.762909,[23 53] ; [10 12],[25.59183673 50.40816327] ; [ 7.40816327 14.59183673],0
n3,1,0.19325,1.692663,[48 29] ; [17  5],[50.55555556 26.44444444] ; [14.44444444  7.55555556],0
u1,1,0.208373,1.582697,[ 18 185] ; [ 5 98],[ 15.25816993 187.74183007] ; [ 7.74183007 95.25816993],0
v3,1,0.21252,1.554175,[ 47 148] ; [30 67],[ 51.42123288 143.57876712] ; [25.57876712 71.42123288],0
a1,1,0.250938,1.318072,[ 12 191] ; [  3 100],[  9.95098039 193.04901961] ; [ 5.04901961 97.95098039],0
n2,1,0.273792,1.19765,[51 26] ; [18  5],[53.13 23.87] ; [15.87  7.13],0
n5,1,0.29493,1.096978,[121  79] ; [68 34],[125.16556291  74.83443709] ; [63.83443709 38.16556291],0
p12,1,0.320799,0.985686,[  7 196] ; [ 6 96],[  8.65245902 194.34754098] ; [ 4.34754098 97.65245902],0
s5,1,0.321241,0.983885,[ 32 164] ; [21 79],[ 35.09459459 160.90540541] ; [17.90540541 82.09459459],0
s1,1,0.321787,0.981671,[  4 193] ; [ 4 96],[  5.30639731 191.69360269] ; [ 2.69360269 97.30639731],0
r1,1,0.355446,0.853921,[134  68] ; [73 29],[137.54605263  64.45394737] ; [69.45394737 32.54605263],0
r2,1,0.361363,0.833152,[172  27] ; [91 10],[174.45666667  24.54333333] ; [88.54333333 12.45666667],0
a2,1,0.389156,0.741576,[ 31 172] ; [12 91],[ 28.52614379 174.47385621] ; [14.47385621 88.52614379],0
s3,1,0.423455,0.640706,[ 73 126] ; [32 68],[ 69.88294314 129.11705686] ; [35.11705686 64.88294314],0
u2,1,0.437906,0.601762,[42 41] ; [20 26],[39.89147287 43.10852713] ; [22.10852713 23.89147287],0
b1,1,0.442562,0.589629,[ 72 131] ; [32 71],[ 68.99346405 134.00653595] ; [35.00653595 67.99346405],0
n4,1,0.466244,0.530864,[120  82] ; [65 37],[122.92763158  79.07236842] ; [62.07236842 39.92763158],0
d3,1,0.565701,0.329929,[122  79] ; [66 37],[124.30263158  76.69736842] ; [63.69736842 39.30263158],0
u3,1,0.567266,0.327278,[38 46] ; [18 27],[36.46511628 47.53488372] ; [19.53488372 25.46511628],0
a3,1,0.638139,0.221185,[118  83] ; [57 45],[116.08910891  84.91089109] ; [58.91089109 43.08910891],0
v2,1,0.65565,0.198851,[ 79 111] ; [43 54],[ 80.76655052 109.23344948] ; [41.23344948 55.76655052],0
a6,1,0.68037,0.169709,[131  72] ; [64 39],[129.3627451  73.6372549] ; [65.6372549 37.3627451],0
d4,1,0.707773,0.140511,[153  49] ; [80 23],[154.3147541  47.6852459] ; [78.6852459 24.3147541],0
a8,1,0.823296,0.049866,[ 19 175] ; [10 84],[ 19.53472222 174.46527778] ; [ 9.46527778 84.53472222],0
b4,1,0.88269,0.021774,[122  81] ; [61 42],[121.40196078  81.59803922] ; [61.59803922 41.40196078],0
d2,1,0.954763,0.003218,[ 77 123] ; [40 63],[ 77.22772277 122.77227723] ; [39.77227723 63.22772277],0
s2,1,0.965583,0.001862,[ 53 147] ; [27 74],[ 53.15614618 146.84385382] ; [26.84385382 74.15614618],0
u4,1,0.990396,0.000145,[  2 201] ; [  1 102],[  1.99019608 201.00980392] ; [  1.00980392 101.99019608],0
b2,1,0.992479,8.9e-05,[34 72] ; [16 34],[33.97435897 72.02564103] ; [16.02564103 33.97435897],0
b3,1,0.992479,8.9e-05,[34 72] ; [16 34],[33.97435897 72.02564103] ; [16.02564103 33.97435897],0
