Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,95.592076,[14 67] ; [101  15],[47.28426396 33.71573604] ; [67.71573604 48.28426396],1
s6,1,0.0,28.992363,[42 40] ; [100  16],[58.80808081 23.19191919] ; [83.19191919 32.80808081],1
s8,1,0.0,28.042554,[18 64] ; [70 47],[36.26130653 45.73869347] ; [51.73869347 65.26130653],1
s7,1,4.9e-05,16.48514,[29 50] ; [72 36],[42.6684492 36.3315508] ; [58.3315508 49.6684492],1
s5,1,0.000786,11.273431,[16 64] ; [48 63],[26.80628272 53.19371728] ; [37.19371728 73.80628272],1
a2,1,0.001038,10.758853,[15 67] ; [47 70],[25.54773869 56.45226131] ; [36.45226131 80.54773869],0
d1,1,0.002387,9.224962,[40 42] ; [82 35],[50.27135678 31.72864322] ; [71.72864322 45.27135678],0
p9,1,0.002686,9.009631,[60 22] ; [103  12],[67.84771574 14.15228426] ; [95.15228426 19.84771574],0
p10,1,0.00658,7.384047,[55 26] ; [97 18],[62.81632653 18.18367347] ; [89.18367347 25.81632653],0
d2,1,0.008017,7.029655,[36 46] ; [73 43],[45.14141414 36.85858586] ; [63.85858586 52.14141414],0
a4,1,0.013379,6.118343,[34 47] ; [70 47],[42.54545455 38.45454545] ; [61.45454545 55.54545455],0
v4,1,0.017181,5.67777,[72 10] ; [113   4],[76.23115578  5.76884422] ; [108.76884422   8.23115578],0
a5,1,0.02121,5.309469,[54 28] ; [94 23],[60.98492462 21.01507538] ; [87.01507538 29.98492462],0
s4,1,0.022317,5.220911,[ 7 74] ; [24 92],[12.74619289 68.25380711] ; [18.25380711 97.74619289],0
p12,1,0.039662,4.232284,[ 1 81] ; [  9 108],[ 4.12060302 77.87939698] ; [  5.87939698 111.12060302],0
a3,1,0.041281,4.164457,[53 29] ; [91 26],[59.33668342 22.66331658] ; [84.66331658 32.33668342],0
u1,1,0.047224,3.937402,[15 67] ; [36 81],[21.01507538 60.98492462] ; [29.98492462 87.01507538],0
p5,1,0.047646,3.922413,[11 71] ; [  6 107],[ 7.14871795 74.85128205] ; [  9.85128205 103.14871795],0
d4,1,0.064583,3.41559,[59 23] ; [97 20],[64.28140704 17.71859296] ; [91.71859296 25.28140704],0
b2,1,0.066146,3.376168,[27 29] ; [25 52],[21.89473684 34.10526316] ; [30.10526316 46.89473684],0
b3,1,0.066146,3.376168,[27 29] ; [25 52],[21.89473684 34.10526316] ; [30.10526316 46.89473684],0
n3,1,0.078983,3.085714,[16  8] ; [26  4],[18.66666667  5.33333333] ; [23.33333333  6.66666667],0
d5,1,0.09828,2.733232,[66 16] ; [104  13],[70.05025126 11.94974874] ; [99.94974874 17.05025126],0
n2,1,0.119416,2.424962,[13 10] ; [23  7],[15.62264151  7.37735849] ; [20.37735849  9.62264151],0
a7,1,0.12403,2.365676,[55 27] ; [90 27],[59.74874372 22.25125628] ; [85.25125628 31.74874372],0
n6,1,0.126825,2.330942,[64 18] ; [101  16],[67.98994975 14.01005025] ; [97.01005025 19.98994975],0
r2,1,0.127469,2.323064,[72 10] ; [109   7],[74.95959596  7.04040404] ; [106.04040404   9.95959596],0
r4,1,0.168945,1.89228,[69 13] ; [106  11],[72.11055276  9.88944724] ; [102.88944724  14.11055276],0
v1,1,0.178392,1.810966,[35 45] ; [59 51],[39.57894737 40.42105263] ; [54.42105263 55.57894737],0
