Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,33.122758,[ 75 142] ; [64 27],[ 97.93181818 119.06818182] ; [41.06818182 49.93181818],1
p2,1,0.0,25.730298,[132  89] ; [85 11],[151.28391167  69.71608833] ; [65.71608833 30.28391167],1
p11,1,0.004737,7.977073,[140  82] ; [76 20],[150.79245283  71.20754717] ; [65.20754717 30.79245283],0
r4,1,0.005626,7.666328,[172  50] ; [87  9],[180.81132075  41.18867925] ; [78.18867925 17.81132075],0
p3,1,0.007779,7.08372,[ 41 179] ; [31 65],[ 50.12658228 169.87341772] ; [21.87341772 74.12658228],0
p10,1,0.012957,6.175029,[146  75] ; [76 19],[155.25949367  65.74050633] ; [66.74050633 28.25949367],0
p5,1,0.014637,5.959589,[  4 216] ; [ 7 89],[  7.65822785 212.34177215] ; [ 3.34177215 92.65822785],0
p9,1,0.02204,5.242596,[154  64] ; [78 16],[162.1025641  55.8974359] ; [69.8974359 24.1025641],0
a7,1,0.024924,5.02916,[148  74] ; [76 20],[156.37735849  65.62264151] ; [67.62264151 28.37735849],0
r3,1,0.029919,4.713965,[198  23] ; [93  3],[202.87381703  18.12618297] ; [88.12618297  7.87381703],0
v4,1,0.044431,4.040116,[192  28] ; [91  5],[197.02531646  22.97468354] ; [85.97468354 10.02531646],0
p6,1,0.059047,3.563953,[ 31 189] ; [21 71],[ 36.66666667 183.33333333] ; [15.33333333 76.66666667],0
a8,1,0.068777,3.311971,[ 24 187] ; [17 71],[ 28.93311037 182.06688963] ; [12.06688963 75.93311037],0
d3,1,0.081505,3.034642,[147  75] ; [73 23],[153.58490566  68.41509434] ; [66.41509434 29.58490566],0
b1,1,0.100488,2.697777,[ 91 131] ; [30 66],[ 84.47169811 137.52830189] ; [36.52830189 59.47169811],0
s8,1,0.10456,2.634581,[ 69 152] ; [39 57],[ 75.29337539 145.70662461] ; [32.70662461 63.29337539],0
a4,1,0.109341,2.563724,[102 119] ; [35 61],[ 95.51104101 125.48895899] ; [41.48895899 54.51104101],0
a1,1,0.113754,2.501272,[ 14 208] ; [ 2 94],[ 11.16981132 210.83018868] ; [ 4.83018868 91.16981132],0
n6,1,0.119463,2.424342,[160  59] ; [78 18],[165.46666667  53.53333333] ; [72.53333333 23.46666667],0
d5,1,0.13704,2.210887,[179  43] ; [84 12],[183.60377358  38.39622642] ; [79.39622642 16.60377358],0
r2,1,0.154626,2.026012,[197  19] ; [91  4],[200.02572347  15.97427653] ; [87.97427653  7.02572347],0
a5,1,0.172229,1.863435,[147  75] ; [71 25],[152.18867925  69.81132075] ; [65.81132075 30.18867925],0
n2,1,0.192338,1.69962,[53 27] ; [20  5],[55.61904762 24.38095238] ; [17.38095238  7.61904762],0
d1,1,0.218779,1.512365,[127  95] ; [62 34],[131.94339623  90.05660377] ; [57.05660377 38.94339623],0
u2,1,0.222044,1.491113,[34 24] ; [12 15],[31.38823529 26.61176471] ; [14.61176471 12.38823529],0
b4,1,0.2451,1.351021,[138  84] ; [53 43],[133.33962264  88.66037736] ; [57.66037736 38.33962264],0
s4,1,0.274012,1.196552,[ 36 184] ; [11 84],[ 32.82539683 187.17460317] ; [14.17460317 80.82539683],0
r1,1,0.278209,1.175819,[165  57] ; [76 19],[168.77602524  53.22397476] ; [72.22397476 22.77602524],0
s2,1,0.296738,1.088795,[ 87 133] ; [44 52],[ 91.20253165 128.79746835] ; [39.79746835 56.20253165],0
b5,1,0.321861,0.981368,[135  87] ; [64 32],[138.9245283  83.0754717] ; [60.0754717 35.9245283],0
v1,1,0.330398,0.947338,[ 92 125] ; [45 48],[ 95.9 121.1] ; [41.1 51.9],0
u3,1,0.403431,0.698075,[33 28] ; [12 15],[31.19318182 29.80681818] ; [13.80681818 13.19318182],0
s6,1,0.468007,0.526678,[115 104] ; [53 40],[117.92307692 101.07692308] ; [50.07692308 42.92307692],0
s1,1,0.501446,0.451876,[  6 214] ; [ 4 92],[  6.96202532 213.03797468] ; [ 3.03797468 92.96202532],0
p1,1,0.50553,0.443308,[ 10 211] ; [ 6 89],[ 11.18987342 209.81012658] ; [ 4.81012658 90.18987342],0
s7,1,0.53252,0.38958,[ 78 136] ; [37 55],[ 80.4248366 133.5751634] ; [34.5751634 57.4248366],0
s3,1,0.55833,0.342604,[109 111] ; [51 45],[111.39240506 108.60759494] ; [48.60759494 47.39240506],0
a6,1,0.592158,0.286987,[145  77] ; [65 30],[147.06624606  74.93375394] ; [62.93375394 32.06624606],0
u4,1,0.616922,0.250218,[  4 218] ; [ 1 95],[  3.49056604 218.50943396] ; [ 1.50943396 94.49056604],0
v2,1,0.63813,0.221196,[109 103] ; [50 42],[110.88157895 101.11842105] ; [48.11842105 43.88157895],0
n1,1,0.660998,0.192314,[29 50] ; [10 14],[29.91262136 49.08737864] ; [ 9.08737864 14.91262136],0
v3,1,0.681479,0.168466,[ 70 144] ; [33 61],[ 71.56493506 142.43506494] ; [31.43506494 62.56493506],0
b2,1,0.723803,0.124878,[50 77] ; [19 33],[48.95530726 78.04469274] ; [20.04469274 31.95530726],0
b3,1,0.723803,0.124878,[50 77] ; [19 33],[48.95530726 78.04469274] ; [20.04469274 31.95530726],0
s5,1,0.756578,0.096086,[ 56 155] ; [26 66],[ 57.10231023 153.89768977] ; [24.89768977 67.10231023],0
n5,1,0.784068,0.075088,[131  88] ; [59 37],[132.0952381  86.9047619] ; [57.9047619 38.0952381],0
u1,1,0.806408,0.060055,[ 30 192] ; [12 84],[ 29.32075472 192.67924528] ; [12.67924528 83.32075472],0
d2,1,0.830639,0.045746,[106 114] ; [45 51],[105.12658228 114.87341772] ; [45.87341772 50.12658228],0
