Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,25.684442,[37 56] ; [120  47],[56.15769231 36.84230769] ; [100.84230769  66.15769231],1
p11,1,9.4e-05,15.251531,[61 32] ; [144  23],[73.32692308 19.67307692] ; [131.67307692  35.32692308],1
a5,1,0.000177,14.063577,[49 44] ; [126  41],[62.59615385 30.40384615] ; [112.40384615  54.59615385],1
p6,1,0.000457,12.283036,[23 69] ; [78 87],[36.15564202 55.84435798] ; [ 64.84435798 100.15564202],1
p3,1,0.000815,11.20712,[35 58] ; [99 68],[47.93076923 45.06923077] ; [86.06923077 80.93076923],1
p10,1,0.002871,8.887763,[61 31] ; [138  29],[70.68725869 21.31274131] ; [128.31274131  38.68725869],0
d1,1,0.002982,8.81856,[39 54] ; [102  65],[50.43461538 42.56538462] ; [90.56538462 76.43461538],0
d5,1,0.012458,6.244503,[65 27] ; [140  27],[72.81853282 19.18146718] ; [132.18146718  34.81853282],0
p1,1,0.022342,5.218987,[ 2 91] ; [ 16 149],[ 6.48837209 86.51162791] ; [ 11.51162791 153.48837209],0
p9,1,0.037259,4.338544,[67 26] ; [137  28],[73.53488372 19.46511628] ; [130.46511628  34.53488372],0
p12,1,0.04146,4.157116,[ 1 92] ; [ 11 155],[ 4.30888031 88.69111969] ; [  7.69111969 158.30888031],0
s8,1,0.06313,3.45319,[14 78] ; [ 42 125],[19.89189189 72.10810811] ; [ 36.10810811 130.89189189],0
d4,1,0.069811,3.28747,[68 25] ; [138  29],[73.68461538 19.31538462] ; [132.31538462  34.68461538],0
n5,1,0.092223,2.835136,[58 35] ; [121  46],[64.02692308 28.97307692] ; [114.97307692  52.02692308],0
d2,1,0.110012,2.55405,[35 58] ; [80 87],[41.13461538 51.86538462] ; [73.86538462 93.13461538],0
s5,1,0.119244,2.42722,[18 74] ; [ 46 116],[23.18110236 68.81889764] ; [ 40.81889764 121.18110236],0
a7,1,0.122779,2.381507,[61 31] ; [125  41],[66.3255814 25.6744186] ; [119.6744186  46.3255814],0
d3,1,0.124218,2.363318,[54 37] ; [115  52],[59.60852713 31.39147287] ; [109.39147287  57.60852713],0
v1,1,0.125066,2.352702,[41 48] ; [91 71],[46.80478088 42.19521912] ; [85.19521912 76.80478088],0
n1,1,0.127276,2.325416,[ 4 21] ; [ 9 17],[ 6.37254902 18.62745098] ; [ 6.62745098 19.37254902],0
r1,1,0.131139,2.278973,[66 26] ; [132  33],[70.87937743 21.12062257] ; [127.12062257  37.87937743],0
r4,1,0.136037,2.222221,[79 14] ; [152  15],[82.62692308 10.37307692] ; [148.37307692  18.62692308],0
