Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,9e-06,19.633848,[15 22] ; [118  34],[26.03703704 10.96296296] ; [106.96296296  45.03703704],1
s3,1,2.6e-05,17.682751,[16 21] ; [118  33],[26.37234043 10.62765957] ; [107.62765957  43.37234043],1
s5,1,0.000237,13.510221,[ 4 30] ; [68 80],[13.45054945 20.54945055] ; [58.54945055 89.45054945],1
v4,1,0.000363,12.712249,[29  7] ; [147   5],[33.70212766  2.29787234] ; [142.29787234   9.70212766],1
s8,1,0.000817,11.202072,[15 22] ; [107  46],[23.75789474 13.24210526] ; [98.24210526 54.75789474],1
r4,1,0.00089,11.043032,[26 11] ; [139  14],[32.13157895  4.86842105] ; [132.86842105  20.13157895],1
b5,1,0.003935,8.313721,[18 19] ; [112  41],[25.31578947 11.68421053] ; [104.68421053  48.31578947],0
a2,1,0.004677,8.00025,[ 5 32] ; [58 95],[12.26842105 24.73157895] ; [ 50.73157895 102.26842105],0
p9,1,0.005187,7.812977,[25 11] ; [134  18],[30.44680851  5.55319149] ; [128.55319149  23.44680851],0
b3,1,0.009937,6.646154,[18  9] ; [46 71],[12. 15.] ; [52. 65.],0
b2,1,0.009937,6.646154,[18  9] ; [46 71],[12. 15.] ; [52. 65.],0
d1,1,0.013299,6.128856,[16 21] ; [100  53],[22.58947368 14.41052632] ; [93.41052632 59.58947368],0
n5,1,0.020756,5.347162,[22 15] ; [117  33],[27.5026738  9.4973262] ; [111.4973262  38.5026738],0
b1,1,0.030085,4.70441,[ 9 28] ; [67 86],[14.8 22.2] ; [61.2 91.8],0
r1,1,0.03697,4.351816,[25 12] ; [126  26],[29.56084656  7.43915344] ; [121.43915344  30.56084656],0
d5,1,0.037434,4.330564,[28  9] ; [135  17],[31.91005291  5.08994709] ; [131.08994709  20.91005291],0
d2,1,0.03839,4.28768,[17 20] ; [98 54],[22.51322751 14.48677249] ; [92.48677249 59.51322751],0
d3,1,0.093874,2.806646,[21 16] ; [108  44],[25.25396825 11.74603175] ; [103.74603175  48.25396825],0
r3,1,0.094424,2.797294,[33  4] ; [146   6],[35.04232804  1.95767196] ; [143.95767196   8.04232804],0
a7,1,0.10586,2.614956,[21 16] ; [108  45],[25.12105263 11.87894737] ; [103.87894737  49.12105263],0
b4,1,0.156429,2.008416,[17 20] ; [90 63],[20.83684211 16.16315789] ; [86.16315789 66.83684211],0
p4,1,0.17804,1.813905,[16 21] ; [85 68],[19.66842105 17.33157895] ; [81.33157895 71.66842105],0
v1,1,0.233972,1.416549,[15 21] ; [77 69],[18.1978022 17.8021978] ; [73.8021978 72.1978022],0
r2,1,0.253382,1.304562,[32  3] ; [145   6],[33.30645161  1.69354839] ; [143.69354839   7.30645161],0
