Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,3e-06,21.811657,[13  7] ; [13 73],[ 4.90566038 15.09433962] ; [21.09433962 64.90566038],1
p4,1,0.002355,9.250222,[11 10] ; [18 72],[ 5.48648649 15.51351351] ; [23.51351351 66.48648649],0
r4,1,0.018474,5.550655,[19  2] ; [59 33],[14.49557522  6.50442478] ; [63.50442478 28.49557522],0
n6,1,0.032388,4.57784,[18  3] ; [55 35],[13.81081081  7.18918919] ; [59.18918919 30.81081081],0
s6,1,0.036352,4.380499,[13  8] ; [34 58],[ 8.73451327 12.26548673] ; [38.26548673 53.73451327],0
r1,1,0.043152,4.089428,[17  4] ; [52 39],[12.9375  8.0625] ; [56.0625 34.9375],0
p10,1,0.056345,3.641829,[15  6] ; [43 46],[11.07272727  9.92727273] ; [46.92727273 42.07272727],0
p9,1,0.059246,3.558372,[17  4] ; [53 37],[13.24324324  7.75675676] ; [56.75675676 33.24324324],0
r3,1,0.065833,3.383976,[20  1] ; [70 20],[17.02702703  3.97297297] ; [72.97297297 17.02702703],0
a3,1,0.066562,3.365822,[14  7] ; [40 50],[10.21621622 10.78378378] ; [43.78378378 46.21621622],0
s5,1,0.073632,3.200144,[ 6 13] ; [13 77],[ 3.31192661 15.68807339] ; [15.68807339 74.31192661],0
v4,1,0.079207,3.081107,[20  1] ; [71 19],[17.21621622  3.78378378] ; [73.78378378 16.21621622],0
a8,1,0.083755,2.990485,[ 5 15] ; [ 9 77],[ 2.64150943 17.35849057] ; [11.35849057 74.64150943],0
a2,1,0.08826,2.905828,[ 3 18] ; [ 4 88],[ 1.30088496 19.69911504] ; [ 5.69911504 86.30088496],0
s2,1,0.098735,2.725862,[10 11] ; [26 64],[ 6.81081081 14.18918919] ; [29.18918919 60.81081081],0
a5,1,0.133937,2.246274,[11 10] ; [32 60],[ 7.99115044 13.00884956] ; [35.00884956 56.99115044],0
u2,1,0.143164,2.143612,[5 2] ; [21 29],[3.19298246 3.80701754] ; [22.80701754 27.19298246],0
s3,1,0.163646,1.940204,[13  8] ; [41 50],[10.125 10.875] ; [43.875 47.125],0
u3,1,0.191118,1.708977,[5 2] ; [23 28],[3.37931034 3.62068966] ; [24.62068966 26.37931034],0
a7,1,0.193106,1.693764,[13  8] ; [42 49],[10.3125 10.6875] ; [44.6875 46.3125],0
d2,1,0.21283,1.552069,[ 7 14] ; [19 73],[ 4.83185841 16.16814159] ; [21.16814159 70.83185841],0
s4,1,0.236824,1.399398,[ 2 19] ; [19 73],[ 3.90265487 17.09734513] ; [17.09734513 74.90265487],0
n4,1,0.264715,1.243933,[15  6] ; [53 38],[12.75  8.25] ; [55.25 35.75],0
p5,1,0.308949,1.035165,[ 2 18] ; [ 4 88],[ 1.07142857 18.92857143] ; [ 4.92857143 87.07142857],0
d1,1,0.339839,0.911038,[ 2 19] ; [ 4 88],[ 1.11504425 19.88495575] ; [ 4.88495575 87.11504425],0
p7,1,0.340956,0.906833,[10 11] ; [32 56],[ 8.09174312 12.90825688] ; [33.90825688 54.09174312],0
n5,1,0.353558,0.860646,[11 10] ; [57 33],[12.86486486  8.13513514] ; [55.13513514 34.86486486],0
p11,1,0.366278,0.816252,[15  6] ; [56 36],[13.19469027  7.80530973] ; [57.80530973 34.19469027],0
b2,1,0.389122,0.741683,[7 8] ; [19 36],[5.57142857 9.42857143] ; [20.42857143 34.57142857],0
b3,1,0.389122,0.741683,[7 8] ; [19 36],[5.57142857 9.42857143] ; [20.42857143 34.57142857],0
p2,1,0.394724,0.724339,[14  7] ; [52 40],[12.26548673  8.73451327] ; [53.73451327 38.26548673],0
n1,1,0.430223,0.622222,[3 3] ; [12 24],[2.14285714 3.85714286] ; [12.85714286 23.14285714],0
p12,1,0.505632,0.443096,[ 1 20] ; [ 2 90],[ 0.55752212 20.44247788] ; [ 2.44247788 89.55752212],0
b4,1,0.516723,0.420428,[10 11] ; [51 41],[11.33628319  9.66371681] ; [49.66371681 42.33628319],0
n3,1,0.548262,0.36044,[4 1] ; [24 12],[3.41463415 1.58536585] ; [24.58536585 11.41463415],0
v1,1,0.549352,0.358479,[ 9 11] ; [34 56],[ 7.81818182 12.18181818] ; [35.18181818 54.81818182],0
r2,1,0.560914,0.338123,[18  3] ; [73 18],[17.0625  3.9375] ; [73.9375 17.0625],0
p3,1,0.577715,0.309943,[ 5 16] ; [17 75],[ 4.08849558 16.91150442] ; [17.91150442 74.08849558],0
d3,1,0.597344,0.279021,[10 11] ; [38 54],[ 8.92035398 12.07964602] ; [39.07964602 52.92035398],0
p6,1,0.597898,0.278178,[ 4 17] ; [13 77],[ 3.21621622 17.78378378] ; [13.78378378 76.21621622],0
b5,1,0.616159,0.251303,[12  9] ; [47 45],[10.96460177 10.03539823] ; [48.03539823 43.96460177],0
v2,1,0.625201,0.238624,[ 7 13] ; [25 60],[ 6.0952381 13.9047619] ; [25.9047619 59.0952381],0
p1,1,0.628403,0.234233,[ 2 19] ; [ 6 86],[ 1.48672566 19.51327434] ; [ 6.51327434 85.48672566],0
n2,1,0.638959,0.220106,[4 2] ; [28  9],[4.46511628 1.53488372] ; [27.53488372  9.46511628],0
a1,1,0.646275,0.210629,[ 1 20] ; [ 7 85],[ 1.48672566 19.51327434] ; [ 6.51327434 85.48672566],0
v3,1,0.809502,0.058114,[ 4 16] ; [20 69],[ 4.40366972 15.59633028] ; [19.59633028 69.40366972],0
a6,1,0.8439,0.038773,[11 10] ; [46 46],[10.59292035 10.40707965] ; [46.40707965 45.59292035],0
s1,1,0.868094,0.027583,[ 1 20] ; [ 5 83],[ 1.1559633 19.8440367] ; [ 4.8440367 83.1559633],0
a4,1,0.939285,0.005802,[ 4 17] ; [18 73],[ 4.125 16.875] ; [17.875 73.125],0
b1,1,0.958669,0.002686,[ 9 12] ; [40 52],[ 9.10619469 11.89380531] ; [39.89380531 52.10619469],0
d4,1,0.975824,0.000918,[11 10] ; [48 43],[11.0625  9.9375] ; [47.9375 43.0625],0
