Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,53.7335,[83 11] ; [ 3 20],[69.09401709 24.90598291] ; [16.90598291  6.09401709],1
p2,1,0.0,27.361563,[74 20] ; [ 5 18],[63.47008547 30.52991453] ; [15.52991453  7.47008547],1
p11,1,1.5e-05,18.760824,[77 19] ; [ 8 15],[68.57142857 27.42857143] ; [16.42857143  6.57142857],1
r3,1,2.7e-05,17.609813,[85 10] ; [12 11],[78.09322034 16.90677966] ; [18.90677966  4.09322034],1
s1,1,3e-05,17.440132,[ 1 95] ; [ 5 17],[ 4.88135593 91.11864407] ; [ 1.11864407 20.88135593],1
n6,1,0.001321,10.312318,[79 17] ; [11 11],[73.22033898 22.77966102] ; [16.77966102  5.22033898],0
r4,1,0.00207,9.486277,[63 33] ; [ 7 16],[56.47058824 39.52941176] ; [13.52941176  9.47058824],0
p3,1,0.006796,7.32598,[52 43] ; [ 5 17],[46.28205128 48.71794872] ; [10.71794872 11.28205128],0
n5,1,0.008851,6.852694,[75 20] ; [12 11],[70.04237288 24.95762712] ; [16.95762712  6.04237288],0
n4,1,0.010828,6.493365,[72 24] ; [11 12],[66.95798319 29.04201681] ; [16.04201681  6.95798319],0
s6,1,0.012723,6.207222,[59 34] ; [ 8 15],[53.71551724 39.28448276] ; [13.28448276  9.71551724],0
n2,1,0.019016,5.5,[27  5] ; [6 6],[24.  8.] ; [9. 3.],0
v4,1,0.025003,5.023694,[82 14] ; [15  8],[78.25210084 17.74789916] ; [18.74789916  4.25210084],0
p6,1,0.029139,4.759387,[35 57] ; [ 3 19],[30.66666667 61.33333333] ; [ 7.33333333 14.66666667],0
n3,1,0.037762,4.315709,[24  8] ; [5 7],[21.09090909 10.90909091] ; [7.90909091 4.09090909],0
b5,1,0.039419,4.242712,[64 32] ; [10 13],[59.69747899 36.30252101] ; [14.30252101  8.69747899],0
b1,1,0.041878,4.14011,[40 56] ; [15  8],[44.3697479 51.6302521] ; [10.6302521 12.3697479],0
s8,1,0.045465,4.00129,[38 58] ; [ 4 19],[33.88235294 62.11764706] ; [ 8.11764706 14.88235294],0
s7,1,0.066887,3.357797,[42 50] ; [ 5 16],[38.26548673 53.73451327] ; [ 8.73451327 12.26548673],0
n1,1,0.094264,2.8,[16 16] ; [2 8],[13.71428571 18.28571429] ; [4.28571429 5.71428571],0
d2,1,0.094544,2.795257,[46 49] ; [15  7],[49.52991453 45.47008547] ; [11.47008547 10.52991453],0
p8,1,0.149128,2.081145,[41 52] ; [ 6 16],[38.00869565 54.99130435] ; [ 8.99130435 13.00869565],0
a4,1,0.156125,2.011364,[45 51] ; [14  8],[48. 48.] ; [11. 11.],0
s2,1,0.160928,1.965487,[49 47] ; [ 8 15],[45.98319328 50.01680672] ; [11.01680672 11.98319328],0
v1,1,0.173661,1.851049,[42 49] ; [ 7 16],[39.11403509 51.88596491] ; [ 9.88596491 13.11403509],0
v3,1,0.180252,1.795547,[29 63] ; [ 4 19],[26.4 65.6] ; [ 6.6 16.4],0
s5,1,0.185693,1.751459,[29 60] ; [ 4 18],[26.45945946 62.54054054] ; [ 6.54054054 15.45945946],0
a3,1,0.186853,1.742257,[71 25] ; [20  3],[73.41176471 22.58823529] ; [17.58823529  5.41176471],0
p7,1,0.193338,1.691997,[51 43] ; [ 9 14],[48.20512821 45.79487179] ; [11.79487179 11.20512821],0
b4,1,0.19793,1.657585,[56 40] ; [10 13],[53.24369748 42.75630252] ; [12.75630252 10.24369748],0
p4,1,0.227714,1.455084,[54 40] ; [10 13],[51.41880342 42.58119658] ; [12.58119658 10.41880342],0
r2,1,0.233183,1.42134,[77 15] ; [16  6],[75.05263158 16.94736842] ; [17.94736842  4.05263158],0
u1,1,0.268404,1.224885,[ 6 90] ; [ 3 20],[ 7.2605042 88.7394958] ; [ 1.7394958 21.2605042],0
p5,1,0.327169,0.960072,[11 84] ; [ 1 21],[ 9.74358974 85.25641026] ; [ 2.25641026 19.74358974],0
d4,1,0.360717,0.835396,[79 17] ; [17  6],[77.44537815 18.55462185] ; [18.55462185  4.44537815],0
d3,1,0.433873,0.612434,[54 42] ; [15  8],[55.66386555 40.33613445] ; [13.33613445  9.66386555],0
a6,1,0.503168,0.448249,[64 32] ; [17  6],[65.34453782 30.65546218] ; [15.65546218  7.34453782],0
s4,1,0.51906,0.415761,[18 78] ; [ 3 20],[16.94117647 79.05882353] ; [ 4.05882353 18.94117647],0
s3,1,0.544076,0.368038,[48 47] ; [10 13],[46.69491525 48.30508475] ; [11.30508475 11.69491525],0
u3,1,0.585957,0.296703,[12 12] ; [1 2],[11.55555556 12.44444444] ; [1.44444444 1.55555556],0
a7,1,0.596931,0.27965,[60 36] ; [13 10],[58.8907563 37.1092437] ; [14.1092437  8.8907563],0
d1,1,0.68761,0.161685,[54 42] ; [14  9],[54.85714286 41.14285714] ; [13.14285714  9.85714286],0
p1,1,0.702842,0.145532,[11 85] ; [ 2 21],[10.48739496 85.51260504] ; [ 2.51260504 20.48739496],0
a1,1,0.71681,0.131569,[10 86] ; [ 3 20],[10.48739496 85.51260504] ; [ 2.51260504 20.48739496],0
v2,1,0.735862,0.113797,[40 53] ; [ 9 14],[39.28448276 53.71551724] ; [ 9.71551724 13.28448276],0
a2,1,0.744367,0.106325,[18 78] ; [ 5 18],[18.55462185 77.44537815] ; [ 4.44537815 18.55462185],0
d5,1,0.756295,0.096317,[81 15] ; [20  3],[81.4789916 14.5210084] ; [19.5210084  3.4789916],0
b2,1,0.806034,0.060293,[22 34] ; [5 9],[21.6 34.4] ; [5.4 8.6],0
b3,1,0.806034,0.060293,[22 34] ; [5 9],[21.6 34.4] ; [5.4 8.6],0
