Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.008906,6.841677,[55 17] ; [62 46],[46.8 25.2] ; [70.2 37.8],0
a8,1,0.009351,6.754457,[10 54] ; [ 4 96],[ 5.46341463 58.53658537] ; [ 8.53658537 91.46341463],0
d2,1,0.010992,6.46653,[36 36] ; [34 75],[27.84530387 44.15469613] ; [42.15469613 66.84530387],0
a2,1,0.014299,6.000873,[16 56] ; [10 99],[10.34254144 61.65745856] ; [15.65745856 93.34254144],0
a4,1,0.014529,5.972743,[34 38] ; [32 77],[26.25414365 45.74585635] ; [39.74585635 69.25414365],0
s8,1,0.040476,4.197801,[34 38] ; [35 74],[27.44751381 44.55248619] ; [41.55248619 67.44751381],0
n3,1,0.0438,4.064274,[15  1] ; [23 11],[12.16  3.84] ; [25.84  8.16],0
a5,1,0.044128,4.051675,[54 18] ; [66 43],[47.73480663 24.26519337] ; [72.26519337 36.73480663],0
s7,1,0.046264,3.971965,[33 39] ; [33 73],[26.69662921 45.30337079] ; [39.30337079 66.69662921],0
s5,1,0.048372,3.897015,[14 49] ; [39 67],[19.75739645 43.24260355] ; [33.24260355 72.75739645],0
r4,1,0.060066,3.535572,[66  6] ; [89 20],[61.65745856 10.34254144] ; [93.34254144 15.65745856],0
p11,1,0.064583,3.415586,[59 13] ; [76 33],[53.70165746 18.29834254] ; [81.29834254 27.70165746],0
p6,1,0.098956,2.722295,[24 45] ; [25 82],[19.21022727 49.78977273] ; [29.78977273 77.21022727],0
u2,1,0.131478,2.274968,[13  4] ; [25 20],[10.41935484  6.58064516] ; [27.58064516 17.41935484],0
d5,1,0.133978,2.245799,[59 13] ; [78 30],[54.8 17.2] ; [82.2 25.8],0
n6,1,0.135969,2.223,[53 19] ; [68 40],[48.4 23.6] ; [72.6 35.4],0
p4,1,0.136991,2.211442,[36 35] ; [43 66],[31.16111111 39.83888889] ; [47.83888889 61.16111111],0
r3,1,0.188592,1.72858,[70  2] ; [101   8],[68.02209945  3.97790055] ; [102.97790055   6.02209945],0
n1,1,0.191504,1.706011,[ 2 14] ; [10 24],[ 3.84 12.16] ; [ 8.16 25.84],0
d1,1,0.220888,1.498595,[43 29] ; [55 54],[38.98342541 33.01657459] ; [59.01657459 49.98342541],0
s2,1,0.275158,1.190852,[28 43] ; [52 57],[31.55555556 39.44444444] ; [48.44444444 60.55555556],0
p7,1,0.277306,1.180248,[45 27] ; [57 48],[41.49152542 30.50847458] ; [60.50847458 44.49152542],0
s4,1,0.30601,1.047817,[12 60] ; [25 84],[14.71823204 57.28176796] ; [22.28176796 86.71823204],0
b4,1,0.313107,1.017524,[47 25] ; [63 46],[43.75690608 28.24309392] ; [66.24309392 42.75690608],0
b1,1,0.330288,0.947767,[24 48] ; [29 80],[21.08287293 50.91712707] ; [31.91712707 77.08287293],0
r1,1,0.332111,0.940649,[56 16] ; [77 31],[53.2 18.8] ; [79.8 28.2],0
s1,1,0.338404,0.916469,[ 4 68] ; [  3 106],[ 2.78453039 69.21546961] ; [  4.21546961 104.78453039],0
v2,1,0.354319,0.857929,[39 31] ; [49 52],[36.02339181 33.97660819] ; [51.97660819 49.02339181],0
p3,1,0.359273,0.840432,[32 40] ; [41 68],[29.03867403 42.96132597] ; [43.96132597 65.03867403],0
v4,1,0.365897,0.817552,[69  3] ; [99  8],[67.57541899  4.42458101] ; [100.42458101   6.57541899],0
a6,1,0.434817,0.609921,[49 23] ; [68 41],[46.54143646 25.45856354] ; [70.45856354 38.54143646],0
a7,1,0.464214,0.535714,[54 18] ; [86 22],[56. 16.] ; [84. 24.],0
