Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,44.084543,[10 49] ; [39  9],[27.01869159 31.98130841] ; [21.98130841 26.01869159],1
s6,1,0.0,25.999736,[23 35] ; [43  6],[35.77570093 22.22429907] ; [30.22429907 18.77570093],1
s2,1,1e-06,24.041544,[17 40] ; [38 11],[29.5754717 27.4245283] ; [25.4245283 23.5754717],1
s3,1,3e-06,22.057292,[19 38] ; [38 10],[30.94285714 26.05714286] ; [26.05714286 21.94285714],1
d2,1,7.5e-05,15.683006,[17 41] ; [32 15],[27.06666667 30.93333333] ; [21.93333333 25.06666667],1
d1,1,0.000143,14.464753,[23 36] ; [37 12],[32.77777778 26.22222222] ; [27.22222222 21.77777778],1
d5,1,0.000488,12.162245,[33 26] ; [41  6],[41.18867925 17.81132075] ; [32.81132075 14.18867925],1
p6,1,0.000752,11.356047,[ 8 50] ; [21 28],[15.71962617 42.28037383] ; [13.28037383 35.71962617],1
a5,1,0.000823,11.189399,[33 26] ; [42  7],[40.97222222 18.02777778] ; [34.02777778 14.97222222],1
u1,1,0.005017,7.873314,[ 4 55] ; [13 36],[ 9.28703704 49.71296296] ; [ 7.71296296 41.28703704],0
r1,1,0.005795,7.613028,[35 24] ; [41  8],[41.51851852 17.48148148] ; [34.48148148 14.51851852],0
a2,1,0.00861,6.902046,[ 7 52] ; [16 33],[12.56481481 46.43518519] ; [10.43518519 38.56481481],0
a3,1,0.015314,5.879957,[32 26] ; [38 11],[37.94392523 20.05607477] ; [32.05607477 16.94392523],0
d4,1,0.025683,4.977215,[39 20] ; [40  7],[43.97169811 15.02830189] ; [35.02830189 11.97169811],0
r2,1,0.029096,4.761941,[50  8] ; [48  1],[53.12149533  4.87850467] ; [44.87850467  4.12149533],0
p7,1,0.029816,4.719856,[15 42] ; [22 25],[20.27884615 36.72115385] ; [16.72115385 30.27884615],0
s5,1,0.045826,3.987987,[12 41] ; [19 27],[16.5959596 36.4040404] ; [14.4040404 31.5959596],0
a4,1,0.047201,3.938221,[22 36] ; [28 21],[27.10280374 30.89719626] ; [22.89719626 26.10280374],0
v4,1,0.055978,3.652719,[50  9] ; [47  2],[52.99074074  6.00925926] ; [44.00925926  4.99074074],0
b1,1,0.072356,3.228739,[20 39] ; [25 24],[24.58333333 34.41666667] ; [20.41666667 28.58333333],0
n4,1,0.082439,3.016145,[38 21] ; [39 10],[42.06481481 16.93518519] ; [34.93518519 14.06481481],0
u3,1,0.086541,2.937569,[14 13] ; [9 2],[16.34210526 10.65789474] ; [6.65789474 4.34210526],0
b3,1,0.119464,2.424333,[ 9 23] ; [18 21],[12.16901408 19.83098592] ; [14.83098592 24.16901408],0
b2,1,0.119464,2.424333,[ 9 23] ; [18 21],[12.16901408 19.83098592] ; [14.83098592 24.16901408],0
v3,1,0.121716,2.395095,[16 39] ; [19 24],[19.64285714 35.35714286] ; [15.35714286 27.64285714],0
p5,1,0.138252,2.197308,[ 3 56] ; [ 6 39],[ 5.10576923 53.89423077] ; [ 3.89423077 41.10576923],0
n6,1,0.163706,1.939658,[41 18] ; [39  9],[44.11214953 14.88785047] ; [35.88785047 12.11214953],0
b4,1,0.180413,1.794219,[31 28] ; [32 17],[34.41666667 24.58333333] ; [28.58333333 20.41666667],0
p4,1,0.184023,1.764829,[17 41] ; [20 28],[20.24528302 37.75471698] ; [16.75471698 31.24528302],0
d3,1,0.201843,1.628991,[33 26] ; [32 15],[36.17924528 22.82075472] ; [28.82075472 18.17924528],0
a6,1,0.22135,1.495598,[36 23] ; [34 13],[38.96226415 20.03773585] ; [31.03773585 15.96226415],0
v1,1,0.222841,1.485982,[25 34] ; [25 21],[28.0952381 30.9047619] ; [21.9047619 24.0952381],0
v2,1,0.276184,1.185771,[27 28] ; [27 18],[29.7 25.3] ; [24.3 20.7],0
u4,1,0.280954,1.162472,[ 2 57] ; [ 4 45],[ 3.27777778 55.72222222] ; [ 2.72222222 46.27777778],0
n3,1,0.296505,1.089847,[16  4] ; [11  6],[14.59459459  5.40540541] ; [12.40540541  4.59459459],0
p3,1,0.326304,0.963512,[18 41] ; [19 29],[20.40186916 38.59813084] ; [16.59813084 31.40186916],0
p12,1,0.338724,0.915254,[ 5 54] ; [ 7 42],[ 6.55555556 52.44444444] ; [ 5.44444444 43.55555556],0
n5,1,0.347515,0.882511,[39 19] ; [37 12],[41.19626168 16.80373832] ; [34.80373832 14.19626168],0
r4,1,0.363294,0.826473,[48 11] ; [43  6],[49.71296296  9.28703704] ; [41.28703704  7.71296296],0
u2,1,0.385831,0.752039,[13 14] ; [7 4],[14.21052632 12.78947368] ; [5.78947368 5.21052632],0
p10,1,0.410773,0.676563,[47 12] ; [42  7],[48.62037037 10.37962963] ; [40.37962963  8.62037037],0
a1,1,0.448696,0.573944,[ 6 53] ; [ 3 46],[ 4.91666667 54.08333333] ; [ 4.08333333 44.91666667],0
r3,1,0.448696,0.573944,[53  6] ; [46  3],[54.08333333  4.91666667] ; [44.91666667  4.08333333],0
p8,1,0.486911,0.483346,[18 41] ; [12 37],[16.38888889 42.61111111] ; [13.61111111 35.38888889],0
n2,1,0.497727,0.459779,[18  2] ; [14  3],[17.2972973  2.7027027] ; [14.7027027  2.2972973],0
p1,1,0.518954,0.415972,[ 5 54] ; [ 6 43],[ 6.00925926 52.99074074] ; [ 4.99074074 44.00925926],0
s1,1,0.548889,0.359312,[ 3 54] ; [ 4 45],[ 3.76415094 53.23584906] ; [ 3.23584906 45.76415094],0
n1,1,0.591465,0.288062,[10 10] ; [10  7],[10.81081081  9.18918919] ; [9.18918919 7.81081081],0
s4,1,0.656868,0.197351,[13 44] ; [13 36],[13.98113208 43.01886792] ; [12.01886792 36.98113208],0
b5,1,0.748562,0.102743,[38 21] ; [33 16],[38.78703704 20.21296296] ; [32.21296296 16.78703704],0
a8,1,0.824378,0.049248,[ 7 50] ; [ 5 41],[ 6.6407767 50.3592233] ; [ 5.3592233 40.6407767],0
p11,1,0.866729,0.028162,[43 16] ; [35 14],[42.61111111 16.38888889] ; [35.38888889 13.61111111],0
a7,1,0.92238,0.009494,[38 21] ; [32 17],[38.24074074 20.75925926] ; [31.75925926 17.24074074],0
