Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,54.036095,[ 43 111] ; [137  67],[77.4301676 76.5698324] ; [102.5698324 101.4301676],1
p4,1,0.0,36.242996,[ 52 103] ; [135  71],[80.29085873 74.70914127] ; [106.70914127  99.29085873],1
p6,1,0.0,36.002099,[ 19 136] ; [ 84 120],[ 44.47075209 110.52924791] ; [ 58.52924791 145.47075209],1
p3,1,0.0,26.864414,[ 41 114] ; [111  96],[65.08287293 89.91712707] ; [ 86.91712707 120.08287293],1
p2,1,0.0,25.912542,[113  42] ; [190  15],[130.45833333  24.54166667] ; [172.54166667  32.45833333],1
d5,1,0.000162,14.231409,[107  48] ; [177  30],[121.60220994  33.39779006] ; [162.39779006  44.60220994],1
a2,1,0.002689,9.007464,[ 18 137] ; [ 50 158],[ 29.03581267 125.96418733] ; [ 38.96418733 169.03581267],0
r1,1,0.004045,8.263574,[101  53] ; [163  43],[112.93333333  41.06666667] ; [151.06666667  54.93333333],0
d1,1,0.004761,7.968201,[70 85] ; [125  83],[83.26446281 71.73553719] ; [111.73553719  96.26446281],0
a3,1,0.010483,6.550912,[83 71] ; [139  68],[94.70360111 59.29639889] ; [127.29639889  79.70360111],0
v2,1,0.01436,5.993387,[66 79] ; [116  81],[77.16374269 67.83625731] ; [104.83625731  92.16374269],0
n4,1,0.015488,5.860083,[98 57] ; [156  52],[108.45730028  46.54269972] ; [145.54269972  62.45730028],0
s8,1,0.018019,5.594298,[ 23 132] ; [ 52 156],[ 32.02479339 122.97520661] ; [ 42.97520661 165.02479339],0
r4,1,0.028908,4.773103,[129  26] ; [189  19],[135.78512397  19.21487603] ; [182.21487603  25.78512397],0
p10,1,0.030765,4.666026,[131  24] ; [190  17],[137.44475138  17.55524862] ; [183.55524862  23.44475138],0
u1,1,0.036737,4.362556,[ 12 143] ; [ 31 177],[ 18.36088154 136.63911846] ; [ 24.63911846 183.36088154],0
v4,1,0.045067,4.016119,[140  15] ; [197   9],[144.69529086  10.30470914] ; [192.30470914  13.69529086],0
a5,1,0.067895,3.33318,[97 58] ; [149  59],[105.04132231  49.95867769] ; [140.95867769  67.04132231],0
d4,1,0.070624,3.268465,[117  38] ; [173  35],[123.8292011  31.1707989] ; [166.1707989  41.8292011],0
n5,1,0.07704,3.126258,[100  54] ; [153  55],[107.62983425  46.37016575] ; [145.37016575  62.62983425],0
n3,1,0.083842,2.988812,[31 13] ; [32  5],[34.22222222  9.77777778] ; [28.77777778  8.22222222],0
s5,1,0.08848,2.901815,[ 27 117] ; [ 54 149],[ 33.61383285 110.38616715] ; [ 47.38616715 155.61383285],0
v1,1,0.092024,2.838599,[71 81] ; [111  88],[78.81481481 73.18518519] ; [103.18518519  95.81481481],0
r3,1,0.106675,2.602798,[142  12] ; [199   8],[145.46814404   8.53185596] ; [195.53185596  11.46814404],0
d3,1,0.112433,2.519683,[96 59] ; [144  62],[103.04709141  51.95290859] ; [136.95290859  69.04709141],0
v3,1,0.139922,2.178812,[ 41 107] ; [ 70 129],[ 47.34293948 100.65706052] ; [ 63.65706052 135.34293948],0
d2,1,0.146969,2.103427,[55 99] ; [ 90 118],[61.68508287 92.31491713] ; [ 83.31491713 124.68508287],0
n6,1,0.152617,2.045899,[122  33] ; [175  32],[127.16850829  27.83149171] ; [169.83149171  37.16850829],0
s6,1,0.161119,1.96369,[73 80] ; [111  90],[79.52542373 73.47457627] ; [104.47457627  96.52542373],0
n1,1,0.169327,1.888889,[17 27] ; [ 9 28],[14.12345679 29.87654321] ; [11.87654321 25.12345679],0
p5,1,0.185509,1.752927,[  9 146] ; [ 20 188],[ 12.38292011 142.61707989] ; [ 16.61707989 191.38292011],0
a4,1,0.19011,1.716762,[59 95] ; [ 94 114],[65.08839779 88.91160221] ; [ 87.91160221 120.08839779],0
u4,1,0.190863,1.710942,[  3 152] ; [  1 206],[  1.71270718 153.28729282] ; [  2.28729282 204.71270718],0
p11,1,0.220119,1.503597,[126  29] ; [179  29],[130.23415978  24.76584022] ; [174.76584022  33.23415978],0
a7,1,0.260922,1.263859,[110  45] ; [157  49],[114.6398892  40.3601108] ; [152.3601108  53.6398892],0
u2,1,0.31473,1.010722,[40 32] ; [32 36],[37.02857143 34.97142857] ; [34.97142857 33.02857143],0
p12,1,0.354982,0.855568,[ 12 143] ; [ 11 195],[  9.87534626 145.12465374] ; [ 13.12465374 192.87534626],0
b1,1,0.377092,0.780161,[ 49 106] ; [ 75 133],[ 52.9476584 102.0523416] ; [ 71.0523416 136.9476584],0
a8,1,0.457482,0.552049,[ 15 132] ; [ 24 163],[ 17.16467066 129.83532934] ; [ 21.83532934 165.16467066],0
a6,1,0.548806,0.359461,[105  50] ; [147  61],[107.60330579  47.39669421] ; [144.39669421  63.60330579],0
u3,1,0.554467,0.349374,[38 34] ; [32 35],[36.25899281 35.74100719] ; [33.74100719 33.25899281],0
b4,1,0.5895,0.291126,[96 59] ; [123  85],[93.51239669 61.48760331] ; [125.48760331  82.51239669],0
a1,1,0.667146,0.184959,[  6 149] ; [ 10 198],[  6.83195592 148.16804408] ; [  9.16804408 198.83195592],0
n2,1,0.705923,0.142383,[34 10] ; [28 10],[33.26829268 10.73170732] ; [28.73170732  9.26829268],0
s1,1,0.716861,0.13152,[  3 150] ; [  3 202],[  2.56424581 150.43575419] ; [  3.43575419 201.56424581],0
r2,1,0.727514,0.121407,[142  13] ; [188  15],[142.87709497  12.12290503] ; [187.12290503  15.87709497],0
s4,1,0.741031,0.109223,[ 23 130] ; [ 28 175],[ 21.91853933 131.08146067] ; [ 29.08146067 173.91853933],0
b2,1,0.812653,0.056171,[24 44] ; [42 83],[23.25388601 44.74611399] ; [42.74611399 82.25388601],0
b3,1,0.812653,0.056171,[24 44] ; [42 83],[23.25388601 44.74611399] ; [42.74611399 82.25388601],0
p1,1,0.859052,0.031535,[ 12 143] ; [ 15 192],[ 11.56077348 143.43922652] ; [ 15.43922652 191.56077348],0
s3,1,0.892311,0.018328,[58 95] ; [ 78 124],[58.61408451 94.38591549] ; [ 77.38591549 124.61408451],0
b5,1,0.988831,0.000196,[99 56] ; [133  75],[99.06336088 55.93663912] ; [132.93663912  75.06336088],0
s2,1,0.998956,2e-06,[ 45 107] ; [ 61 145],[ 45.00558659 106.99441341] ; [ 60.99441341 145.00558659],0
