Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,97.250407,[19 14] ; [446  12],[31.25254582  1.74745418] ; [433.74745418  24.25254582],1
r1,1,0.0,86.576887,[10 27] ; [401  59],[30.59758551  6.40241449] ; [380.40241449  79.59758551],1
r3,1,0.0,69.765385,[27  9] ; [456   5],[34.98591549  1.01408451] ; [448.01408451  12.98591549],1
v4,1,0.0,56.371294,[24  9] ; [453   9],[31.8  1.2] ; [445.2  16.8],1
n6,1,0.0,35.384377,[21 16] ; [413  45],[32.44040404  4.55959596] ; [401.55959596  56.44040404],1
d1,1,3.6e-05,17.092339,[12 27] ; [297 165],[24.05389222 14.94610778] ; [284.94610778 177.05389222],1
d3,1,0.000556,11.917939,[18 20] ; [338 121],[27.2193159 10.7806841] ; [328.7806841 130.2193159],1
b1,1,0.00155,10.017799,[24 15] ; [166 296],[14.79041916 24.20958084] ; [175.20958084 286.79041916],0
p8,1,0.003321,8.6219,[18 20] ; [323 136],[26.07243461 11.92756539] ; [314.92756539 144.07243461],0
a7,1,0.005166,7.820384,[21 18] ; [343 117],[28.4488978 10.5511022] ; [335.5511022 124.4488978],0
d4,1,0.009188,6.785818,[27 12] ; [391  68],[32.73493976  6.26506024] ; [385.26506024  73.73493976],0
d5,1,0.009395,6.746204,[27 12] ; [390  68],[32.722334  6.277666] ; [384.277666  73.722334],0
v3,1,0.009604,6.706886,[ 9 29] ; [202 243],[16.60041408 21.39958592] ; [194.39958592 250.60041408],0
n4,1,0.022387,5.215473,[26 13] ; [376  84],[31.41883768  7.58116232] ; [370.58116232  89.41883768],0
s6,1,0.023696,5.11674,[20 16] ; [330 121],[25.87268994 10.12731006] ; [324.12731006 126.87268994],0
s5,1,0.027015,4.889838,[ 8 27] ; [189 262],[14.1872428 20.8127572] ; [182.8127572 268.1872428],0
s8,1,0.029209,4.755252,[13 25] ; [242 218],[19.45783133 18.54216867] ; [235.54216867 224.45783133],0
a2,1,0.040755,4.186175,[ 5 34] ; [129 333],[10.43113772 28.56886228] ; [123.56886228 338.43113772],0
a5,1,0.04533,4.006302,[25 14] ; [361 101],[30.04790419  8.95209581] ; [355.95209581 106.04790419],0
d2,1,0.04844,3.894646,[13 26] ; [229 231],[18.91382766 20.08617234] ; [223.08617234 236.91382766],0
p2,1,0.066324,3.371724,[31  6] ; [426  35],[33.95381526  3.04618474] ; [423.04618474  37.95381526],0
p3,1,0.097018,2.753893,[19 19] ; [293 168],[23.75951904 14.24048096] ; [288.24048096 172.75951904],0
n3,1,0.098082,2.736451,[9 5] ; [65 13],[11.26086957  2.73913043] ; [62.73913043 15.26086957],0
p10,1,0.108712,2.572844,[32  5] ; [431  30],[34.39959839  2.60040161] ; [428.60040161  32.39959839],0
u3,1,0.116498,2.46378,[4 8] ; [60 45],[6.56410256 5.43589744] ; [57.43589744 47.56410256],0
b4,1,0.119449,2.424529,[17 22] ; [261 201],[21.64071856 17.35928144] ; [256.35928144 205.64071856],0
n5,1,0.149498,2.077368,[26 11] ; [369  91],[29.40643863  7.59356137] ; [365.59356137  94.40643863],0
a6,1,0.155087,2.021487,[23 16] ; [321 138],[26.93975904 12.06024096] ; [317.06024096 141.93975904],0
b3,1,0.208179,1.584042,[ 8 20] ; [119 173],[11.1125 16.8875] ; [115.8875 176.1125],0
b2,1,0.208179,1.584042,[ 8 20] ; [119 173],[11.1125 16.8875] ; [115.8875 176.1125],0
a4,1,0.234021,1.416256,[15 24] ; [223 238],[18.564 20.436] ; [219.436 241.564],0
v1,1,0.242063,1.368542,[18 18] ; [271 181],[21.31967213 14.68032787] ; [267.68032787 184.31967213],0
s7,1,0.24844,1.332057,[17 19] ; [252 189],[20.30188679 15.69811321] ; [248.69811321 192.30188679],0
b5,1,0.257968,1.279632,[26 13] ; [265 197],[22.65269461 16.34730539] ; [268.34730539 193.65269461],0
u1,1,0.281697,1.158883,[ 5 34] ; [ 92 370],[ 7.5508982 31.4491018] ; [ 89.4491018 372.5508982],0
p6,1,0.29901,1.078603,[15 21] ; [232 226],[18. 18.] ; [229. 229.],0
s1,1,0.307231,1.042543,[ 2 37] ; [ 11 446],[ 1.02217742 37.97782258] ; [ 11.97782258 445.02217742],0
s2,1,0.311579,1.023969,[17 20] ; [251 209],[19.95171026 17.04828974] ; [248.04828974 211.95171026],0
s4,1,0.360055,0.8377,[ 9 29] ; [ 81 376],[ 6.90909091 31.09090909] ; [ 83.09090909 373.90909091],0
a8,1,0.38095,0.767632,[ 4 31] ; [ 72 347],[ 5.85903084 29.14096916] ; [ 70.14096916 348.85903084],0
p4,1,0.384273,0.756987,[25 13] ; [333 127],[27.31726908 10.68273092] ; [330.68273092 129.31726908],0
a3,1,0.390915,0.736095,[27 11] ; [355 105],[29.14859438  8.85140562] ; [352.85140562 107.14859438],0
n2,1,0.420589,0.64867,[12  2] ; [60 19],[10.83870968  3.16129032] ; [61.16129032 17.83870968],0
p11,1,0.533531,0.387661,[32  7] ; [396  66],[33.31736527  5.68263473] ; [394.68263473  67.31736527],0
v2,1,0.538025,0.379212,[21 16] ; [276 170],[22.7515528 14.2484472] ; [274.2484472 171.7515528],0
a1,1,0.640406,0.218211,[ 3 36] ; [ 27 435],[ 2.33532934 36.66467066] ; [ 27.66467066 434.33532934],0
u2,1,0.653589,0.201405,[7 4] ; [60 46],[6.2991453 4.7008547] ; [60.7008547 45.2991453],0
p1,1,0.670785,0.180685,[ 3 36] ; [ 45 415],[ 3.75150301 35.24849699] ; [ 44.24849699 415.75150301],0
p5,1,0.706008,0.142297,[ 7 32] ; [ 72 388],[ 6.1743487 32.8256513] ; [ 72.8256513 387.1743487],0
n1,1,0.713845,0.134467,[5 9] ; [24 54],[4.41304348 9.58695652] ; [24.58695652 53.41304348],0
p12,1,0.769168,0.086121,[ 3 35] ; [ 43 418],[ 3.50300601 34.49699399] ; [ 42.49699399 418.50300601],0
s3,1,0.976505,0.000867,[20 14] ; [270 187],[20.0814664 13.9185336] ; [269.9185336 187.0814664],0
