Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,46.220096,[63 14] ; [ 6 32],[46.2 30.8] ; [22.8 15.2],1
p11,1,2.6e-05,17.676405,[63 14] ; [17 22],[53.10344828 23.89655172] ; [26.89655172 12.10344828],1
v4,1,3.8e-05,16.991222,[72  5] ; [24 14],[64.27826087 12.72173913] ; [31.72173913  6.27826087],1
r4,1,0.000216,13.689345,[63 14] ; [19 20],[54.43103448 22.56896552] ; [27.56896552 11.43103448],1
p2,1,0.000218,13.673026,[60 17] ; [17 22],[51.11206897 25.88793103] ; [25.88793103 13.11206897],1
r3,1,0.000397,12.547336,[70  7] ; [25 14],[63.06034483 13.93965517] ; [31.93965517  7.06034483],1
s8,1,0.009058,6.811411,[25 52] ; [ 4 35],[19.25 57.75] ; [ 9.75 29.25],0
s7,1,0.012378,6.255849,[29 44] ; [ 6 31],[23.22727273 49.77272727] ; [11.77272727 25.22727273],0
s6,1,0.012716,6.208251,[42 34] ; [12 27],[35.68695652 40.31304348] ; [18.31304348 20.68695652],0
p4,1,0.022185,5.231185,[37 39] ; [10 28],[31.33333333 44.66666667] ; [15.66666667 22.33333333],0
p8,1,0.027228,4.876268,[39 38] ; [11 27],[33.47826087 43.52173913] ; [16.52173913 21.47826087],0
a5,1,0.029394,4.744377,[38 39] ; [11 28],[32.52586207 44.47413793] ; [16.47413793 22.52586207],0
s2,1,0.031947,4.601317,[33 43] ; [ 9 30],[27.75652174 48.24347826] ; [14.24347826 24.75652174],0
s5,1,0.038077,4.301565,[23 51] ; [ 5 33],[18.5 55.5] ; [ 9.5 28.5],0
n6,1,0.04852,3.8919,[59 18] ; [23 16],[54.43103448 22.56896552] ; [27.56896552 11.43103448],0
r2,1,0.056483,3.637754,[65 12] ; [27 12],[61.06896552 15.93103448] ; [30.93103448  8.06896552],0
p12,1,0.070279,3.276494,[10 67] ; [ 1 38],[ 7.30172414 69.69827586] ; [ 3.69827586 35.30172414],0
a7,1,0.07596,3.149296,[45 32] ; [16 23],[40.49137931 36.50862069] ; [20.50862069 18.49137931],0
s1,1,0.081732,3.030113,[ 2 74] ; [ 4 35],[ 3.96521739 72.03478261] ; [ 2.03478261 36.96521739],0
a6,1,0.127043,2.328274,[47 30] ; [18 21],[43.14655172 33.85344828] ; [21.85344828 17.14655172],0
