Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,4e-06,21.409073,[ 3 35] ; [20 14],[12.13888889 25.86111111] ; [10.86111111 23.13888889],1
r2,1,0.000121,14.777275,[22 15] ; [34  1],[28.77777778  8.22222222] ; [27.22222222  7.77777778],1
a3,1,0.001154,10.562679,[10 28] ; [23 13],[16.94594595 21.05405405] ; [16.05405405 19.94594595],0
d5,1,0.002047,9.506461,[15 23] ; [27  9],[21.56756757 16.43243243] ; [20.43243243 15.56756757],0
r4,1,0.004149,8.217515,[16 22] ; [27  9],[22.08108108 15.91891892] ; [20.91891892 15.08108108],0
d4,1,0.013111,6.154123,[15 22] ; [25 11],[20.2739726 16.7260274] ; [19.7260274 16.2739726],0
r3,1,0.035277,4.431707,[22 16] ; [29  7],[26.18918919 11.81081081] ; [24.81081081 11.18918919],0
v4,1,0.050052,3.839715,[23 14] ; [29  6],[26.72222222 10.27777778] ; [25.27777778  9.72222222],0
r1,1,0.050321,3.830736,[19 19] ; [26 10],[23.10810811 14.89189189] ; [21.89189189 14.10810811],0
d1,1,0.05549,3.667295,[ 8 30] ; [15 21],[11.81081081 26.18918919] ; [11.18918919 24.81081081],0
s2,1,0.083791,2.989781,[10 28] ; [16 19],[13.53424658 24.46575342] ; [12.46575342 22.53424658],0
b1,1,0.153004,2.042042,[18 20] ; [23 13],[21.05405405 16.94594595] ; [19.94594595 16.05405405],0
v1,1,0.157804,1.995144,[ 9 29] ; [14 22],[11.81081081 26.18918919] ; [11.18918919 24.81081081],0
p1,1,0.184409,1.761726,[ 4 34] ; [ 1 35],[ 2.56756757 35.43243243] ; [ 2.43243243 33.56756757],0
s3,1,0.199752,1.644186,[14 23] ; [19 17],[16.7260274 20.2739726] ; [16.2739726 19.7260274],0
p3,1,0.24241,1.366525,[ 9 29] ; [13 23],[11.2972973 26.7027027] ; [10.7027027 25.2972973],0
d3,1,0.251981,1.312289,[11 27] ; [15 21],[13.35135135 24.64864865] ; [12.64864865 23.35135135],0
a6,1,0.254043,1.300933,[12 26] ; [16 20],[14.37837838 23.62162162] ; [13.62162162 22.37837838],0
a1,1,0.278299,1.175376,[ 1 37] ; [ 3 33],[ 2.05405405 35.94594595] ; [ 1.94594595 34.05405405],0
p7,1,0.28952,1.12185,[20 17] ; [15 21],[17.73972603 19.26027397] ; [17.26027397 18.73972603],0
s8,1,0.294429,1.099258,[ 6 32] ; [ 9 26],[ 7.80821918 30.19178082] ; [ 7.19178082 27.80821918],0
d2,1,0.305227,1.051215,[15 23] ; [18 17],[17.17808219 20.82191781] ; [15.82191781 19.17808219],0
s5,1,0.305333,1.050756,[ 7 31] ; [10 25],[ 8.84931507 29.15068493] ; [ 8.15068493 26.84931507],0
b2,1,0.315624,1.006993,[ 5 21] ; [ 7 15],[ 6.5 19.5] ; [ 5.5 16.5],0
b3,1,0.315624,1.006993,[ 5 21] ; [ 7 15],[ 6.5 19.5] ; [ 5.5 16.5],0
s6,1,0.318685,0.994334,[12 26] ; [15 20],[14.05479452 23.94520548] ; [12.94520548 22.05479452],0
a8,1,0.331347,0.943627,[ 3 33] ; [ 1 33],[ 2.05714286 33.94285714] ; [ 1.94285714 32.05714286],0
n5,1,0.358047,0.844731,[22 16] ; [17 19],[20.02702703 17.97297297] ; [18.97297297 17.02702703],0
s1,1,0.382511,0.762616,[ 3 35] ; [ 5 30],[ 4.16438356 33.83561644] ; [ 3.83561644 31.16438356],0
p6,1,0.418613,0.654206,[ 8 29] ; [ 5 30],[ 6.68055556 30.31944444] ; [ 6.31944444 28.68055556],0
n6,1,0.461779,0.54158,[20 18] ; [22 14],[21.56756757 16.43243243] ; [20.43243243 15.56756757],0
s7,1,0.486698,0.483817,[ 8 27] ; [10 23],[ 9.26470588 25.73529412] ; [ 8.73529412 24.26470588],0
p11,1,0.495792,0.463932,[16 22] ; [18 18],[17.45945946 20.54054054] ; [16.54054054 19.45945946],0
b4,1,0.501278,0.452229,[23 15] ; [19 17],[21.56756757 16.43243243] ; [20.43243243 15.56756757],0
u1,1,0.523835,0.406337,[ 1 37] ; [ 2 34],[ 1.54054054 36.45945946] ; [ 1.45945946 34.54054054],0
v3,1,0.529795,0.394784,[ 9 29] ; [10 23],[10.16901408 27.83098592] ; [ 8.83098592 24.16901408],0
p5,1,0.587937,0.293578,[ 2 36] ; [ 1 35],[ 1.54054054 36.45945946] ; [ 1.45945946 34.54054054],0
b5,1,0.597544,0.278717,[16 22] ; [13 23],[14.89189189 23.10810811] ; [14.10810811 21.89189189],0
p2,1,0.621875,0.243241,[18 20] ; [15 21],[16.94594595 21.05405405] ; [16.05405405 19.94594595],0
n2,1,0.654001,0.200893,[9 7] ; [9 5],[9.6 6.4] ; [8.4 5.6],0
u3,1,0.67786,0.172545,[11 17] ; [6 7],[11.6097561 16.3902439] ; [5.3902439 7.6097561],0
p8,1,0.687018,0.162332,[ 9 29] ; [10 26],[ 9.75675676 28.24324324] ; [ 9.24324324 26.75675676],0
n4,1,0.778198,0.079337,[22 16] ; [22 14],[22.59459459 15.40540541] ; [21.40540541 14.59459459],0
v2,1,0.800456,0.063886,[11 25] ; [12 24],[11.5 24.5] ; [11.5 24.5],0
u2,1,0.835792,0.042965,[13 15] ; [6 6],[13.3 14.7] ; [5.7 6.3],0
s4,1,0.864079,0.029304,[ 7 31] ; [ 7 28],[ 7.28767123 30.71232877] ; [ 6.71232877 28.28767123],0
p10,1,0.864079,0.029304,[ 7 31] ; [ 7 28],[ 7.28767123 30.71232877] ; [ 6.71232877 28.28767123],0
p4,1,0.93872,0.00591,[11 26] ; [11 25],[11.15068493 25.84931507] ; [10.84931507 25.15068493],0
p12,1,0.969079,0.001503,[ 1 37] ; [ 1 35],[ 1.02702703 36.97297297] ; [ 0.97297297 35.02702703],0
n1,1,0.977797,0.000775,[ 5 11] ; [4 9],[ 4.96551724 11.03448276] ; [4.03448276 8.96551724],0
n3,1,1.0,0.0,[8 8] ; [6 6],[8. 8.] ; [6. 6.],0
