Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,135.057837,[ 9 21] ; [315  14],[27.07520891  2.92479109] ; [296.92479109  32.07520891],1
p2,1,0.0,30.396312,[17 13] ; [298  30],[26.39664804  3.60335196] ; [288.60335196  39.39664804],1
p11,1,4e-06,21.234155,[17 13] ; [289  40],[25.57103064  4.42896936] ; [280.42896936  48.57103064],1
a3,1,0.00019,13.926977,[15 15] ; [261  66],[23.19327731  6.80672269] ; [252.80672269  74.19327731],1
s1,1,0.000686,11.527499,[ 4 26] ; [  7 320],[ 0.92436975 29.07563025] ; [ 10.07563025 316.92436975],1
p4,1,0.001135,10.592627,[19 11] ; [283  46],[25.2367688  4.7632312] ; [276.7632312  52.2367688],0
a5,1,0.002284,9.305862,[17 13] ; [265  64],[23.56545961  6.43454039] ; [258.43454039  70.56545961],0
s7,1,0.003034,8.787125,[10 19] ; [193 115],[17.46884273 11.53115727] ; [185.53115727 122.46884273],0
p6,1,0.007726,7.096014,[ 7 21] ; [168 160],[13.76404494 14.23595506] ; [161.23595506 166.76404494],0
p8,1,0.008614,6.901084,[14 16] ; [229  98],[20.42016807  9.57983193] ; [222.57983193 104.42016807],0
s5,1,0.009074,6.808203,[ 5 23] ; [136 179],[11.51020408 16.48979592] ; [129.48979592 185.51020408],0
s8,1,0.028342,4.807138,[10 19] ; [182 145],[15.64044944 13.35955056] ; [176.35955056 150.64044944],0
u2,1,0.029845,4.718202,[ 4 10] ; [41 27],[7.68292683 6.31707317] ; [37.31707317 30.68292683],0
v1,1,0.032007,4.598142,[14 16] ; [212 108],[19.37142857 10.62857143] ; [206.62857143 113.37142857],0
d1,1,0.034707,4.459531,[14 16] ; [217 112],[19.30362117 10.69637883] ; [211.69637883 117.30362117],0
d5,1,0.042001,4.135148,[22  8] ; [285  43],[25.72625698  4.27374302] ; [281.27374302  46.72625698],0
d4,1,0.048541,3.891169,[21  9] ; [276  52],[24.88826816  5.11173184] ; [272.11173184  55.88826816],0
a4,1,0.052452,3.761302,[10 20] ; [170 158],[15.08379888 14.91620112] ; [164.91620112 163.08379888],0
a2,1,0.059667,3.546605,[ 4 26] ; [ 97 232],[ 8.44011142 21.55988858] ; [ 92.55988858 236.44011142],0
d3,1,0.066843,3.358903,[16 14] ; [229 100],[20.4735376  9.5264624] ; [224.5264624 104.4735376],0
s6,1,0.068752,3.312569,[17 12] ; [237  82],[21.16666667  7.83333333] ; [232.83333333  86.16666667],0
