Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,62.956899,[15 31] ; [156  21],[35.2735426 10.7264574] ; [135.7264574  41.2735426],1
p2,1,2e-06,22.645913,[30 16] ; [163  14],[39.81165919  6.18834081] ; [153.18834081  23.81165919],1
p11,1,0.000127,14.687012,[25 21] ; [145  33],[34.91071429 11.08928571] ; [135.08928571  42.91071429],1
a3,1,0.000298,13.085977,[21 25] ; [131  47],[31.21428571 14.78571429] ; [120.78571429  57.21428571],1
b1,1,0.000679,11.54679,[29 17] ; [ 63 115],[18.89285714 27.10714286] ; [ 73.10714286 104.89285714],1
n4,1,0.00085,11.128596,[25 21] ; [140  38],[33.88392857 12.11607143] ; [131.11607143  46.88392857],1
s7,1,0.000863,11.101367,[13 31] ; [97 71],[22.83018868 21.16981132] ; [87.16981132 80.83018868],1
a4,1,0.001887,9.656451,[11 35] ; [88 90],[20.33035714 25.66964286] ; [78.66964286 99.33035714],0
n5,1,0.003151,8.718144,[24 22] ; [132  45],[32.1793722 13.8206278] ; [123.8206278  53.1793722],0
p6,1,0.003259,8.656442,[11 35] ; [85 92],[19.80269058 26.19730942] ; [ 76.19730942 100.80269058],0
a5,1,0.004132,8.224926,[26 20] ; [138  40],[33.67857143 12.32142857] ; [130.32142857  47.67857143],0
n6,1,0.005362,7.753012,[30 15] ; [151  27],[36.52466368  8.47533632] ; [144.47533632  33.52466368],0
s6,1,0.005421,7.733197,[25 21] ; [131  43],[32.61818182 13.38181818] ; [123.38181818  50.61818182],0
a2,1,0.006892,7.300819,[ 3 43] ; [ 44 134],[ 9.65178571 36.34821429] ; [ 37.34821429 140.65178571],0
s5,1,0.012851,6.189474,[ 8 37] ; [ 64 107],[15. 30.] ; [ 57. 114.],0
u2,1,0.014147,6.019673,[10 14] ; [33 13],[14.74285714  9.25714286] ; [28.25714286 17.74285714],0
s8,1,0.018993,5.502168,[12 34] ; [80 97],[18.97757848 27.02242152] ; [ 73.02242152 103.97757848],0
d4,1,0.029819,4.719682,[31 15] ; [146  32],[36.34821429  9.65178571] ; [140.65178571  37.34821429],0
s2,1,0.030991,4.653435,[17 29] ; [97 80],[23.51569507 22.48430493] ; [90.48430493 86.51569507],0
r4,1,0.036327,4.381697,[35 11] ; [157  21],[39.42857143  6.57142857] ; [152.57142857  25.42857143],0
a6,1,0.041263,4.165181,[25 21] ; [125  53],[30.80357143 15.19642857] ; [119.19642857  58.80357143],0
p3,1,0.049781,3.848834,[23 22] ; [119  59],[28.65470852 16.34529148] ; [113.34529148  64.65470852],0
v4,1,0.054867,3.686118,[40  6] ; [168   9],[42.9058296  3.0941704] ; [165.0941704  11.9058296],0
b2,1,0.062167,3.478611,[ 7 27] ; [37 60],[11.41984733 22.58015267] ; [32.58015267 64.41984733],0
b3,1,0.062167,3.478611,[ 7 27] ; [37 60],[11.41984733 22.58015267] ; [32.58015267 64.41984733],0
p7,1,0.077763,3.111042,[27 19] ; [127  49],[31.90990991 14.09009009] ; [122.09009009  53.90990991],0
r1,1,0.113795,2.500711,[31 15] ; [139  38],[35.06726457 10.93273543] ; [134.93273543  42.06726457],0
a8,1,0.153088,2.041206,[ 2 41] ; [ 20 144],[ 4.57004831 38.42995169] ; [ 17.42995169 146.57004831],0
p5,1,0.182031,1.780962,[ 3 42] ; [ 25 153],[ 5.65022422 39.34977578] ; [ 22.34977578 155.65022422],0
a1,1,0.182649,1.775935,[ 4 42] ; [  7 171],[ 2.25892857 43.74107143] ; [  8.74107143 169.25892857],0
d3,1,0.21115,1.563521,[29 17] ; [129  49],[32.44642857 13.55357143] ; [125.55357143  52.44642857],0
r3,1,0.280701,1.163693,[41  5] ; [165  11],[42.68468468  3.31531532] ; [163.31531532  12.68468468],0
r2,1,0.288695,1.125699,[40  6] ; [161  14],[41.83710407  4.16289593] ; [159.16289593  15.83710407],0
d1,1,0.337777,0.918851,[23 23] ; [103  75],[25.875 20.125] ; [100.125  77.875],0
s1,1,0.346651,0.88568,[ 4 42] ; [  9 169],[ 2.66964286 43.33035714] ; [ 10.33035714 167.66964286],0
a7,1,0.374758,0.787826,[30 16] ; [128  50],[32.44642857 13.55357143] ; [125.55357143  52.44642857],0
p8,1,0.375879,0.784138,[23 22] ; [104  74],[25.62780269 19.37219731] ; [101.37219731  76.62780269],0
s3,1,0.470341,0.521175,[25 21] ; [106  70],[27.14414414 18.85585586] ; [103.85585586  72.14414414],0
v3,1,0.490115,0.476275,[10 36] ; [ 46 126],[11.81651376 34.18348624] ; [ 44.18348624 127.81651376],0
u1,1,0.588547,0.29262,[ 6 40] ; [ 29 149],[ 7.1875 38.8125] ; [ 27.8125 150.1875],0
v2,1,0.66406,0.18863,[18 28] ; [73 98],[19.29032258 26.70967742] ; [71.70967742 99.29032258],0
b5,1,0.683143,0.16661,[23 23] ; [95 83],[24.23214286 21.76785714] ; [93.76785714 84.23214286],0
d2,1,0.696448,0.152194,[21 25] ; [87 91],[22.17857143 23.82142857] ; [85.82142857 92.17857143],0
n3,1,0.705478,0.142836,[9 4] ; [35 12],[9.53333333 3.46666667] ; [34.46666667 12.53333333],0
u3,1,0.765378,0.089058,[14 11] ; [23 21],[13.4057971 11.5942029] ; [23.5942029 20.4057971],0
s4,1,0.79436,0.06794,[10 35] ; [ 36 140],[ 9.36651584 35.63348416] ; [ 36.63348416 139.36651584],0
n1,1,0.854648,0.033559,[4 8] ; [17 30],[4.27118644 7.72881356] ; [16.72881356 30.27118644],0
b4,1,0.864753,0.029011,[27 19] ; [102  76],[26.49107143 19.50892857] ; [102.50892857  75.49107143],0
p1,1,0.880116,0.022747,[ 5 41] ; [ 18 160],[ 4.72321429 41.27678571] ; [ 18.27678571 159.72321429],0
d5,1,0.887517,0.020007,[36 10] ; [141  37],[36.34821429  9.65178571] ; [140.65178571  37.34821429],0
n2,1,0.963053,0.002146,[8 4] ; [31 16],[7.93220339 4.06779661] ; [31.06779661 15.93220339],0
