Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,163.734463,[22 82] ; [281  43],[73.62616822 30.37383178] ; [229.37383178  94.62616822],1
p2,1,0.0,33.54396,[51 55] ; [251  72],[74.62004662 31.37995338] ; [227.37995338  95.62004662],1
s6,1,0.0,28.796231,[41 64] ; [221 102],[64.27570093 40.72429907] ; [197.72429907 125.27570093],1
p11,1,4e-06,21.506572,[53 53] ; [241  84],[72.3062645 33.6937355] ; [221.6937355 103.3062645],1
s2,1,5e-06,20.972973,[30 74] ; [176 146],[50.29107981 53.70892019] ; [155.70892019 166.29107981],1
v4,1,1.7e-05,18.464741,[87 17] ; [312  13],[96.72727273  7.27272727] ; [302.27272727  22.72727273],1
r3,1,6.6e-05,15.936178,[89 16] ; [312  13],[97.91860465  7.08139535] ; [303.08139535  21.91860465],1
s8,1,0.000113,14.905579,[22 83] ; [136 189],[38.58139535 66.41860465] ; [119.41860465 205.58139535],1
s7,1,0.000211,13.726622,[26 71] ; [152 164],[41.8062954 55.1937046] ; [136.1937046 179.8062954],1
n6,1,0.00034,12.838529,[69 37] ; [265  59],[82.33488372 23.66511628] ; [251.66511628  72.33488372],1
d3,1,0.000491,12.148251,[54 52] ; [224  98],[68.85046729 37.14953271] ; [209.14953271 112.85046729],1
b1,1,0.000974,10.875742,[57 49] ; [116 209],[42.54756381 63.45243619] ; [130.45243619 194.54756381],1
p4,1,0.001147,10.573575,[30 75] ; [151 173],[44.3006993 60.6993007] ; [136.6993007 187.3006993],0
v2,1,0.001517,10.057824,[38 64] ; [170 137],[51.87286064 50.12713936] ; [156.12713936 150.87286064],0
s3,1,0.001842,9.700669,[44 61] ; [191 131],[57.78688525 47.21311475] ; [177.21311475 144.78688525],0
r4,1,0.002262,9.323836,[84 22] ; [294  31],[92.96519722 13.03480278] ; [285.03480278  39.96519722],0
d1,1,0.003393,8.583317,[44 62] ; [188 137],[57.05800464 48.94199536] ; [174.94199536 150.05800464],0
s1,1,0.003673,8.438965,[10 94] ; [  9 310],[ 4.6713948 99.3286052] ; [ 14.3286052 304.6713948],0
b5,1,0.003986,8.29006,[55 51] ; [219 106],[67.387471 38.612529] ; [206.612529 118.387471],0
p6,1,0.005216,7.803006,[14 92] ; [ 85 237],[24.51869159 81.48130841] ; [ 74.48130841 247.51869159],0
a5,1,0.005429,7.730567,[61 45] ; [234  91],[72.55220418 33.44779582] ; [222.44779582 102.55220418],0
a6,1,0.005432,7.729809,[62 44] ; [236  88],[73.46046512 32.53953488] ; [224.53953488  99.46046512],0
n5,1,0.011518,6.383642,[62 44] ; [230  91],[72.48711944 33.51288056] ; [219.51288056 101.48711944],0
d4,1,0.011561,6.376984,[73 31] ; [265  59],[82.13084112 21.86915888] ; [255.86915888  68.13084112],0
v1,1,0.0136,6.089313,[38 68] ; [155 157],[48.94258373 57.05741627] ; [144.05741627 167.94258373],0
p3,1,0.014262,6.005376,[27 79] ; [125 199],[37.46976744 68.53023256] ; [114.53023256 209.46976744],0
p7,1,0.015974,5.805688,[33 72] ; [142 175],[43.54265403 61.45734597] ; [131.45734597 185.54265403],0
d5,1,0.015999,5.802984,[75 31] ; [264  59],[83.76223776 22.23776224] ; [255.23776224  67.76223776],0
p12,1,0.025915,4.961679,[  1 104] ; [ 21 304],[ 5.37209302 99.62790698] ; [ 16.62790698 308.37209302],0
a3,1,0.02797,4.829923,[66 40] ; [238  86],[74.93953488 31.06046512] ; [229.06046512  94.93953488],0
a7,1,0.035483,4.421759,[63 42] ; [230  94],[71.71328671 33.28671329] ; [221.28671329 102.71328671],0
n3,1,0.039977,4.218863,[26 16] ; [74 20],[30.88235294 11.11764706] ; [69.11764706 24.88235294],0
s5,1,0.07841,3.097545,[22 82] ; [ 93 216],[28.95883777 75.04116223] ; [ 86.04116223 222.95883777],0
a2,1,0.079823,3.068498,[20 86] ; [ 89 236],[26.80742459 79.19257541] ; [ 82.19257541 242.80742459],0
n2,1,0.087333,2.922858,[27 17] ; [71 23],[31.24637681 12.75362319] ; [66.75362319 27.24637681],0
a8,1,0.137183,2.20928,[ 7 92] ; [ 37 259],[11.0278481 87.9721519] ; [ 32.9721519 263.0278481],0
p5,1,0.137333,2.207591,[  2 104] ; [ 17 302],[  4.73882353 101.26117647] ; [ 14.26117647 304.73882353],0
u2,1,0.147186,2.101177,[17 21] ; [50 35],[20.69918699 17.30081301] ; [46.30081301 38.69918699],0
u1,1,0.200384,1.639571,[15 91] ; [ 64 261],[19.42923434 86.57076566] ; [ 59.57076566 265.42923434],0
s4,1,0.238258,1.390871,[14 91] ; [ 59 263],[17.95081967 87.04918033] ; [ 55.04918033 266.95081967],0
