Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,54.604517,[ 6 21] ; [89  9],[20.52  6.48] ; [74.48 23.52],1
p11,1,0.000214,13.708283,[12 15] ; [81 20],[19.6171875  7.3828125] ; [73.3828125 27.6171875],1
p2,1,0.001964,9.583317,[14 13] ; [81 19],[20.19685039  6.80314961] ; [74.80314961 25.19685039],0
r4,1,0.002975,8.822664,[10 17] ; [69 32],[16.6640625 10.3359375] ; [62.3359375 38.6640625],0
s2,1,0.008464,6.932576,[ 5 22] ; [47 54],[10.96875 16.03125] ; [41.03125 59.96875],0
s1,1,0.013375,6.118781,[ 4 22] ; [ 3 98],[ 1.43307087 24.56692913] ; [ 5.56692913 95.43307087],0
b1,1,0.016771,5.720217,[15 12] ; [31 70],[ 9.703125 17.296875] ; [36.296875 64.703125],0
s6,1,0.022116,5.236667,[ 9 18] ; [57 41],[14.256 12.744] ; [51.744 46.256],0
s3,1,0.02272,5.189773,[ 7 20] ; [51 50],[12.234375 14.765625] ; [45.765625 55.234375],0
s5,1,0.027369,4.867368,[ 2 23] ; [28 67],[ 6.25 18.75] ; [23.75 71.25],0
d2,1,0.031362,4.633047,[14 13] ; [30 71],[ 9.28125 17.71875] ; [34.71875 66.28125],0
p3,1,0.038967,4.262314,[ 7 19] ; [50 51],[11.66929134 14.33070866] ; [45.33070866 55.66929134],0
r3,1,0.04847,3.893597,[20  7] ; [89 11],[23.17322835  3.82677165] ; [85.82677165 14.17322835],0
n5,1,0.056855,3.626826,[13 14] ; [68 32],[17.22047244  9.77952756] ; [63.77952756 36.22047244],0
p8,1,0.065341,3.396346,[ 7 19] ; [47 53],[11.14285714 14.85714286] ; [42.85714286 57.14285714],0
v4,1,0.07183,3.240696,[20  7] ; [88 12],[22.96062992  4.03937008] ; [85.03937008 14.96062992],0
n2,1,0.073312,3.207273,[6 6] ; [19  5],[8.33333333 3.66666667] ; [16.66666667  7.33333333],0
v1,1,0.099099,2.719983,[ 8 19] ; [46 51],[11.75806452 15.24193548] ; [42.24193548 54.75806452],0
r2,1,0.099181,2.718664,[19  8] ; [81 15],[21.95121951  5.04878049] ; [78.04878049 17.95121951],0
b4,1,0.102439,2.667149,[13 14] ; [66 35],[16.6640625 10.3359375] ; [62.3359375 38.6640625],0
a4,1,0.126739,2.331999,[11 16] ; [26 75],[ 7.8046875 19.1953125] ; [29.1953125 71.8046875],0
n4,1,0.136583,2.216042,[14 13] ; [68 33],[17.296875  9.703125] ; [64.703125 36.296875],0
