Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,47.895662,[81 18] ; [11 37],[61.95918367 37.04081633] ; [30.04081633 17.95918367],1
r3,1,2e-06,22.494608,[86 12] ; [25 23],[74.50684932 23.49315068] ; [36.49315068 11.50684932],1
r2,1,3e-06,21.819054,[90  8] ; [28 19],[79.75172414 18.24827586] ; [38.24827586  8.75172414],1
v4,1,0.00027,13.267578,[83 14] ; [28 20],[74.25517241 22.74482759] ; [36.74482759 11.25517241],1
a5,1,0.005894,7.582391,[63 36] ; [19 29],[55.2244898 43.7755102] ; [26.7755102 21.2244898],0
a7,1,0.012576,6.227818,[66 32] ; [22 26],[59.06849315 38.93150685] ; [28.93150685 19.06849315],0
u3,1,0.014783,5.942115,[23 17] ; [ 7 19],[18.18181818 21.81818182] ; [11.81818182 14.18181818],0
p11,1,0.015149,5.899,[52 47] ; [15 33],[45.12244898 53.87755102] ; [21.87755102 26.12244898],0
s3,1,0.019167,5.48618,[43 56] ; [11 36],[36.61643836 62.38356164] ; [17.38356164 29.61643836],0
p2,1,0.02241,5.213674,[57 42] ; [18 30],[50.51020408 48.48979592] ; [24.48979592 23.51020408],0
d4,1,0.036978,4.351444,[73 24] ; [28 20],[67.56551724 29.43448276] ; [33.43448276 14.56551724],0
a8,1,0.045432,4.00254,[11 78] ; [ 1 46],[ 7.85294118 81.14705882] ; [ 4.14705882 42.85294118],0
p10,1,0.056324,3.64244,[23 74] ; [ 5 43],[18.73103448 78.26896552] ; [ 9.26896552 38.73103448],0
s4,1,0.063572,3.441649,[11 87] ; [11 37],[14.76712329 83.23287671] ; [ 7.23287671 40.76712329],0
b4,1,0.069684,3.290439,[63 36] ; [23 25],[57.91836735 41.08163265] ; [28.08163265 19.91836735],0
a2,1,0.089244,2.887957,[19 80] ; [ 4 44],[15.48979592 83.51020408] ; [ 7.51020408 40.48979592],0
u1,1,0.092215,2.835273,[13 86] ; [ 2 46],[10.10204082 88.89795918] ; [ 4.89795918 43.10204082],0
a3,1,0.100733,2.693894,[59 39] ; [22 26],[54.36986301 43.63013699] ; [26.63013699 21.36986301],0
v1,1,0.12726,2.325609,[35 64] ; [11 37],[30.97959184 68.02040816] ; [15.02040816 32.97959184],0
a1,1,0.130489,2.286676,[ 4 95] ; [ 5 43],[ 6.06122449 92.93877551] ; [ 2.93877551 45.06122449],0
d1,1,0.13058,2.285596,[46 53] ; [16 32],[41.75510204 57.24489796] ; [20.24489796 27.75510204],0
d5,1,0.172638,1.859888,[69 30] ; [28 20],[65.32653061 33.67346939] ; [31.67346939 16.32653061],0
n4,1,0.178549,1.809659,[65 34] ; [26 22],[61.28571429 37.71428571] ; [29.71428571 18.28571429],0
v2,1,0.219901,1.505017,[38 58] ; [14 34],[34.66666667 61.33333333] ; [17.33333333 30.66666667],0
a4,1,0.241453,1.372089,[39 59] ; [14 33],[35.82068966 62.17931034] ; [17.17931034 29.82068966],0
n3,1,0.273637,1.198425,[20 12] ; [12 13],[17.96491228 14.03508772] ; [14.03508772 10.96491228],0
p4,1,0.286704,1.135036,[37 60] ; [14 34],[34.11724138 62.88275862] ; [16.88275862 31.11724138],0
d3,1,0.325648,0.966127,[58 41] ; [24 24],[55.2244898 43.7755102] ; [26.7755102 21.2244898],0
n2,1,0.339071,0.913939,[20 13] ; [12 13],[18.20689655 14.79310345] ; [13.79310345 11.20689655],0
v3,1,0.34517,0.891134,[27 69] ; [10 38],[24.66666667 71.33333333] ; [12.33333333 35.66666667],0
n1,1,0.365952,0.817365,[13 20] ; [ 7 18],[11.37931034 21.62068966] ; [ 8.62068966 16.37931034],0
s7,1,0.392817,0.730203,[20 72] ; [ 7 38],[18.13138686 73.86861314] ; [ 8.86861314 36.13138686],0
u2,1,0.422269,0.643992,[18 21] ; [ 9 16],[16.453125 22.546875] ; [10.546875 14.453125],0
b5,1,0.453534,0.561805,[56 43] ; [24 24],[53.87755102 45.12244898] ; [26.12244898 21.87755102],0
s2,1,0.534055,0.386669,[25 73] ; [10 38],[23.49315068 74.50684932] ; [11.50684932 36.49315068],0
s6,1,0.541325,0.373089,[36 63] ; [15 33],[34.34693878 64.65306122] ; [16.65306122 31.34693878],0
d2,1,0.561454,0.337193,[45 53] ; [24 23],[46.63448276 51.36551724] ; [22.36551724 24.63448276],0
p7,1,0.586669,0.295576,[43 54] ; [19 29],[41.47586207 55.52413793] ; [20.52413793 27.47586207],0
p12,1,0.60372,0.269422,[ 1 97] ; [ 1 47],[ 1.34246575 96.65753425] ; [ 0.65753425 47.34246575],0
a6,1,0.611645,0.257786,[58 41] ; [26 22],[56.57142857 42.42857143] ; [27.42857143 20.57142857],0
p8,1,0.636601,0.223215,[29 70] ; [12 35],[27.80136986 71.19863014] ; [13.19863014 33.80136986],0
b2,1,0.698091,0.150465,[17 41] ; [10 20],[17.79545455 40.20454545] ; [ 9.20454545 20.79545455],0
b3,1,0.698091,0.150465,[17 41] ; [10 20],[17.79545455 40.20454545] ; [ 9.20454545 20.79545455],0
p1,1,0.718368,0.130062,[10 88] ; [ 4 44],[ 9.39726027 88.60273973] ; [ 4.60273973 43.39726027],0
p6,1,0.749184,0.102218,[17 81] ; [ 7 39],[16.33333333 81.66666667] ; [ 7.66666667 38.33333333],0
p5,1,0.754915,0.097447,[ 3 96] ; [ 1 46],[ 2.71232877 96.28767123] ; [ 1.28767123 45.71232877],0
b1,1,0.773867,0.082553,[52 47] ; [24 24],[51.18367347 47.81632653] ; [24.81632653 23.18367347],0
s5,1,0.804904,0.061012,[16 83] ; [ 7 41],[15.48979592 83.51020408] ; [ 7.51020408 40.48979592],0
p3,1,0.810263,0.057642,[29 69] ; [13 34],[28.3862069 69.6137931] ; [13.6137931 33.3862069],0
n5,1,0.948455,0.004179,[51 48] ; [25 23],[51.18367347 47.81632653] ; [24.81632653 23.18367347],0
s1,1,0.971962,0.001235,[ 8 90] ; [ 4 44],[ 8.05479452 89.94520548] ; [ 3.94520548 44.05479452],0
