Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.006132,7.511158,[27 58] ; [14  8],[32.57009346 52.42990654] ; [ 8.42990654 13.57009346],0
p3,1,0.010079,6.620812,[19 66] ; [11 11],[23.8317757 61.1682243] ; [ 6.1682243 15.8317757],0
b2,1,0.054783,3.68867,[19 39] ; [ 1 13],[16.11111111 41.88888889] ; [ 3.88888889 10.11111111],0
b3,1,0.054783,3.68867,[19 39] ; [ 1 13],[16.11111111 41.88888889] ; [ 3.88888889 10.11111111],0
n4,1,0.056686,3.631787,[58 28] ; [10 12],[54.14814815 31.85185185] ; [13.85185185  8.14814815],0
a6,1,0.067566,3.341174,[50 36] ; [ 8 14],[46.18518519 39.81481481] ; [11.81481481 10.18518519],0
s5,1,0.069068,3.305041,[10 75] ; [ 6 16],[12.71028037 72.28971963] ; [ 3.28971963 18.71028037],0
s3,1,0.069372,3.297818,[32 53] ; [13  9],[35.74766355 49.25233645] ; [ 9.25233645 12.74766355],0
p2,1,0.069627,3.291787,[40 46] ; [15  7],[43.7962963 42.2037037] ; [11.2037037 10.7962963],0
u3,1,0.08,3.064904,[18 21] ; [9 3],[20.64705882 18.35294118] ; [6.35294118 5.64705882],0
s7,1,0.083265,3.0,[17 63] ; [ 8 12],[20. 60.] ; [ 5. 15.],0
p4,1,0.087972,2.91109,[26 59] ; [11 11],[29.39252336 55.60747664] ; [ 7.60747664 14.39252336],0
s2,1,0.102136,2.671876,[20 65] ; [ 9 13],[23.03738318 61.96261682] ; [ 5.96261682 16.03738318],0
a7,1,0.121311,2.400317,[51 35] ; [ 9 13],[47.77777778 38.22222222] ; [12.22222222  9.77777778],0
d2,1,0.165713,1.921303,[45 40] ; [ 8 14],[42.10280374 42.89719626] ; [10.89719626 11.10280374],0
r1,1,0.214995,1.537467,[59 27] ; [12 10],[56.53703704 29.46296296] ; [14.46296296  7.53703704],0
a4,1,0.298282,1.081858,[33 51] ; [ 6 16],[30.90566038 53.09433962] ; [ 8.09433962 13.90566038],0
r4,1,0.306562,1.04543,[57 29] ; [12 10],[54.94444444 31.05555556] ; [14.05555556  7.94444444],0
r3,1,0.313663,1.015189,[64 22] ; [14  8],[62.11111111 23.88888889] ; [15.88888889  6.11111111],0
u1,1,0.392671,0.730655,[ 9 77] ; [ 1 21],[ 7.96296296 78.03703704] ; [ 2.03703704 19.96296296],0
a3,1,0.409682,0.679725,[47 38] ; [10 12],[45.28037383 39.71962617] ; [11.71962617 10.28037383],0
v3,1,0.414333,0.666332,[18 66] ; [ 3 19],[16.64150943 67.35849057] ; [ 4.35849057 17.64150943],0
d4,1,0.417129,0.658391,[55 31] ; [12 10],[53.35185185 32.64814815] ; [13.64814815  8.35185185],0
n3,1,0.424851,0.636858,[16 17] ; [8 5],[17.2173913 15.7826087] ; [6.7826087 6.2173913],0
n5,1,0.431054,0.619981,[51 35] ; [11 11],[49.37037037 36.62962963] ; [12.62962963  9.37037037],0
p8,1,0.49876,0.457573,[21 64] ; [ 7 15],[22.24299065 62.75700935] ; [ 5.75700935 16.24299065],0
s1,1,0.560889,0.338168,[ 8 77] ; [ 3 19],[ 8.73831776 76.26168224] ; [ 2.26168224 19.73831776],0
d3,1,0.565105,0.330941,[41 45] ; [12 10],[42.2037037 43.7962963] ; [10.7962963 11.2037037],0
a1,1,0.565696,0.329937,[ 7 79] ; [ 1 21],[ 6.37037037 79.62962963] ; [ 1.62962963 20.37037037],0
n6,1,0.57179,0.319696,[52 33] ; [12 10],[50.8411215 34.1588785] ; [13.1588785  8.8411215],0
n2,1,0.586211,0.2963,[19 17] ; [8 5],[19.83673469 16.16326531] ; [7.16326531 5.83673469],0
b1,1,0.624992,0.238913,[48 38] ; [11 11],[46.98148148 39.01851852] ; [12.01851852  9.98148148],0
a5,1,0.624992,0.238913,[48 38] ; [11 11],[46.98148148 39.01851852] ; [12.01851852  9.98148148],0
p7,1,0.643063,0.214758,[34 51] ; [10 12],[34.95327103 50.04672897] ; [ 9.04672897 12.95327103],0
v1,1,0.694133,0.154647,[20 66] ; [ 6 16],[20.7037037 65.2962963] ; [ 5.2962963 16.7037037],0
u2,1,0.696353,0.152293,[17 22] ; [6 6],[17.58823529 21.41176471] ; [5.41176471 6.58823529],0
d5,1,0.710939,0.137341,[55 31] ; [15  7],[55.74074074 30.25925926] ; [14.25925926  7.74074074],0
p10,1,0.738173,0.111739,[18 66] ; [ 4 18],[17.43396226 66.56603774] ; [ 4.56603774 17.43396226],0
p11,1,0.78205,0.076535,[38 48] ; [ 9 13],[37.42592593 48.57407407] ; [ 9.57407407 12.42592593],0
s8,1,0.845913,0.037766,[13 72] ; [ 3 19],[12.71028037 72.28971963] ; [ 3.28971963 18.71028037],0
p6,1,0.848334,0.036575,[14 71] ; [ 4 18],[14.29906542 70.70093458] ; [ 3.70093458 18.29906542],0
r2,1,0.862943,0.029801,[71 15] ; [17  4],[70.72897196 15.27102804] ; [17.27102804  3.72897196],0
v4,1,0.866903,0.028087,[64 22] ; [16  5],[64.29906542 21.70093458] ; [15.70093458  5.29906542],0
b4,1,0.91491,0.011416,[48 38] ; [12 10],[47.77777778 38.22222222] ; [12.22222222  9.77777778],0
b5,1,0.922445,0.009478,[42 44] ; [11 11],[42.2037037 43.7962963] ; [10.7962963 11.2037037],0
n1,1,0.933166,0.007033,[13 22] ; [5 8],[13.125 21.875] ; [4.875 8.125],0
d1,1,0.94157,0.005372,[32 54] ; [ 8 14],[31.85185185 54.14814815] ; [ 8.14814815 13.85185185],0
p1,1,0.963244,0.002124,[ 8 77] ; [ 2 20],[ 7.94392523 77.05607477] ; [ 2.05607477 19.94392523],0
