Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,45.689463,[77  2] ; [2 6],[71.73563218  7.26436782] ; [7.26436782 0.73563218],1
n6,1,5.8e-05,16.172301,[76  2] ; [5 3],[73.46511628  4.53488372] ; [7.53488372 0.46511628],1
s2,1,0.006004,7.549195,[49 29] ; [1 7],[45.34883721 32.65116279] ; [4.65116279 3.34883721],0
v1,1,0.00783,7.071921,[55 22] ; [2 6],[51.63529412 25.36470588] ; [5.36470588 2.63529412],0
s3,1,0.010391,6.566618,[54 23] ; [2 6],[50.72941176 26.27058824] ; [5.27058824 2.72941176],0
p6,1,0.015974,5.80576,[53 25] ; [2 6],[49.88372093 28.11627907] ; [5.11627907 2.88372093],0
p4,1,0.029681,4.727666,[69  8] ; [5 3],[67.03529412  9.96470588] ; [6.96470588 1.03529412],0
a4,1,0.039498,4.239304,[40 39] ; [1 7],[37.22988506 41.77011494] ; [3.77011494 4.22988506],0
s6,1,0.060289,3.529412,[63  9] ; [5 3],[61.2 10.8] ; [6.8 1.2],0
d2,1,0.18749,1.737233,[48 30] ; [3 5],[46.25581395 31.74418605] ; [4.74418605 3.25581395],0
p8,1,0.226401,1.46333,[63 15] ; [5 3],[61.6744186 16.3255814] ; [6.3255814 1.6744186],0
p3,1,0.226401,1.46333,[63 15] ; [5 3],[61.6744186 16.3255814] ; [6.3255814 1.6744186],0
b1,1,0.263663,1.249422,[36 43] ; [2 6],[34.50574713 44.49425287] ; [3.49425287 4.50574713],0
s5,1,0.265298,1.240899,[50 22] ; [4 4],[48.6 23.4] ; [5.4 2.6],0
v4,1,0.268331,1.225258,[75  3] ; [7 1],[74.37209302  3.62790698] ; [7.62790698 0.37209302],0
a7,1,0.316403,1.003758,[56 23] ; [7 1],[57.20689655 21.79310345] ; [5.79310345 2.20689655],0
d1,1,0.373206,0.792962,[52 27] ; [4 4],[50.85057471 28.14942529] ; [5.14942529 2.85057471],0
a6,1,0.388077,0.744958,[51 27] ; [4 4],[49.88372093 28.11627907] ; [5.11627907 2.88372093],0
r2,1,0.389125,0.741676,[75  4] ; [7 1],[74.45977011  4.54022989] ; [7.54022989 0.45977011],0
s7,1,0.417317,0.657858,[56 18] ; [5 3],[55.04878049 18.95121951] ; [5.95121951 2.04878049],0
n2,1,0.432246,0.61678,[12  2] ; [2 1],[11.52941176  2.47058824] ; [2.47058824 0.52941176],0
u1,1,0.459362,0.547448,[19 60] ; [1 7],[18.16091954 60.83908046] ; [1.83908046 6.16091954],0
v2,1,0.462941,0.538776,[44 33] ; [5 2],[44.91666667 32.08333333] ; [4.08333333 2.91666667],0
b4,1,0.554259,0.349743,[48 31] ; [4 4],[47.2183908 31.7816092] ; [4.7816092 3.2183908],0
b2,1,0.564177,0.332523,[29 31] ; [3 5],[28.23529412 31.76470588] ; [3.76470588 4.23529412],0
b3,1,0.564177,0.332523,[29 31] ; [3 5],[28.23529412 31.76470588] ; [3.76470588 4.23529412],0
b5,1,0.567046,0.32765,[38 41] ; [3 5],[37.22988506 41.77011494] ; [3.77011494 4.22988506],0
v3,1,0.587855,0.293706,[47 30] ; [5 2],[47.66666667 29.33333333] ; [4.33333333 2.66666667],0
d5,1,0.625486,0.238233,[64 14] ; [6 2],[63.48837209 14.51162791] ; [6.51162791 1.48837209],0
a8,1,0.64739,0.209206,[13 58] ; [2 6],[13.48101266 57.51898734] ; [1.51898734 6.48101266],0
p7,1,0.652171,0.203173,[62 14] ; [6 2],[61.52380952 14.47619048] ; [6.47619048 1.52380952],0
d3,1,0.696049,0.152615,[54 24] ; [5 3],[53.51162791 24.48837209] ; [5.48837209 2.51162791],0
d4,1,0.698921,0.149597,[64 14] ; [7 1],[64.39534884 13.60465116] ; [6.60465116 1.39534884],0
a3,1,0.709472,0.138805,[65 14] ; [7 1],[65.37931034 13.62068966] ; [6.62068966 1.37931034],0
s8,1,0.852336,0.034648,[50 26] ; [5 3],[49.76190476 26.23809524] ; [5.23809524 2.76190476],0
p12,1,0.863634,0.029498,[22 57] ; [2 6],[21.79310345 57.20689655] ; [2.20689655 5.79310345],0
s4,1,0.890195,0.01906,[11 66] ; [1 7],[10.87058824 66.12941176] ; [1.12941176 6.87058824],0
p2,1,0.989762,0.000165,[69 10] ; [7 1],[69.01149425  9.98850575] ; [6.98850575 1.01149425],0
