Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,84.527631,[212  24] ; [49 62],[177.51008646  58.48991354] ; [83.48991354 27.51008646],1
r2,1,0.0,39.096743,[222  10] ; [78 30],[204.70588235  27.29411765] ; [95.29411765 12.70588235],1
r3,1,0.0,28.457664,[218  15] ; [80 30],[202.43148688  30.56851312] ; [95.56851312 14.43148688],1
v4,1,1e-06,23.227952,[215  17] ; [81 29],[200.79532164  31.20467836] ; [95.20467836 14.79532164],1
d4,1,4e-06,21.108456,[192  41] ; [66 45],[174.75  58.25] ; [83.25 27.75],1
d1,1,3.7e-05,17.023257,[126 110] ; [33 78],[108.13832853 127.86167147] ; [50.86167147 60.13832853],1
a5,1,5.4e-05,16.312726,[158  78] ; [49 62],[140.78386167  95.21613833] ; [66.21613833 44.78386167],1
a7,1,6.3e-05,16.022147,[173  62] ; [57 53],[156.66666667  78.33333333] ; [73.33333333 36.66666667],1
v2,1,0.000342,12.823296,[111 106] ; [33 76],[ 95.85276074 121.14723926] ; [48.14723926 60.85276074],1
d3,1,0.000401,12.526359,[161  74] ; [53 56],[146.19186047  88.80813953] ; [67.80813953 41.19186047],1
a6,1,0.000658,11.605388,[163  72] ; [56 55],[148.74277457  86.25722543] ; [70.25722543 40.74277457],1
p2,1,0.000864,11.098832,[180  56] ; [64 45],[166.91014493  69.08985507] ; [77.08985507 31.91014493],1
u3,1,0.001961,9.586134,[46 38] ; [14 37],[37.33333333 46.66666667] ; [22.66666667 28.33333333],0
s3,1,0.001994,9.554617,[101 128] ; [29 80],[ 88.07692308 140.92307692] ; [41.92307692 67.07692308],0
a1,1,0.003242,8.666018,[  5 231] ; [ 10 101],[ 10.20172911 225.79827089] ; [  4.79827089 106.20172911],0
v1,1,0.004425,8.100719,[ 98 134] ; [28 79],[ 86.2300885 145.7699115] ; [39.7699115 67.2300885],0
d5,1,0.004845,7.936471,[176  59] ; [66 44],[164.84057971  70.15942029] ; [77.15942029 32.84057971],0
s6,1,0.006286,7.466425,[114 118] ; [36 72],[102.35294118 129.64705882] ; [47.64705882 60.35294118],0
p11,1,0.012271,6.271306,[170  66] ; [65 46],[159.82708934  76.17291066] ; [75.17291066 35.82708934],0
a2,1,0.013296,6.129352,[ 46 190] ; [ 10 101],[ 38.08645533 197.91354467] ; [17.91354467 93.08645533],0
b1,1,0.016206,5.780366,[ 73 163] ; [49 62],[ 82.9740634 153.0259366] ; [39.0259366 71.9740634],0
p7,1,0.032233,4.586071,[102 123] ; [36 73],[ 92.96407186 132.03592814] ; [45.03592814 63.96407186],0
u2,1,0.033098,4.540698,[45 38] ; [18 33],[39.02238806 43.97761194] ; [23.97761194 27.02238806],0
s2,1,0.057446,3.609631,[ 80 152] ; [27 84],[ 72.37317784 159.62682216] ; [34.62682216 76.37317784],0
s1,1,0.059588,3.548817,[ 15 214] ; [  2 109],[ 11.45 217.55] ; [  5.55 105.45],0
b3,1,0.066778,3.36049,[34 87] ; [25 35],[39.44198895 81.55801105] ; [19.55801105 40.44198895],0
b2,1,0.066778,3.36049,[34 87] ; [25 35],[39.44198895 81.55801105] ; [19.55801105 40.44198895],0
p10,1,0.069665,3.290888,[154  77] ; [61 47],[146.50442478  84.49557522] ; [68.49557522 39.50442478],0
a3,1,0.090017,2.874061,[150  84] ; [60 50],[142.84883721  91.15116279] ; [67.15116279 42.84883721],0
u1,1,0.114036,2.49738,[ 25 211] ; [  6 105],[ 21.08357349 214.91642651] ; [  9.91642651 101.08357349],0
p4,1,0.116721,2.460771,[ 74 158] ; [26 84],[ 67.83625731 164.16374269] ; [32.16374269 77.83625731],0
a4,1,0.131184,2.278439,[ 92 142] ; [34 76],[ 85.70930233 148.29069767] ; [40.29069767 69.70930233],0
s4,1,0.141575,2.160758,[ 28 203] ; [20 91],[ 32.42105263 198.57894737] ; [15.57894737 95.42105263],0
n4,1,0.156731,2.005486,[154  81] ; [64 47],[148.06358382  86.93641618] ; [69.93641618 41.06358382],0
v3,1,0.167812,1.902384,[ 62 160] ; [23 87],[ 56.8373494 165.1626506] ; [28.1626506 81.8373494],0
p8,1,0.168167,1.899209,[ 79 151] ; [29 79],[ 73.49112426 156.50887574] ; [34.50887574 73.49112426],0
s7,1,0.179704,1.800067,[ 48 179] ; [16 91],[ 43.49700599 183.50299401] ; [20.50299401 86.49700599],0
p5,1,0.253034,1.306476,[  7 228] ; [  6 103],[  8.88081395 226.11918605] ; [  4.11918605 104.88081395],0
s5,1,0.26659,1.234209,[ 45 184] ; [16 93],[ 41.32840237 187.67159763] ; [19.67159763 89.32840237],0
n6,1,0.30092,1.070111,[172  61] ; [76 35],[167.97674419  65.02325581] ; [80.02325581 30.97674419],0
p1,1,0.362021,0.830871,[ 14 220] ; [  4 106],[ 12.24418605 221.75581395] ; [  5.75581395 104.24418605],0
n3,1,0.475255,0.509731,[52 23] ; [29 17],[50.20661157 24.79338843] ; [30.79338843 15.20661157],0
p6,1,0.500932,0.452962,[ 41 190] ; [16 92],[ 38.84070796 192.15929204] ; [18.15929204 89.84070796],0
p12,1,0.59324,0.285313,[  9 224] ; [  3 107],[  8.1516035 224.8483965] ; [  3.8483965 106.1516035],0
p9,1,0.661317,0.191928,[161  69] ; [71 34],[159.28358209  70.71641791] ; [72.71641791 32.28358209],0
n1,1,0.742368,0.108056,[27 49] ; [15 31],[26.16393443 49.83606557] ; [15.83606557 30.16393443],0
u4,1,0.76311,0.090841,[  3 233] ; [  1 110],[  2.7204611 233.2795389] ; [  1.2795389 109.7204611],0
a8,1,0.85299,0.034338,[ 24 193] ; [11 95],[ 23.51393189 193.48606811] ; [11.48606811 94.51393189],0
n5,1,0.873177,0.02548,[149  84] ; [70 41],[148.33430233  84.66569767] ; [70.66569767 40.33430233],0
d2,1,0.937015,0.006245,[ 90 143] ; [42 68],[ 89.66763848 143.33236152] ; [42.33236152 67.66763848],0
b4,1,0.952177,0.003597,[139  97] ; [65 46],[138.74351585  97.25648415] ; [65.25648415 45.74351585],0
b5,1,0.974457,0.001025,[145  91] ; [68 43],[144.86455331  91.13544669] ; [68.13544669 42.86455331],0
n2,1,0.987098,0.000261,[52 25] ; [31 15],[51.95934959 25.04065041] ; [31.04065041 14.95934959],0
