Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,40.114258,[90 19] ; [20 39],[71.36904762 37.63095238] ; [38.63095238 20.36904762],1
s6,1,0.0,31.971839,[75 32] ; [14 44],[57.71515152 49.28484848] ; [31.28484848 26.71515152],1
r3,1,6e-06,20.572555,[95 14] ; [33 26],[83.04761905 25.95238095] ; [44.95238095 14.04761905],1
s8,1,0.000108,14.998512,[44 64] ; [ 7 52],[32.98203593 75.01796407] ; [18.01796407 40.98203593],1
r2,1,0.000249,13.416804,[101   8] ; [40 16],[93.14545455 15.85454545] ; [47.85454545  8.14545455],1
v4,1,0.000302,13.057846,[95 13] ; [38 21],[86.01197605 21.98802395] ; [46.98802395 12.01197605],1
s2,1,0.000524,12.029108,[58 51] ; [15 44],[47.36309524 61.63690476] ; [25.63690476 33.36309524],1
d4,1,0.000714,11.451207,[89 18] ; [35 24],[79.92771084 27.07228916] ; [44.07228916 14.92771084],1
d5,1,0.001059,10.722288,[90 18] ; [35 23],[81.3253012 26.6746988] ; [43.6746988 14.3253012],0
s7,1,0.001203,10.485664,[46 52] ; [11 43],[36.75 61.25] ; [20.25 33.75],0
u3,1,0.004486,8.07564,[21 10] ; [ 9 20],[15.5 15.5] ; [14.5 14.5],0
v2,1,0.00786,7.06519,[51 53] ; [16 42],[43.01234568 60.98765432] ; [23.98765432 34.01234568],0
p10,1,0.009113,6.80053,[58 48] ; [19 38],[50.07361963 55.92638037] ; [26.92638037 30.07361963],0
a7,1,0.009336,6.757424,[80 29] ; [31 27],[72.4491018 36.5508982] ; [38.5508982 19.4491018],0
a3,1,0.012009,6.309595,[77 31] ; [30 28],[69.61445783 38.38554217] ; [37.38554217 20.61445783],0
a5,1,0.01367,6.080259,[73 36] ; [28 31],[65.5297619 43.4702381] ; [35.4702381 23.5297619],0
a2,1,0.016047,5.797759,[33 76] ; [ 8 51],[26.60119048 82.39880952] ; [14.39880952 44.60119048],0
n3,1,0.026284,4.937268,[34 14] ; [10 13],[29.74647887 18.25352113] ; [14.25352113  8.74647887],0
n6,1,0.027225,4.876495,[73 34] ; [30 29],[66.39156627 40.60843373] ; [36.60843373 22.39156627],0
d1,1,0.028968,4.769507,[58 51] ; [21 38],[51.25595238 57.74404762] ; [27.74404762 31.25595238],0
v3,1,0.038191,4.296477,[33 69] ; [10 48],[27.4125 74.5875] ; [15.5875 42.4125],0
u1,1,0.040805,4.184108,[20 89] ; [ 4 55],[15.57142857 93.42857143] ; [ 8.42857143 50.57142857],0
b2,1,0.046536,3.962101,[16 41] ; [17 18],[20.44565217 36.55434783] ; [12.55434783 22.44565217],0
b3,1,0.046536,3.962101,[16 41] ; [17 18],[20.44565217 36.55434783] ; [12.55434783 22.44565217],0
s3,1,0.047272,3.935675,[57 52] ; [21 37],[50.91017964 58.08982036] ; [27.08982036 30.91017964],0
d3,1,0.05097,3.809243,[70 38] ; [28 29],[64.14545455 43.85454545] ; [33.85454545 23.14545455],0
v1,1,0.056695,3.631508,[46 62] ; [16 42],[40.3373494 67.6626506] ; [21.6626506 36.3373494],0
a4,1,0.062162,3.478734,[54 55] ; [20 38],[48.2994012 60.7005988] ; [25.7005988 32.2994012],0
s1,1,0.085255,2.961771,[12 96] ; [ 2 57],[ 9.05389222 98.94610778] ; [ 4.94610778 54.05389222],0
p2,1,0.094103,2.802739,[64 44] ; [27 32],[58.8502994 49.1497006] ; [32.1497006 26.8502994],0
n4,1,0.094507,2.795884,[71 37] ; [31 28],[65.96407186 42.03592814] ; [36.03592814 22.96407186],0
a1,1,0.12148,2.398134,[  7 102] ; [ 8 51],[ 9.73214286 99.26785714] ; [ 5.26785714 53.73214286],0
b4,1,0.135412,2.229336,[63 46] ; [27 32],[58.39285714 50.60714286] ; [31.60714286 27.39285714],0
s5,1,0.145567,2.118103,[33 69] ; [12 44],[29.05063291 72.94936709] ; [15.94936709 40.05063291],0
u2,1,0.167644,1.903887,[15 15] ; [ 9 19],[12.4137931 17.5862069] ; [11.5862069 16.4137931],0
b5,1,0.195771,1.673643,[72 37] ; [33 26],[68.125 40.875] ; [36.875 22.125],0
p6,1,0.226508,1.462658,[26 83] ; [ 9 48],[22.98192771 86.01807229] ; [12.01807229 44.98192771],0
a6,1,0.271481,1.209248,[68 40] ; [32 27],[64.67065868 43.32934132] ; [35.32934132 23.67065868],0
d2,1,0.328697,0.954023,[57 51] ; [26 32],[54. 54.] ; [29. 29.],0
p5,1,0.33004,0.948739,[  5 103] ; [ 1 58],[  3.88023952 104.11976048] ; [ 2.11976048 56.88023952],0
p9,1,0.395802,0.721043,[63 44] ; [28 26],[60.47826087 46.52173913] ; [30.52173913 23.47826087],0
p4,1,0.396992,0.717419,[40 68] ; [18 41],[37.50898204 70.49101796] ; [20.49101796 38.50898204],0
b1,1,0.397039,0.717276,[61 48] ; [37 22],[63.58333333 45.41666667] ; [34.41666667 24.58333333],0
n2,1,0.487167,0.482777,[31 20] ; [12 11],[29.63513514 21.36486486] ; [13.36486486  9.63513514],0
n1,1,0.530632,0.393181,[19 31] ; [ 7 16],[17.80821918 32.19178082] ; [ 8.19178082 14.80821918],0
a8,1,0.531346,0.391817,[12 88] ; [ 5 52],[10.82802548 89.17197452] ; [ 6.17197452 50.82802548],0
n5,1,0.545931,0.364657,[65 42] ; [33 26],[63.1686747 43.8313253] ; [34.8313253 24.1686747],0
s4,1,0.592941,0.285775,[22 87] ; [14 45],[23.35714286 85.64285714] ; [12.64285714 46.35714286],0
p12,1,0.662346,0.190686,[  1 107] ; [ 1 58],[  1.29341317 106.70658683] ; [ 0.70658683 58.29341317],0
p3,1,0.850796,0.035383,[32 76] ; [18 40],[32.53012048 75.46987952] ; [17.46987952 40.53012048],0
p7,1,0.912568,0.012056,[39 68] ; [21 38],[38.6746988 68.3253012] ; [21.3253012 37.6746988],0
p1,1,0.961132,0.002375,[  9 100] ; [ 5 54],[ 9.08333333 99.91666667] ; [ 4.91666667 54.08333333],0
