Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,41.687855,[165   8] ; [30 19],[151.95945946  21.04054054] ; [43.04054054  5.95945946],1
r2,1,2.1e-05,18.059083,[169   3] ; [39  8],[163.36073059   8.63926941] ; [44.63926941  2.36073059],1
v4,1,0.001929,9.615623,[167   5] ; [42  7],[162.66063348   9.33936652] ; [46.33936652  2.66063348],0
a2,1,0.008981,6.82662,[ 58 115] ; [ 7 42],[ 50.65315315 122.34684685] ; [14.34684685 34.65315315],0
u1,1,0.011002,6.465024,[ 48 125] ; [ 5 44],[ 41.3018018 131.6981982] ; [11.6981982 37.3018018],0
r3,1,0.013833,6.059343,[168   4] ; [44  5],[164.99547511   7.00452489] ; [47.00452489  1.99547511],0
n3,1,0.01672,5.725579,[41  8] ; [10  8],[37.29850746 11.70149254] ; [13.70149254  4.29850746],0
a7,1,0.017509,5.644621,[128  45] ; [27 21],[121.33484163  51.66515837] ; [33.66515837 14.33484163],0
n4,1,0.037636,4.321416,[134  38] ; [31 18],[128.41628959  43.58371041] ; [36.58371041 12.41628959],0
v3,1,0.048731,3.88461,[64 97] ; [11 35],[ 58.33333333 102.66666667] ; [16.66666667 29.33333333],0
v2,1,0.07468,3.177029,[95 68] ; [20 26],[89.68899522 73.31100478] ; [25.31100478 20.68899522],0
s3,1,0.086855,2.93172,[153  19] ; [39 10],[149.42986425  22.57013575] ; [42.57013575  6.42986425],0
a1,1,0.092419,2.831726,[  7 166] ; [ 5 44],[  9.35135135 163.64864865] ; [ 2.64864865 46.35135135],0
n5,1,0.095185,2.784423,[125  45] ; [30 19],[120.3196347  49.6803653] ; [34.6803653 14.3196347],0
a5,1,0.100094,2.704046,[130  43] ; [31 18],[125.46396396  47.53603604] ; [35.53603604 13.46396396],0
a4,1,0.109689,2.558698,[93 80] ; [20 29],[88.05855856 84.94144144] ; [24.94144144 24.05855856],0
d1,1,0.111768,2.529047,[110  63] ; [25 24],[105.2027027  67.7972973] ; [29.7972973 19.2027027],0
s6,1,0.113299,2.507591,[145  26] ; [36 12],[141.32876712  29.67123288] ; [39.67123288  8.32876712],0
d4,1,0.125014,2.353354,[146  26] ; [37 12],[142.42533937  29.57466063] ; [40.57466063  8.42533937],0
p12,1,0.134307,2.241999,[ 14 158] ; [ 1 48],[ 11.67420814 160.32579186] ; [ 3.32579186 45.67420814],0
s7,1,0.153321,2.038895,[108  54] ; [26 21],[103.86602871  58.13397129] ; [30.13397129 16.86602871],0
a6,1,0.157206,2.000897,[117  55] ; [28 21],[112.85067873  59.14932127] ; [32.14932127 16.85067873],0
b1,1,0.16371,1.939621,[ 69 104] ; [25 24],[73.25225225 99.74774775] ; [20.74774775 28.25225225],0
d5,1,0.165154,1.926393,[147  25] ; [37 11],[143.85454545  28.14545455] ; [40.14545455  7.85454545],0
d2,1,0.173705,1.850674,[99 72] ; [23 26],[94.82727273 76.17272727] ; [27.17272727 21.82727273],0
