Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000122,14.762015,[162   6] ; [20  6],[157.60824742  10.39175258] ; [24.39175258  1.60824742],1
a2,1,0.002276,9.31286,[72 96] ; [ 3 23],[ 64.94845361 103.05154639] ; [10.05154639 15.94845361],0
r2,1,0.005232,7.797474,[167   1] ; [23  2],[165.38860104   2.61139896] ; [24.61139896  0.38860104],0
u1,1,0.006807,7.323228,[ 57 111] ; [ 2 24],[ 51.09278351 116.90721649] ; [ 7.90721649 18.09278351],0
d2,1,0.010021,6.631125,[128  37] ; [14 12],[122.67015707  42.32984293] ; [19.32984293  6.67015707],0
n4,1,0.012705,6.209736,[138  29] ; [16 10],[133.25388601  33.74611399] ; [20.74611399  5.25388601],0
p2,1,0.030796,4.664286,[148  19] ; [19  7],[144.50259067  22.49740933] ; [22.49740933  3.50259067],0
p7,1,0.031235,4.639987,[123  38] ; [14 11],[118.58602151  42.41397849] ; [18.41397849  6.58602151],0
r3,1,0.043069,4.092678,[161   5] ; [23  3],[159.08333333   6.91666667] ; [24.91666667  1.08333333],0
b4,1,0.054514,3.696896,[103  65] ; [21  5],[107.3814433  60.6185567] ; [16.6185567  9.3814433],0
n3,1,0.065769,3.38558,[24  6] ; [5 5],[21.75  8.25] ; [7.25 2.75],0
a6,1,0.066748,3.361225,[119  47] ; [14 12],[114.98958333  51.01041667] ; [18.01041667  7.98958333],0
n6,1,0.088837,2.895315,[151  14] ; [21  5],[148.58638743  16.41361257] ; [23.41361257  2.58638743],0
n5,1,0.106294,2.608478,[138  29] ; [18  8],[134.98445596  32.01554404] ; [21.01554404  4.98445596],0
p8,1,0.120599,2.409524,[103  62] ; [11 13],[99.52380952 65.47619048] ; [14.47619048  9.52380952],0
p1,1,0.123029,2.378328,[ 20 147] ; [ 6 20],[ 22.49740933 144.50259067] ; [ 3.50259067 22.49740933],0
p12,1,0.134909,2.235086,[ 24 142] ; [ 1 25],[ 21.61458333 144.38541667] ; [ 3.38541667 22.61458333],0
s1,1,0.15234,2.04866,[  4 161] ; [ 2 24],[  5.18324607 159.81675393] ; [ 0.81675393 25.18324607],0
b5,1,0.174706,1.842092,[95 73] ; [11 15],[91.79381443 76.20618557] ; [14.20618557 11.79381443],0
b1,1,0.181099,1.788581,[ 61 107] ; [13 13],[ 64.08247423 103.91752577] ; [ 9.91752577 16.08247423],0
s3,1,0.195968,1.672172,[121  43] ; [16 10],[118.25263158  45.74736842] ; [18.74736842  7.25263158],0
v3,1,0.226925,1.46003,[80 86] ; [ 8 15],[77.29100529 88.70899471] ; [10.70899471 12.29100529],0
a8,1,0.234746,1.411872,[ 17 130] ; [ 1 25],[ 15.29479769 131.70520231] ; [ 2.70520231 23.29479769],0
a7,1,0.2539,1.301714,[121  46] ; [16 10],[118.54404145  48.45595855] ; [18.45595855  7.54404145],0
s4,1,0.268184,1.226011,[ 40 124] ; [ 9 17],[ 42.29473684 121.70526316] ; [ 6.70526316 19.29473684],0
a4,1,0.277042,1.181544,[109  59] ; [14 12],[106.51546392  61.48453608] ; [16.48453608  9.51546392],0
a1,1,0.289108,1.123768,[ 10 158] ; [ 3 23],[ 11.25773196 156.74226804] ; [ 1.74226804 24.25773196],0
p9,1,0.29492,1.097026,[148  17] ; [25  1],[149.45026178  15.54973822] ; [23.54973822  2.45026178],0
v4,1,0.32541,0.967077,[162   6] ; [24  2],[161.07216495   6.92783505] ; [24.92783505  1.07216495],0
p4,1,0.326412,0.963081,[123  42] ; [17  9],[120.94240838  44.05759162] ; [19.05759162  6.94240838],0
n2,1,0.335824,0.926307,[26  5] ; [7 3],[24.95121951  6.04878049] ; [8.04878049 1.95121951],0
s7,1,0.364385,0.822725,[109  52] ; [14 10],[107.04324324  53.95675676] ; [15.95675676  8.04324324],0
p6,1,0.449064,0.573013,[79 86] ; [14 11],[80.76315789 84.23684211] ; [12.23684211 12.76315789],0
v1,1,0.486252,0.48481,[112  55] ; [15 10],[110.46354167  56.53645833] ; [16.53645833  8.46354167],0
u4,1,0.491446,0.473359,[  3 165] ; [ 1 25],[  3.46391753 164.53608247] ; [ 0.53608247 25.46391753],0
d3,1,0.491786,0.472616,[149  18] ; [22  4],[147.96373057  19.03626943] ; [23.03626943  2.96373057],0
