Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.0,25.442804,[ 16 264] ; [15 40],[ 25.91044776 254.08955224] ; [ 5.08955224 49.91044776],1
p8,1,2.4e-05,17.872131,[152 125] ; [47  8],[166.03313253 110.96686747] ; [32.96686747 22.03313253],1
p4,1,4.4e-05,16.700598,[176 105] ; [50  5],[189.00595238  91.99404762] ; [36.99404762 18.00595238],1
p12,1,0.000219,13.657499,[ 26 252] ; [15 40],[ 34.22822823 243.77177177] ; [ 6.77177177 48.22822823],1
p3,1,0.000233,13.540955,[150 132] ; [44 11],[162.33827893 119.66172107] ; [31.66172107 23.33827893],1
s1,1,0.000552,11.931373,[  5 273] ; [ 6 49],[  9.18318318 268.81681682] ; [ 1.81681682 53.18318318],1
s7,1,0.000962,10.898485,[196  71] ; [50  3],[205.25625  61.74375] ; [40.74375 12.25625],1
p6,1,0.001729,9.817362,[117 164] ; [35 19],[127.49850746 153.50149254] ; [24.50149254 29.49850746],0
s5,1,0.002191,9.38237,[115 157] ; [34 18],[125.08641975 146.91358025] ; [23.91358025 28.08641975],0
b5,1,0.004497,8.071528,[176 106] ; [23 32],[166.52225519 115.47774481] ; [32.47774481 22.52225519],0
p7,1,0.01119,6.43494,[185  89] ; [45  8],[192.72171254  81.27828746] ; [37.27828746 15.72171254],0
v1,1,0.01452,5.97382,[165 109] ; [42 12],[172.92073171 101.07926829] ; [34.07926829 19.92073171],0
v3,1,0.017552,5.640283,[126 146] ; [34 19],[133.90769231 138.09230769] ; [26.09230769 26.90769231],0
u4,1,0.027587,4.853703,[  8 274] ; [ 5 50],[ 10.87833828 271.12166172] ; [ 2.12166172 52.87833828],0
n1,1,0.039727,4.229503,[22 36] ; [9 4],[25.32394366 32.67605634] ; [5.67605634 7.32394366],0
a1,1,0.044696,4.030086,[ 12 270] ; [ 6 49],[ 15.06231454 266.93768546] ; [ 2.93768546 52.06231454],0
n5,1,0.049194,3.868733,[223  57] ; [50  5],[228.17910448  51.82089552] ; [44.82089552 10.17910448],0
a2,1,0.09512,2.785515,[ 88 194] ; [11 44],[ 82.84272997 199.15727003] ; [16.15727003 38.84272997],0
n4,1,0.137051,2.210761,[233  48] ; [50  5],[236.67559524  44.32440476] ; [46.32440476  8.67559524],0
u1,1,0.157279,2.000192,[ 77 205] ; [10 45],[ 72.80118694 209.19881306] ; [14.19881306 40.80118694],0
r4,1,0.16154,1.959752,[276   6] ; [52  3],[274.46884273   7.53115727] ; [53.53115727  1.46884273],0
a6,1,0.172461,1.861422,[195  86] ; [33 22],[190.67857143  90.32142857] ; [37.32142857 17.67857143],0
a3,1,0.174245,1.846038,[223  58] ; [48  7],[226.63988095  54.36011905] ; [44.36011905 10.63988095],0
