Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,47.195421,[42 59] ; [241  68],[69.71463415 31.28536585] ; [213.28536585  95.71463415],1
a6,1,0.0,33.969604,[48 53] ; [241  68],[71.19268293 29.80731707] ; [217.80731707  91.19268293],1
a2,1,4e-06,21.298012,[ 6 95] ; [ 87 223],[22.8540146 78.1459854] ; [ 70.1459854 239.8540146],1
v4,1,0.000444,12.338876,[86 13] ; [297  11],[93.16216216  5.83783784] ; [289.83783784  18.16216216],1
u1,1,0.00105,10.737092,[ 5 96] ; [ 57 253],[15.23600973 85.76399027] ; [ 46.76399027 263.23600973],0
r4,1,0.001361,10.257573,[86 15] ; [294  16],[93.38199513  7.61800487] ; [286.61800487  23.38199513],0
d1,1,0.003242,8.666279,[42 59] ; [181 129],[54.80048662 46.19951338] ; [168.19951338 141.80048662],0
r3,1,0.004792,7.956283,[90 11] ; [296  11],[95.55392157  5.44607843] ; [290.44607843  16.55392157],0
p8,1,0.005013,7.874711,[35 65] ; [155 148],[47.14640199 52.85359801] ; [142.85359801 160.14640199],0
d5,1,0.008214,6.986119,[69 32] ; [250  59],[78.58292683 22.41707317] ; [240.41707317  68.58292683],0
s2,1,0.010618,6.528131,[24 75] ; [118 190],[34.54054054 64.45945946] ; [107.45945946 200.54054054],0
p4,1,0.012206,6.280726,[41 57] ; [173 134],[51.78271605 46.21728395] ; [162.21728395 144.78271605],0
r2,1,0.014596,5.964641,[91  8] ; [300   8],[95.10810811  3.89189189] ; [295.89189189  12.10810811],0
b5,1,0.017383,5.657244,[49 52] ; [192 118],[59.22384428 41.77615572] ; [181.77615572 128.22384428],0
d4,1,0.028224,4.814355,[74 26] ; [259  50],[81.41809291 18.58190709] ; [251.58190709  57.41809291],0
p9,1,0.038901,4.26519,[68 32] ; [237  66],[75.68238213 24.31761787] ; [229.31761787  73.68238213],0
s5,1,0.043804,4.064094,[32 65] ; [ 69 234],[24.4925 72.5075] ; [ 76.5075 226.4925],0
a5,1,0.050061,3.83942,[64 37] ; [228  82],[71.756691 29.243309] ; [220.243309  89.756691],0
p10,1,0.0728,3.218741,[67 32] ; [234  71],[73.75990099 25.24009901] ; [227.24009901  77.75990099],0
n6,1,0.075859,3.151465,[71 28] ; [247  61],[77.35135135 21.64864865] ; [240.64864865  67.35135135],0
v2,1,0.08285,3.008079,[46 51] ; [168 124],[53.36246787 43.63753213] ; [160.63753213 131.36246787],0
s6,1,0.10796,2.583834,[45 52] ; [170 135],[51.87810945 45.12189055] ; [163.12189055 141.87810945],0
u3,1,0.139723,2.181002,[17 19] ; [62 39],[20.75912409 15.24087591] ; [58.24087591 42.75912409],0
s1,1,0.14039,2.173681,[ 7 91] ; [ 11 294],[ 4.37717122 93.62282878] ; [ 13.62282878 291.37717122],0
b2,1,0.180105,1.796757,[22 39] ; [ 43 117],[17.94117647 43.05882353] ; [ 47.05882353 112.94117647],0
b3,1,0.180105,1.796757,[22 39] ; [ 43 117],[17.94117647 43.05882353] ; [ 47.05882353 112.94117647],0
p2,1,0.186821,1.742508,[75 24] ; [252  56],[79.54054054 19.45945946] ; [247.45945946  60.54054054],0
p6,1,0.236801,1.399537,[23 74] ; [ 91 213],[27.57605985 69.42394015] ; [ 86.42394015 217.57605985],0
p3,1,0.257848,1.280276,[37 62] ; [135 173],[41.83783784 57.16216216] ; [130.16216216 177.83783784],0
p7,1,0.274697,1.193142,[52 44] ; [182 119],[56.58438287 39.41561713] ; [177.41561713 123.58438287],0
v3,1,0.291404,1.113121,[28 68] ; [104 193],[32.24427481 63.75572519] ; [ 99.75572519 197.24427481],0
s4,1,0.296093,1.091706,[18 83] ; [ 41 261],[14.7866005 86.2133995] ; [ 44.2133995 257.7866005],0
p12,1,0.305278,1.050995,[ 3 97] ; [ 17 289],[ 4.92610837 95.07389163] ; [ 15.07389163 290.92610837],0
a8,1,0.339133,0.913706,[ 8 85] ; [ 34 244],[10.52830189 82.47169811] ; [ 31.47169811 246.52830189],0
p5,1,0.382148,0.763781,[ 9 90] ; [ 20 288],[ 7.05405405 91.94594595] ; [ 21.94594595 286.05405405],0
a1,1,0.42212,0.644406,[ 5 96] ; [ 10 300],[ 3.68613139 97.31386861] ; [ 11.31386861 298.68613139],0
p1,1,0.530707,0.393037,[ 6 95] ; [ 24 283],[ 7.42647059 93.57352941] ; [ 22.57352941 284.42647059],0
a3,1,0.570182,0.322379,[65 36] ; [207 100],[67.33333333 33.66666667] ; [204.66666667 102.33333333],0
n4,1,0.578925,0.307976,[71 30] ; [226  83],[73.16341463 27.83658537] ; [223.83658537  85.16341463],0
n3,1,0.648123,0.208275,[18  8] ; [51 18],[18.88421053  7.11578947] ; [50.11578947 18.88421053],0
n5,1,0.656449,0.197866,[66 33] ; [212  95],[67.78817734 31.21182266] ; [210.21182266  96.78817734],0
u2,1,0.680927,0.169084,[18 17] ; [56 45],[19.04411765 15.95588235] ; [54.95588235 46.04411765],0
v1,1,0.682523,0.167299,[46 54] ; [147 157],[47.77227723 52.22772277] ; [145.22772277 158.77227723],0
d2,1,0.689523,0.159602,[41 60] ; [132 176],[42.72127139 58.27872861] ; [130.27872861 177.72127139],0
s7,1,0.696466,0.152174,[25 70] ; [ 84 212],[26.48337596 68.51662404] ; [ 82.51662404 213.48337596],0
u4,1,0.723578,0.125091,[  1 100] ; [  2 308],[  0.73722628 100.26277372] ; [  2.26277372 307.73722628],0
b1,1,0.741438,0.108867,[38 63] ; [111 199],[36.61557178 64.38442822] ; [112.38442822 197.61557178],0
a4,1,0.77141,0.084408,[43 57] ; [138 171],[44.25427873 55.74572127] ; [136.74572127 172.25427873],0
b4,1,0.822607,0.050263,[59 42] ; [185 125],[59.96107056 41.03892944] ; [184.03892944 125.96107056],0
n2,1,0.855859,0.032996,[20  8] ; [48 21],[19.62886598  8.37113402] ; [48.37113402 20.62886598],0
n1,1,0.873845,0.02521,[ 9 19] ; [23 45],[ 9.33333333 18.66666667] ; [22.66666667 45.33333333],0
s3,1,0.875748,0.024449,[43 57] ; [133 170],[43.67245658 56.32754342] ; [132.32754342 170.67245658],0
p11,1,0.878142,0.023508,[77 24] ; [234  76],[76.42579075 24.57420925] ; [234.57420925  75.42579075],0
