Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,139.188068,[ 87 206] ; [230  64],[158.22998296 134.77001704] ; [158.77001704 135.22998296],1
s2,1,0.0,71.734867,[111 191] ; [216  88],[162.96039604 139.03960396] ; [164.03960396 139.96039604],1
s3,1,0.0,60.890417,[130 170] ; [226  77],[177.11442786 122.88557214] ; [178.88557214 124.11442786],1
s6,1,0.0,56.63325,[174 124] ; [261  43],[215.33222591  82.66777409] ; [219.66777409  84.33222591],1
s5,1,1e-06,25.067005,[ 81 214] ; [139 154],[110.37414966 184.62585034] ; [109.62585034 183.37414966],1
d2,1,6e-06,20.558061,[126 178] ; [183 123],[153.99344262 150.00655738] ; [155.00655738 150.99344262],1
a3,1,5.9e-05,16.12121,[208  95] ; [252  53],[229.24342105  73.75657895] ; [230.75657895  74.24342105],1
p6,1,0.000119,14.813585,[ 97 204] ; [145 160],[120.20132013 180.79867987] ; [121.79867987 183.20132013],1
b3,1,0.000216,13.685555,[ 46 115] ; [ 98 108],[63.17166213 97.82833787] ; [ 80.82833787 125.17166213],1
b2,1,0.000216,13.685555,[ 46 115] ; [ 98 108],[63.17166213 97.82833787] ; [ 80.82833787 125.17166213],1
v1,1,0.000734,11.401721,[154 144] ; [194 103],[174.29243697 123.70756303] ; [173.70756303 123.29243697],1
u1,1,0.000782,11.284302,[ 47 258] ; [ 81 225],[ 63.89525368 241.10474632] ; [ 64.10474632 241.89525368],1
v3,1,0.001016,10.797713,[102 189] ; [142 151],[121.58219178 169.41780822] ; [122.41780822 170.58219178],0
p5,1,0.001447,10.145025,[ 26 278] ; [ 52 250],[ 39.12871287 264.87128713] ; [ 38.87128713 263.12871287],0
d1,1,0.00169,9.859053,[175 130] ; [213  93],[193.68248773 111.31751227] ; [194.31751227 111.68248773],0
a5,1,0.001975,9.572483,[225  80] ; [257  49],[240.60556465  64.39443535] ; [241.39443535  64.60556465],0
p3,1,0.002081,9.477053,[143 161] ; [182 124],[161.96721311 142.03278689] ; [163.03278689 142.96721311],0
p4,1,0.00216,9.408573,[176 128] ; [213  92],[194.18062397 109.81937603] ; [194.81937603 110.18062397],0
u4,1,0.002418,9.201749,[  2 303] ; [ 14 292],[  7.98690671 297.01309329] ; [  8.01309329 297.98690671],0
n4,1,0.002542,9.109916,[228  77] ; [258  47],[243.  62.] ; [243.  62.],0
