Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,64.559106,[253  20] ; [47 37],[229.41176471  43.58823529] ; [70.58823529 13.41176471],1
r2,1,1e-06,23.910499,[257  13] ; [62 18],[246.08571429  23.91428571] ; [72.91428571  7.08571429],1
v4,1,2e-06,22.560823,[255  16] ; [64 20],[243.51830986  27.48169014] ; [75.48169014  8.51830986],1
s6,1,0.000575,11.855956,[171  96] ; [36 48],[157.46153846 109.53846154] ; [49.53846154 34.46153846],1
s3,1,0.00076,11.336005,[156 114] ; [30 52],[142.67045455 127.32954545] ; [43.32954545 38.67045455],1
p2,1,0.000942,10.937642,[214  59] ; [50 33],[202.4494382  70.5505618] ; [61.5505618 21.4494382],1
r3,1,0.001183,10.516711,[255  15] ; [70 14],[247.88135593  22.11864407] ; [77.11864407  6.88135593],0
v2,1,0.006152,7.505281,[122 141] ; [24 58],[111.29855072 151.70144928] ; [34.70144928 47.29855072],0
a1,1,0.006589,7.381807,[  9 264] ; [ 9 75],[ 13.76470588 259.23529412] ; [ 4.23529412 79.76470588],0
s7,1,0.007365,7.181725,[123 139] ; [24 56],[112.61403509 149.38596491] ; [34.38596491 45.61403509],0
u1,1,0.008099,7.011423,[ 53 220] ; [ 6 78],[ 45.11764706 227.88235294] ; [13.88235294 70.11764706],0
a7,1,0.009544,6.718022,[211  62] ; [53 31],[201.88235294  71.11764706] ; [62.11764706 21.88235294],0
a5,1,0.015791,5.825946,[203  70] ; [51 33],[194.23529412  78.76470588] ; [59.76470588 24.23529412],0
p7,1,0.022042,5.24246,[154 113] ; [35 46],[145.00862069 121.99137931] ; [43.99137931 37.00862069],0
s8,1,0.030489,4.681519,[103 169] ; [21 63],[ 94.74157303 177.25842697] ; [29.25842697 54.74157303],0
n4,1,0.034115,4.488954,[201  71] ; [52 32],[193.30337079  78.69662921] ; [59.69662921 24.30337079],0
p8,1,0.034439,4.472765,[125 146] ; [27 55],[116.69121813 154.30878187] ; [35.30878187 46.69121813],0
a2,1,0.035475,4.422148,[ 69 204] ; [12 72],[ 61.94117647 211.05882353] ; [19.05882353 64.94117647],0
s2,1,0.040456,4.198671,[128 143] ; [29 55],[119.85070423 151.14929577] ; [37.14929577 46.85070423],0
d1,1,0.047163,3.939547,[185  88] ; [47 37],[177.41176471  95.58823529] ; [54.58823529 29.41176471],0
p10,1,0.04801,3.909634,[206  65] ; [54 29],[199.03954802  71.96045198] ; [60.96045198 22.03954802],0
d5,1,0.052334,3.765053,[238  35] ; [66 18],[232.47058824  40.52941176] ; [71.52941176 12.47058824],0
a6,1,0.07402,3.191534,[191  82] ; [50 34],[184.29411765  88.70588235] ; [56.70588235 27.29411765],0
u3,1,0.081311,3.038503,[44 29] ; [11 16],[40.15 32.85] ; [14.85 12.15],0
b2,1,0.081466,3.035413,[ 46 106] ; [23 30],[ 51.16097561 100.83902439] ; [17.83902439 35.16097561],0
b3,1,0.081466,3.035413,[ 46 106] ; [23 30],[ 51.16097561 100.83902439] ; [17.83902439 35.16097561],0
p1,1,0.098555,2.728778,[ 15 256] ; [ 9 75],[ 18.32112676 252.67887324] ; [ 5.67887324 78.32112676],0
n2,1,0.099162,2.718964,[47 28] ; [26  7],[50.69444444 24.30555556] ; [22.30555556 10.69444444],0
p4,1,0.102617,2.664397,[141 128] ; [35 48],[134.5 134.5] ; [41.5 41.5],0
d3,1,0.123577,2.37139,[214  59] ; [59 25],[208.76470588  64.23529412] ; [64.23529412 19.76470588],0
s4,1,0.126709,2.332373,[ 47 222] ; [21 63],[ 51.81869688 217.18130312] ; [16.18130312 67.81869688],0
p3,1,0.186424,1.745651,[113 160] ; [28 56],[107.82352941 165.17647059] ; [33.17647059 50.82352941],0
a4,1,0.22234,1.489201,[126 147] ; [32 51],[121.16292135 151.83707865] ; [36.83707865 46.16292135],0
s5,1,0.229293,1.445242,[ 76 189] ; [17 61],[ 71.85131195 193.14868805] ; [21.14868805 56.85131195],0
n6,1,0.253541,1.303685,[219  53] ; [62 21],[215.30140845  56.69859155] ; [65.69859155 17.30140845],0
u2,1,0.253813,1.302191,[45 27] ; [14 14],[42.48 29.52] ; [16.52 11.48],0
a3,1,0.299849,1.074865,[198  75] ; [56 28],[194.23529412  78.76470588] ; [59.76470588 24.23529412],0
p11,1,0.299849,1.074865,[198  75] ; [56 28],[194.23529412  78.76470588] ; [59.76470588 24.23529412],0
p12,1,0.336169,0.924986,[ 13 258] ; [ 2 82],[ 11.45070423 259.54929577] ; [ 3.54929577 80.45070423],0
p9,1,0.345965,0.888202,[208  62] ; [59 23],[204.80113636  65.19886364] ; [62.19886364 19.80113636],0
v3,1,0.370293,0.802682,[ 75 191] ; [19 63],[ 71.85057471 194.14942529] ; [22.14942529 59.85057471],0
a8,1,0.387124,0.747958,[ 30 220] ; [ 7 75],[ 27.86144578 222.13855422] ; [ 9.13855422 72.86144578],0
d2,1,0.409895,0.679105,[144 129] ; [39 43],[140.72957746 132.27042254] ; [42.27042254 39.72957746],0
b5,1,0.459707,0.546607,[150 123] ; [50 34],[152.94117647 120.05882353] ; [47.05882353 36.94117647],0
n5,1,0.500989,0.452841,[173  96] ; [50 33],[170.41761364  98.58238636] ; [52.58238636 30.41761364],0
n1,1,0.518848,0.416184,[23 51] ; [12 20],[24.43396226 49.56603774] ; [10.56603774 21.43396226],0
p5,1,0.591514,0.287986,[ 21 252] ; [ 5 79],[ 19.88235294 253.11764706] ; [ 6.11764706 77.88235294],0
b1,1,0.674933,0.175886,[111 162] ; [32 52],[109.35294118 163.64705882] ; [33.64705882 50.35294118],0
u4,1,0.687674,0.161615,[  2 271] ; [ 1 83],[  2.29411765 270.70588235] ; [ 0.70588235 83.29411765],0
s1,1,0.747493,0.103649,[ 12 259] ; [ 3 80],[ 11.48305085 259.51694915] ; [ 3.51694915 79.48305085],0
b4,1,0.822434,0.050362,[162 111] ; [51 33],[162.88235294 110.11764706] ; [50.11764706 33.88235294],0
n3,1,0.926908,0.008416,[50 24] ; [22 11],[49.79439252 24.20560748] ; [22.20560748 10.79439252],0
p6,1,0.973401,0.001112,[ 77 196] ; [23 58],[ 77.11864407 195.88135593] ; [22.88135593 58.11864407],0
