Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,56.148651,[175   9] ; [42 31],[155.3618677  28.6381323] ; [61.6381323 11.3618677],1
r2,1,6e-06,20.369629,[175   6] ; [58 15],[166.03543307  14.96456693] ; [66.96456693  6.03543307],1
d4,1,0.000607,11.75437,[144  39] ; [42 31],[132.9609375  50.0390625] ; [53.0390625 19.9609375],1
r3,1,0.000893,11.038086,[174   9] ; [60 13],[167.2734375  15.7265625] ; [66.7265625  6.2734375],1
s8,1,0.001063,10.713792,[96 86] ; [22 51],[84.21960784 97.78039216] ; [33.78039216 39.21960784],0
v1,1,0.001092,10.664512,[104  75] ; [25 46],[92.364 86.636] ; [36.636 34.364],0
n4,1,0.001371,10.245036,[147  35] ; [45 28],[137.03529412  44.96470588] ; [54.96470588 18.03529412],0
a5,1,0.001941,9.604553,[133  51] ; [38 35],[122.42801556  61.57198444] ; [48.57198444 24.42801556],0
p10,1,0.002031,9.521351,[141  38] ; [43 29],[131.21912351  47.78087649] ; [52.78087649 19.21912351],0
d5,1,0.003626,8.462139,[143  40] ; [44 29],[133.67578125  49.32421875] ; [53.32421875 19.67578125],0
b2,1,0.004215,8.189004,[59 61] ; [11 34],[50.90909091 69.09090909] ; [19.09090909 25.90909091],0
b3,1,0.004215,8.189004,[59 61] ; [11 34],[50.90909091 69.09090909] ; [19.09090909 25.90909091],0
s6,1,0.004961,7.893712,[121  56] ; [35 36],[111.33870968  65.66129032] ; [44.66129032 26.33870968],0
v3,1,0.005281,7.7805,[77 98] ; [18 54],[ 67.30769231 107.69230769] ; [27.69230769 44.30769231],0
p11,1,0.009272,6.769578,[149  35] ; [48 25],[141.04280156  42.95719844] ; [55.95719844 17.04280156],0
s5,1,0.014237,6.008569,[ 74 100] ; [18 52],[ 65.60655738 108.39344262] ; [26.39344262 43.60655738],0
s7,1,0.017566,5.638964,[96 80] ; [26 43],[87.64081633 88.35918367] ; [34.35918367 34.64081633],0
d1,1,0.018067,5.589683,[93 91] ; [25 48],[84.48249027 99.51750973] ; [33.51750973 39.48249027],0
a3,1,0.019195,5.483628,[135  49] ; [42 30],[127.21875  56.78125] ; [49.78125 22.21875],0
p3,1,0.022565,5.201647,[92 90] ; [25 47],[83.83464567 98.16535433] ; [33.16535433 38.83464567],0
d3,1,0.042821,4.102436,[86 98] ; [24 49],[ 78.75486381 105.24513619] ; [31.24513619 41.75486381],0
v2,1,0.068647,3.315082,[91 86] ; [27 43],[84.55870445 92.44129555] ; [33.44129555 36.55870445],0
s3,1,0.091108,2.854686,[106  76] ; [33 38],[99.99209486 82.00790514] ; [39.00790514 31.99209486],0
p7,1,0.093352,2.815599,[116  61] ; [39 33],[110.18072289  66.81927711] ; [44.81927711 27.18072289],0
p1,1,0.123579,2.371365,[ 10 172] ; [ 8 65],[ 12.84705882 169.15294118] ; [ 5.15294118 67.84705882],0
n6,1,0.168679,1.894648,[150  31] ; [55 18],[146.08267717  34.91732283] ; [58.91732283 14.08267717],0
p12,1,0.175188,1.837979,[ 13 166] ; [ 2 70],[ 10.69721116 168.30278884] ; [ 4.30278884 67.69721116],0
s2,1,0.198059,1.656629,[91 91] ; [30 43],[86.36078431 95.63921569] ; [34.63921569 38.36078431],0
a8,1,0.21394,1.544563,[ 23 154] ; [ 5 63],[ 20.22857143 156.77142857] ; [ 7.77142857 60.22857143],0
b1,1,0.228615,1.449457,[ 83 101] ; [39 34],[87.3463035 96.6536965] ; [34.6536965 38.3463035],0
p8,1,0.310107,1.03022,[90 90] ; [30 40],[86.4 93.6] ; [33.6 36.4],0
n5,1,0.315611,1.007047,[139  41] ; [52 21],[135.88932806  44.11067194] ; [55.11067194 17.88932806],0
a2,1,0.321075,0.984564,[ 17 167] ; [ 4 69],[ 15.03501946 168.96498054] ; [ 5.96498054 67.03501946],0
p2,1,0.349575,0.875,[140  40] ; [52 20],[137.14285714  42.85714286] ; [54.85714286 17.14285714],0
u3,1,0.368373,0.809145,[24 25] ; [12 19],[22.05 26.95] ; [13.95 17.05],0
a6,1,0.382348,0.763138,[ 79 105] ; [27 46],[ 75.89105058 108.10894942] ; [30.10894942 42.89105058],0
a4,1,0.388217,0.74452,[ 81 102] ; [28 45],[ 77.91796875 105.08203125] ; [31.08203125 41.91796875],0
a1,1,0.404786,0.694063,[ 10 174] ; [ 6 67],[ 11.45525292 172.54474708] ; [ 4.54474708 68.45525292],0
b5,1,0.419074,0.652911,[ 83 101] ; [37 36],[85.91439689 98.08560311] ; [34.08560311 38.91439689],0
u1,1,0.456965,0.553319,[ 12 172] ; [ 3 70],[ 10.73929961 173.26070039] ; [ 4.26070039 68.73929961],0
u2,1,0.494058,0.467676,[27 21] ; [15 16],[25.51898734 22.48101266] ; [16.48101266 14.51898734],0
p6,1,0.500233,0.454442,[ 64 114] ; [22 48],[ 61.72580645 116.27419355] ; [24.27419355 45.72580645],0
s1,1,0.528346,0.397571,[  8 172] ; [ 2 71],[  7.11462451 172.88537549] ; [ 2.88537549 70.11462451],0
p4,1,0.564102,0.332652,[96 84] ; [35 36],[93.94422311 86.05577689] ; [37.05577689 33.94422311],0
b4,1,0.568684,0.32489,[103  81] ; [38 35],[100.94941634  83.05058366] ; [40.05058366 32.94941634],0
n2,1,0.622998,0.241676,[36 10] ; [25  9],[35.075 10.925] ; [25.925  8.075],0
p5,1,0.623438,0.241065,[ 21 158] ; [ 7 66],[ 19.88888889 159.11111111] ; [ 8.11111111 64.88888889],0
p9,1,0.655335,0.19924,[144  36] ; [55 16],[142.70916335  37.29083665] ; [56.29083665 14.70916335],0
n1,1,0.657372,0.196732,[19 27] ; [12 21],[18.05063291 27.94936709] ; [12.94936709 20.05063291],0
s4,1,0.673716,0.177286,[ 34 148] ; [12 61],[ 32.83137255 149.16862745] ; [13.16862745 59.83137255],0
d2,1,0.714886,0.133445,[89 95] ; [33 39],[87.6875 96.3125] ; [34.3125 37.6875],0
n3,1,0.959976,0.002518,[30 14] ; [23 11],[29.8974359 14.1025641] ; [23.1025641 10.8974359],0
