Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,41.008674,[29 27] ; [143  14],[45.22065728 10.77934272] ; [126.77934272  30.22065728],1
r2,1,0.000488,12.160609,[42 13] ; [144  10],[48.94736842  6.05263158] ; [137.05263158  16.94736842],1
p10,1,0.000507,12.09013,[32 23] ; [125  28],[41.51442308 13.48557692] ; [115.48557692  37.51442308],1
v4,1,0.001244,10.424372,[42 14] ; [144  13],[48.90140845  7.09859155] ; [137.09859155  19.90140845],0
p1,1,0.005116,7.838086,[ 9 47] ; [  7 148],[ 4.2464455 51.7535545] ; [ 11.7535545 143.2464455],0
p2,1,0.00666,7.362535,[33 21] ; [122  31],[40.43478261 13.56521739] ; [114.56521739  38.43478261],0
s8,1,0.009731,6.683408,[18 38] ; [81 74],[26.27488152 29.72511848] ; [72.72511848 82.27488152],0
p8,1,0.011067,6.454455,[17 36] ; [80 73],[24.95631068 28.04368932] ; [72.04368932 80.95631068],0
r3,1,0.011941,6.319635,[46 10] ; [146  10],[50.71698113  5.28301887] ; [141.28301887  14.71698113],0
b3,1,0.018588,5.539832,[13 28] ; [54 47],[19.34507042 21.65492958] ; [47.65492958 53.34507042],0
b2,1,0.018588,5.539832,[13 28] ; [54 47],[19.34507042 21.65492958] ; [47.65492958 53.34507042],0
p7,1,0.030991,4.653452,[28 27] ; [101  49],[34.6097561 20.3902439] ; [94.3902439 55.6097561],0
v1,1,0.031994,4.598813,[23 31] ; [91 62],[29.73913043 24.26086957] ; [84.26086957 68.73913043],0
n4,1,0.035648,4.413869,[37 19] ; [124  31],[42.72985782 13.27014218] ; [118.27014218  36.72985782],0
p11,1,0.037876,4.310603,[36 20] ; [123  34],[41.8028169 14.1971831] ; [117.1971831  39.8028169],0
v2,1,0.050425,3.82726,[22 32] ; [86 67],[28.17391304 25.82608696] ; [79.82608696 73.17391304],0
s5,1,0.079212,3.08099,[16 36] ; [67 83],[21.36633663 30.63366337] ; [61.63366337 88.36633663],0
a5,1,0.085722,2.952924,[37 19] ; [122  35],[41.8028169 14.1971831] ; [117.1971831  39.8028169],0
s3,1,0.089087,2.890792,[25 29] ; [93 63],[30.34285714 23.65714286] ; [87.65714286 68.34285714],0
s7,1,0.08933,2.886399,[23 31] ; [83 65],[28.33663366 25.66336634] ; [77.66336634 70.33663366],0
a8,1,0.127243,2.325817,[ 2 52] ; [ 16 136],[ 4.7184466 49.2815534] ; [ 13.2815534 138.7184466],0
s6,1,0.132463,2.263394,[30 25] ; [99 51],[34.6097561 20.3902439] ; [94.3902439 55.6097561],0
p9,1,0.172088,1.864661,[41 14] ; [127  26],[44.42307692 10.57692308] ; [123.57692308  29.42307692],0
n6,1,0.235792,1.405577,[42 14] ; [126  27],[45.01435407 10.98564593] ; [122.98564593  30.01435407],0
d5,1,0.239875,1.381327,[44 12] ; [134  23],[46.79812207  9.20187793] ; [131.20187793  25.79812207],0
v3,1,0.243951,1.357616,[18 36] ; [64 87],[21.6 32.4] ; [60.4 90.6],0
n5,1,0.247117,1.339529,[38 18] ; [116  37],[41.26315789 14.73684211] ; [112.73684211  40.26315789],0
a1,1,0.289577,1.121586,[ 6 50] ; [ 10 147],[ 4.20657277 51.79342723] ; [ 11.79342723 145.20657277],0
d2,1,0.293505,1.103473,[33 21] ; [83 74],[29.68720379 24.31279621] ; [86.31279621 70.68720379],0
u2,1,0.305749,1.048951,[7 9] ; [19 13],[8.66666667 7.33333333] ; [17.33333333 14.66666667],0
a3,1,0.340262,0.909444,[40 15] ; [124  33],[42.54716981 12.45283019] ; [121.45283019  35.54716981],0
b5,1,0.353705,0.86012,[29 27] ; [70 87],[26.02816901 29.97183099] ; [72.97183099 84.02816901],0
n3,1,0.355943,0.852158,[12 10] ; [24 12],[13.65517241  8.34482759] ; [22.34482759 13.65517241],0
s1,1,0.359179,0.840763,[ 1 55] ; [  7 148],[ 2.12322275 53.87677725] ; [  5.87677725 149.12322275],0
n1,1,0.360614,0.835755,[11 11] ; [14 23],[ 9.3220339 12.6779661] ; [15.6779661 21.3220339],0
b1,1,0.363066,0.827261,[30 26] ; [73 84],[27.07981221 28.92018779] ; [75.92018779 81.07981221],0
p5,1,0.474539,0.511387,[ 5 51] ; [ 19 133],[ 6.46153846 49.53846154] ; [ 17.53846154 134.46153846],0
p6,1,0.513605,0.426715,[16 36] ; [54 97],[17.93103448 34.06896552] ; [52.06896552 98.93103448],0
s2,1,0.533206,0.388278,[26 30] ; [80 76],[28. 28.] ; [78. 78.],0
b4,1,0.538321,0.378661,[28 28] ; [86 71],[29.97183099 26.02816901] ; [84.02816901 72.97183099],0
