Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,102.410045,[70 35] ; [460  14],[96.11398964  8.88601036] ; [433.88601036  40.11398964],1
r2,1,0.0,44.972411,[83 19] ; [461  11],[96.66898955  5.33101045] ; [447.33101045  24.66898955],1
a5,1,2e-06,22.207351,[60 45] ; [375  99],[78.88601036 26.11398964] ; [356.11398964 117.88601036],1
d1,1,3e-06,22.022796,[42 63] ; [307 167],[63.29015544 41.70984456] ; [285.70984456 188.29015544],1
u1,1,2.1e-05,18.073672,[  5 100] ; [109 365],[20.67357513 84.32642487] ; [ 93.32642487 380.67357513],1
a2,1,2.7e-05,17.634756,[10 95] ; [139 335],[27.02072539 77.97927461] ; [121.97927461 352.02072539],1
v4,1,7.1e-05,15.775957,[93 11] ; [461  11],[100.02777778   3.97222222] ; [453.97222222  18.02777778],1
r3,1,7.3e-05,15.731781,[92 12] ; [457  13],[99.47038328  4.52961672] ; [449.52961672  20.47038328],1
d4,1,0.000115,14.872636,[73 32] ; [402  69],[86.58854167 18.41145833] ; [388.41145833  82.58854167],1
d3,1,0.000148,14.398598,[56 48] ; [345 129],[72.15224913 31.84775087] ; [328.84775087 145.15224913],1
a3,1,0.000172,14.118764,[62 43] ; [363 109],[77.33968804 27.66031196] ; [347.66031196 124.33968804],1
d2,1,0.000172,14.114129,[35 70] ; [253 219],[52.40901213 52.59098787] ; [235.59098787 236.40901213],1
d5,1,0.000272,13.256607,[75 30] ; [407  66],[87.56055363 17.43944637] ; [394.43944637  78.56055363],1
a7,1,0.001011,10.806933,[61 44] ; [350 122],[74.79202773 30.20797227] ; [336.20797227 135.79202773],0
u3,1,0.001362,10.257088,[14 29] ; [68 43],[22.8961039 20.1038961] ; [59.1038961 51.8961039],0
a4,1,0.001397,10.210201,[34 71] ; [234 238],[48.7694974 56.2305026] ; [219.2305026 252.7694974],0
v2,1,0.00157,9.994262,[46 58] ; [279 177],[60.35714286 43.64285714] ; [264.64285714 191.35714286],0
p7,1,0.001905,9.638579,[59 44] ; [337 126],[72.06360424 30.93639576] ; [323.93639576 139.06360424],0
s8,1,0.002936,8.84684,[36 69] ; [236 233],[49.75609756 55.24390244] ; [222.24390244 246.75609756],0
