Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.702855,[40 12] ; [252  10],[48.3566879  3.6433121] ; [243.6433121  18.3566879],1
a5,1,5.6e-05,16.227012,[28 24] ; [209  52],[39.37380192 12.62619808] ; [197.62619808  63.37380192],1
v4,1,0.000179,14.036454,[46  6] ; [257   4],[50.33865815  1.66134185] ; [252.66134185   8.33865815],1
u1,1,0.000751,11.359773,[ 2 50] ; [ 65 197],[11.0955414 40.9044586] ; [ 55.9044586 206.0955414],1
r2,1,0.001628,9.927686,[46  6] ; [253   6],[49.99356913  2.00643087] ; [249.00643087   9.99356913],0
a6,1,0.001931,9.614341,[26 26] ; [187  73],[35.5 16.5] ; [177.5  82.5],0
a2,1,0.003756,8.398157,[ 6 46] ; [ 82 180],[14.57324841 37.42675159] ; [ 73.42675159 188.57324841],0
n5,1,0.007292,7.199538,[39 13] ; [232  29],[45.02236422  6.97763578] ; [225.97763578  35.02236422],0
s5,1,0.008893,6.844197,[11 37] ; [109 144],[19.13621262 28.86378738] ; [100.86378738 152.13621262],0
u3,1,0.013646,6.0834,[ 4 10] ; [37 20],[8.08450704 5.91549296] ; [32.91549296 24.08450704],0
a4,1,0.017203,5.67553,[17 35] ; [132 128],[24.83333333 27.16666667] ; [124.16666667 135.83333333],0
p4,1,0.022235,5.227268,[26 25] ; [174  83],[33.11688312 17.88311688] ; [166.88311688  90.11688312],0
d2,1,0.047252,3.936394,[22 30] ; [149 111],[28.5 23.5] ; [142.5 117.5],0
s8,1,0.055531,3.666073,[22 30] ; [146 111],[28.27184466 23.72815534] ; [139.72815534 117.27184466],0
p12,1,0.092547,2.829506,[ 3 49] ; [ 37 221],[ 6.70967742 45.29032258] ; [ 33.29032258 224.70967742],0
s7,1,0.129751,2.295476,[26 25] ; [151  91],[30.80887372 20.19112628] ; [146.19112628  95.80887372],0
d1,1,0.142522,2.150513,[29 23] ; [174  88],[33.61783439 18.38216561] ; [169.38216561  92.61783439],0
a7,1,0.14818,2.090885,[33 19] ; [190  69],[37.28617363 14.71382637] ; [185.71382637  73.28617363],0
n2,1,0.154161,2.03059,[11  6] ; [36  8],[13.09836066  3.90163934] ; [33.90163934 10.09836066],0
b2,1,0.170784,1.876047,[16 15] ; [ 67 107],[12.55121951 18.44878049] ; [ 70.44878049 103.55121951],0
b3,1,0.170784,1.876047,[16 15] ; [ 67 107],[12.55121951 18.44878049] ; [ 70.44878049 103.55121951],0
p6,1,0.19539,1.676503,[24 25] ; [100 156],[19.92131148 29.07868852] ; [104.07868852 151.92131148],0
v2,1,0.213384,1.548318,[37 14] ; [208  51],[40.30645161 10.69354839] ; [204.69354839  54.30645161],0
s2,1,0.216012,1.530667,[25 27] ; [147 109],[29.03896104 22.96103896] ; [142.96103896 113.03896104],0
p10,1,0.229112,1.446365,[42 10] ; [223  33],[44.74025974  7.25974026] ; [220.25974026  35.74025974],0
s3,1,0.237458,1.395623,[26 25] ; [151 101],[29.79207921 21.20792079] ; [147.20792079 104.79207921],0
p3,1,0.28997,1.11976,[27 25] ; [155 104],[30.43086817 21.56913183] ; [151.56913183 107.43086817],0
a8,1,0.290925,1.115334,[ 5 44] ; [ 37 192],[ 7.4028777 41.5971223] ; [ 34.5971223 194.4028777],0
p7,1,0.325495,0.966737,[33 18] ; [179  71],[35.92026578 15.07973422] ; [176.07973422  73.92026578],0
a3,1,0.333546,0.93508,[38 14] ; [205  54],[40.63022508 11.36977492] ; [202.36977492  56.63022508],0
b5,1,0.348329,0.879536,[34 18] ; [153 109],[30.96815287 21.03184713] ; [156.03184713 105.96815287],0
b1,1,0.363406,0.826089,[16 36] ; [ 98 164],[18.87898089 33.12101911] ; [ 95.12101911 166.87898089],0
p5,1,0.381749,0.765061,[ 7 45] ; [ 48 211],[ 9.19614148 42.80385852] ; [ 45.80385852 213.19614148],0
v1,1,0.403635,0.697472,[32 19] ; [178  81],[34.5483871 16.4516129] ; [175.4516129  83.5483871],0
p2,1,0.406301,0.6896,[42 10] ; [221  38],[43.97427653  8.02572347] ; [219.02572347  39.97427653],0
p11,1,0.407853,0.685051,[41 11] ; [219  43],[43.05732484  8.94267516] ; [216.94267516  45.05732484],0
d4,1,0.4304,0.621743,[46  6] ; [218  41],[44.1414791  7.8585209] ; [219.8585209  39.1414791],0
u2,1,0.441873,0.591415,[6 7] ; [33 24],[7.24285714 5.75714286] ; [31.75714286 25.24285714],0
p8,1,0.48048,0.497773,[27 23] ; [152 104],[29.24836601 20.75163399] ; [149.75163399 106.24836601],0
n4,1,0.484379,0.488989,[44  8] ; [230  31],[45.52076677  6.47923323] ; [228.47923323  32.52076677],0
b4,1,0.49245,0.471168,[34 18] ; [158 104],[31.79617834 20.20382166] ; [160.20382166 101.79617834],0
s4,1,0.565539,0.330204,[ 8 44] ; [ 32 225],[ 6.73139159 45.26860841] ; [ 33.26860841 223.73139159],0
