Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.0,38.109373,[16 64] ; [45 18],[34.12587413 45.87412587] ; [26.87412587 36.12587413],1
v3,1,0.0,29.155428,[ 9 73] ; [34 32],[23.82432432 58.17567568] ; [19.17567568 46.82432432],1
d1,1,2.7e-05,17.59572,[22 61] ; [40 26],[34.53691275 48.46308725] ; [27.46308725 38.53691275],1
d3,1,0.00156,10.005871,[35 48] ; [45 21],[44.56375839 38.43624161] ; [35.43624161 30.56375839],0
d4,1,0.004074,8.25037,[53 30] ; [56 10],[60.71812081 22.28187919] ; [48.28187919 17.71812081],0
d5,1,0.008181,6.993353,[53 30] ; [55 11],[60.16107383 22.83892617] ; [47.83892617 18.16107383],0
a3,1,0.00928,6.768058,[43 40] ; [48 18],[50.69127517 32.30872483] ; [40.30872483 25.69127517],0
n4,1,0.010381,6.568348,[49 34] ; [52 14],[56.26174497 26.73825503] ; [44.73825503 21.26174497],0
p6,1,0.013215,6.140161,[22 60] ; [29 33],[29.04166667 52.95833333] ; [21.95833333 40.04166667],0
d2,1,0.04413,4.051597,[23 59] ; [29 37],[28.81081081 53.18918919] ; [23.18918919 42.81081081],0
s6,1,0.05178,3.782873,[42 41] ; [42 21],[47.75342466 35.24657534] ; [36.24657534 26.75342466],0
b1,1,0.085722,2.952926,[24 59] ; [28 38],[28.96644295 54.03355705] ; [23.03355705 42.96644295],0
p7,1,0.099437,2.714547,[39 40] ; [41 24],[43.88888889 35.11111111] ; [36.11111111 28.88888889],0
a2,1,0.103734,2.647174,[ 4 79] ; [ 8 58],[ 6.68456376 76.31543624] ; [ 5.31543624 60.68456376],0
s8,1,0.125357,2.349085,[24 59] ; [27 39],[28.40939597 54.59060403] ; [22.59060403 43.40939597],0
s4,1,0.150848,2.063653,[19 64] ; [ 9 57],[15.59731544 67.40268456] ; [12.40268456 53.59731544],0
s2,1,0.1717,1.868035,[31 52] ; [32 34],[35.09395973 47.90604027] ; [27.90604027 38.09395973],0
s7,1,0.185432,1.75354,[29 52] ; [29 33],[32.85314685 48.14685315] ; [25.14685315 36.85314685],0
a4,1,0.20444,1.61037,[21 62] ; [23 43],[24.51006711 58.48993289] ; [19.48993289 46.51006711],0
p3,1,0.249204,1.327763,[33 50] ; [32 33],[36.4527027 46.5472973] ; [28.5472973 36.4527027],0
r3,1,0.255504,1.292957,[71 11] ; [61  5],[73.13513514  8.86486486] ; [58.86486486  7.13513514],0
p12,1,0.28429,1.146469,[ 3 79] ; [ 5 60],[ 4.46258503 77.53741497] ; [ 3.53741497 61.46258503],0
