Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000848,11.134118,[36 12] ; [14 22],[28.57142857 19.42857143] ; [21.42857143 14.57142857],1
p7,1,0.002225,9.354085,[34 14] ; [13 22],[27.18072289 20.81927711] ; [19.81927711 15.18072289],0
s7,1,0.009734,6.682889,[25 20] ; [ 9 25],[19.36708861 25.63291139] ; [14.63291139 19.36708861],0
p2,1,0.010475,6.552227,[42  6] ; [23 13],[37.14285714 10.85714286] ; [27.85714286  8.14285714],0
d5,1,0.0109,6.481481,[41  7] ; [22 14],[36. 12.] ; [27.  9.],0
s8,1,0.015732,5.832623,[23 25] ; [ 8 28],[17.71428571 30.28571429] ; [13.28571429 22.71428571],0
n6,1,0.021288,5.30303,[42  6] ; [24 12],[37.71428571 10.28571429] ; [28.28571429  7.71428571],0
d1,1,0.030995,4.653249,[26 22] ; [11 25],[21.14285714 26.85714286] ; [15.85714286 20.14285714],0
r3,1,0.066073,3.377987,[43  5] ; [26  9],[39.90361446  8.09638554] ; [29.09638554  5.90361446],0
a1,1,0.083525,2.994937,[ 1 47] ; [ 4 32],[ 2.85714286 45.14285714] ; [ 2.14285714 33.85714286],0
r4,1,0.089681,2.880097,[34 14] ; [19 17],[30.28571429 17.71428571] ; [22.71428571 13.28571429],0
n1,1,0.107364,2.592596,[7 4] ; [4 9],[5.04166667 5.95833333] ; [5.95833333 7.04166667],0
p6,1,0.114683,2.488477,[20 27] ; [ 9 26],[16.62195122 30.37804878] ; [12.37804878 22.62195122],0
r2,1,0.133588,2.250303,[41  6] ; [26  9],[38.40243902  8.59756098] ; [28.59756098  6.40243902],0
s3,1,0.146342,2.109972,[29 19] ; [16 20],[25.71428571 22.28571429] ; [19.28571429 16.71428571],0
a5,1,0.162776,1.948246,[30 18] ; [17 19],[26.85714286 21.14285714] ; [20.14285714 15.85714286],0
b4,1,0.179712,1.8,[25 23] ; [24 12],[28. 20.] ; [21. 15.],0
p11,1,0.197232,1.662757,[38 10] ; [24 12],[35.42857143 12.57142857] ; [26.57142857  9.42857143],0
v2,1,0.20244,1.62468,[32 15] ; [19 16],[29.23170732 17.76829268] ; [21.76829268 13.23170732],0
d4,1,0.208693,1.580469,[39  9] ; [25 11],[36.57142857 11.42857143] ; [27.42857143  8.57142857],0
s6,1,0.209774,1.572984,[34 12] ; [20 13],[31.44303797 14.55696203] ; [22.55696203 10.44303797],0
b5,1,0.21491,1.53804,[33 15] ; [20 16],[30.28571429 17.71428571] ; [22.71428571 13.28571429],0
p9,1,0.241947,1.369213,[43  5] ; [29  7],[41.14285714  6.85714286] ; [30.85714286  5.14285714],0
d2,1,0.260079,1.268339,[19 29] ; [10 26],[16.57142857 31.42857143] ; [12.42857143 23.57142857],0
d3,1,0.27533,1.19,[31 17] ; [19 17],[28.57142857 19.42857143] ; [21.42857143 14.57142857],0
s5,1,0.279264,1.17067,[16 27] ; [ 9 26],[13.78205128 29.21794872] ; [11.21794872 23.78205128],0
p5,1,0.33809,0.91766,[ 9 39] ; [ 4 32],[ 7.42857143 40.57142857] ; [ 5.57142857 30.42857143],0
u2,1,0.347329,0.883191,[ 8 10] ; [8 5],[9.29032258 8.70967742] ; [6.70967742 6.29032258],0
a4,1,0.349575,0.875,[18 30] ; [10 26],[16. 32.] ; [12. 24.],0
v4,1,0.372134,0.796527,[43  5] ; [29  6],[41.63855422  6.36144578] ; [30.36144578  4.63855422],0
n5,1,0.430688,0.620968,[37 11] ; [25 11],[35.42857143 12.57142857] ; [26.57142857  9.42857143],0
s1,1,0.459597,0.546875,[ 3 45] ; [ 1 35],[ 2.28571429 45.71428571] ; [ 1.71428571 34.28571429],0
a8,1,0.471934,0.517445,[ 3 42] ; [ 1 32],[ 2.30769231 42.69230769] ; [ 1.69230769 31.30769231],0
p8,1,0.519651,0.414585,[24 24] ; [15 20],[22.55421687 25.44578313] ; [16.44578313 18.55421687],0
n4,1,0.535254,0.384407,[35 13] ; [24 12],[33.71428571 14.28571429] ; [25.28571429 10.71428571],0
v3,1,0.538894,0.377593,[22 25] ; [14 21],[20.63414634 26.36585366] ; [15.36585366 19.63414634],0
a2,1,0.541193,0.373333,[ 6 42] ; [ 3 33],[ 5.14285714 42.85714286] ; [ 3.85714286 32.14285714],0
p10,1,0.551654,0.354363,[39  8] ; [28  8],[37.93975904  9.06024096] ; [29.06024096  6.93975904],0
s4,1,0.630327,0.231618,[10 38] ; [ 6 30],[ 9.14285714 38.85714286] ; [ 6.85714286 29.14285714],0
b1,1,0.705138,0.143182,[22 26] ; [18 18],[22.85714286 25.14285714] ; [17.14285714 18.85714286],0
s2,1,0.705138,0.143182,[26 22] ; [18 18],[25.14285714 22.85714286] ; [18.85714286 17.14285714],0
a7,1,0.74415,0.106512,[31 17] ; [22 14],[30.28571429 17.71428571] ; [22.71428571 13.28571429],0
a3,1,0.745714,0.105168,[29 19] ; [23 13],[29.71428571 18.28571429] ; [22.28571429 13.71428571],0
n2,1,0.768589,0.086566,[9 2] ; [10  3],[8.70833333 2.29166667] ; [10.29166667  2.70833333],0
a6,1,0.850065,0.035735,[25 23] ; [18 18],[24.57142857 23.42857143] ; [18.42857143 17.57142857],0
u1,1,0.894097,0.017722,[ 3 45] ; [ 2 34],[ 2.85714286 45.14285714] ; [ 2.14285714 33.85714286],0
p12,1,0.894097,0.017722,[ 3 45] ; [ 2 34],[ 2.85714286 45.14285714] ; [ 2.14285714 33.85714286],0
n3,1,0.915759,0.011189,[7 4] ; [8 5],[6.875 4.125] ; [8.125 4.875],0
b2,1,0.940505,0.00557,[11 21] ; [ 6 12],[10.88 21.12] ; [ 6.12 11.88],0
b3,1,0.940505,0.00557,[11 21] ; [ 6 12],[10.88 21.12] ; [ 6.12 11.88],0
u3,1,0.946088,0.004573,[10  9] ; [7 6],[10.09375  8.90625] ; [6.90625 6.09375],0
p1,1,1.0,0.0,[ 4 44] ; [ 3 33],[ 4. 44.] ; [ 3. 33.],0
