Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.004613,8.025124,[8 2] ; [2 9],[4.76190476 5.23809524] ; [5.23809524 5.76190476],0
d3,1,0.011477,6.389948,[9 1] ; [4 7],[6.19047619 3.80952381] ; [6.80952381 4.19047619],0
d5,1,0.030564,4.677273,[9 1] ; [5 6],[6.66666667 3.33333333] ; [7.33333333 3.66666667],0
p8,1,0.096731,2.758636,[6 4] ; [10  1],[7.61904762 2.38095238] ; [8.38095238 2.61904762],0
b1,1,0.130134,2.290909,[6 4] ; [3 8],[4.28571429 5.71428571] ; [4.71428571 6.28571429],0
s2,1,0.130134,2.290909,[6 4] ; [3 8],[4.28571429 5.71428571] ; [4.71428571 6.28571429],0
p3,1,0.216522,1.527273,[8 2] ; [6 5],[6.66666667 3.33333333] ; [7.33333333 3.66666667],0
s7,1,0.245084,1.351111,[3 6] ; [6 4],[4.26315789 4.73684211] ; [4.73684211 5.26315789],0
s5,1,0.245084,1.351111,[6 3] ; [4 6],[4.73684211 4.26315789] ; [5.26315789 4.73684211],0
p12,1,0.263552,1.25,[1 9] ; [3 7],[2. 8.] ; [2. 8.],0
s6,1,0.269004,1.221818,[6 4] ; [9 2],[7.14285714 2.85714286] ; [7.85714286 3.14285714],0
n2,1,0.270289,1.215278,[1 2] ; [3 1],[1.71428571 1.28571429] ; [2.28571429 1.71428571],0
n3,1,0.270289,1.215278,[1 2] ; [3 1],[1.71428571 1.28571429] ; [2.28571429 1.71428571],0
b5,1,0.27874,1.173223,[4 6] ; [7 4],[5.23809524 4.76190476] ; [5.76190476 5.23809524],0
b4,1,0.284117,1.14729,[5 5] ; [8 3],[6.19047619 3.80952381] ; [6.80952381 4.19047619],0
s3,1,0.284117,1.14729,[5 5] ; [3 8],[3.80952381 6.19047619] ; [4.19047619 6.80952381],0
n4,1,0.314065,1.013503,[9 1] ; [8 3],[8.0952381 1.9047619] ; [8.9047619 2.0952381],0
n5,1,0.314065,1.013503,[9 1] ; [8 3],[8.0952381 1.9047619] ; [8.9047619 2.0952381],0
p6,1,0.462527,0.539773,[3 6] ; [5 5],[3.78947368 5.21052632] ; [4.21052632 5.78947368],0
a4,1,0.525392,0.403295,[3 7] ; [2 9],[2.38095238 7.61904762] ; [2.61904762 8.38095238],0
v3,1,0.536632,0.381818,[4 6] ; [3 8],[3.33333333 6.66666667] ; [3.66666667 7.33333333],0
s8,1,0.536632,0.381818,[4 6] ; [3 8],[3.33333333 6.66666667] ; [3.66666667 7.33333333],0
p11,1,0.59256,0.286364,[9 1] ; [9 2],[8.57142857 1.42857143] ; [9.42857143 1.57142857],0
r2,1,0.605577,0.266667,[7 3] ; [8 2],[7.5 2.5] ; [7.5 2.5],0
v1,1,0.639207,0.21978,[7 3] ; [6 4],[6.5 3.5] ; [6.5 3.5],0
p2,1,0.659528,0.194098,[8 1] ; [9 2],[7.65 1.35] ; [9.35 1.65],0
n6,1,0.659528,0.194098,[8 1] ; [9 2],[7.65 1.35] ; [9.35 1.65],0
b3,1,0.740144,0.11,[3 2] ; [3 3],[2.72727273 2.27272727] ; [3.27272727 2.72727273],0
b2,1,0.740144,0.11,[3 2] ; [3 3],[2.72727273 2.27272727] ; [3.27272727 2.72727273],0
a6,1,0.800838,0.063636,[6 4] ; [6 5],[5.71428571 4.28571429] ; [6.28571429 4.71428571],0
a5,1,0.800838,0.063636,[6 4] ; [6 5],[5.71428571 4.28571429] ; [6.28571429 4.71428571],0
n1,1,0.80915,0.058333,[1 2] ; [1 3],[0.85714286 2.14285714] ; [1.14285714 2.85714286],0
v2,1,0.834996,0.043388,[5 5] ; [5 6],[4.76190476 5.23809524] ; [5.23809524 5.76190476],0
a7,1,0.863926,0.029371,[6 4] ; [7 4],[6.19047619 3.80952381] ; [6.80952381 4.19047619],0
p7,1,0.890106,0.019091,[7 3] ; [8 3],[7.14285714 2.85714286] ; [7.85714286 3.14285714],0
r4,1,0.890106,0.019091,[7 3] ; [8 3],[7.14285714 2.85714286] ; [7.85714286 3.14285714],0
a1,1,0.915605,0.01123,[2 8] ; [2 9],[1.9047619 8.0952381] ; [2.0952381 8.9047619],0
p1,1,0.943494,0.005024,[1 9] ; [ 1 10],[0.95238095 9.04761905] ; [1.04761905 9.95238095],0
r3,1,0.943494,0.005024,[9 1] ; [10  1],[9.04761905 0.95238095] ; [9.95238095 1.04761905],0
s1,1,0.943494,0.005024,[1 9] ; [ 1 10],[0.95238095 9.04761905] ; [1.04761905 9.95238095],0
p10,1,1.0,0.0,[9 1] ; [9 1],[9. 1.] ; [9. 1.],0
