Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,36.125,[41 13] ; [19 62],[24. 30.] ; [36. 45.],1
d4,1,0.0,35.54543,[53  2] ; [39 43],[36.93430657 18.06569343] ; [55.06569343 26.93430657],1
d5,1,0.0,33.440923,[53  2] ; [40 41],[37.61029412 17.38970588] ; [55.38970588 25.61029412],1
d3,1,0.0,29.45522,[44 11] ; [26 54],[28.51851852 26.48148148] ; [41.48148148 38.51851852],1
a5,1,0.0,25.568204,[43 12] ; [28 54],[28.50364964 26.49635036] ; [42.49635036 39.50364964],1
a4,1,1e-05,19.49319,[32 22] ; [18 64],[19.85294118 34.14705882] ; [30.14705882 51.85294118],1
a3,1,0.000579,11.840969,[45 10] ; [43 38],[35.58823529 19.41176471] ; [52.41176471 28.58823529],1
v2,1,0.002026,9.526253,[26 25] ; [20 61],[17.77272727 33.22727273] ; [28.22727273 52.77272727],0
a2,1,0.006221,7.48525,[12 43] ; [ 5 77],[ 6.82481752 48.17518248] ; [10.17518248 71.82481752],0
p1,1,0.049755,3.84969,[ 8 47] ; [ 4 78],[ 4.81751825 50.18248175] ; [ 7.18248175 74.81751825],0
s2,1,0.052677,3.754145,[25 30] ; [24 58],[19.67153285 35.32846715] ; [29.32846715 52.67153285],0
s8,1,0.057796,3.599529,[17 38] ; [14 68],[12.44525547 42.55474453] ; [18.55474453 63.44525547],0
p5,1,0.060618,3.520393,[ 4 50] ; [ 1 81],[ 1.98529412 52.01470588] ; [ 3.01470588 78.98529412],0
r3,1,0.076534,3.137003,[46  9] ; [57 24],[41.65441176 13.34558824] ; [61.34558824 19.65441176],0
u1,1,0.09312,2.819597,[ 6 49] ; [ 3 79],[ 3.61313869 51.38686131] ; [ 5.38686131 76.61313869],0
p4,1,0.115502,2.477278,[24 31] ; [25 57],[19.67153285 35.32846715] ; [29.32846715 52.67153285],0
s6,1,0.120825,2.406591,[27 27] ; [30 52],[22.63235294 31.36764706] ; [34.36764706 47.63235294],0
a6,1,0.130684,2.284363,[36 19] ; [43 39],[31.71532847 23.28467153] ; [47.28467153 34.71532847],0
p3,1,0.138901,2.190092,[21 33] ; [22 60],[17.07352941 36.92647059] ; [25.92647059 56.07352941],0
n3,1,0.184533,1.760731,[12 11] ; [21  9],[14.32075472  8.67924528] ; [18.67924528 11.32075472],0
a7,1,0.1974,1.661503,[34 21] ; [41 40],[30.33088235 24.66911765] ; [44.66911765 36.33088235],0
n4,1,0.210317,1.56924,[38 17] ; [48 34],[34.52554745 20.47445255] ; [51.47445255 30.52554745],0
n2,1,0.214387,1.541552,[14  9] ; [23  7],[16.05660377  6.94339623] ; [20.94339623  9.05660377],0
p7,1,0.23495,1.410639,[15 40] ; [30 51],[18.19852941 36.80147059] ; [26.80147059 54.19852941],0
s5,1,0.281521,1.159734,[13 36] ; [15 66],[10.55384615 38.44615385] ; [17.44615385 63.55384615],0
s7,1,0.289898,1.120094,[18 33] ; [21 58],[15.3 35.7] ; [23.7 55.3],0
r2,1,0.30023,1.073171,[40 10] ; [59 23],[37.5 12.5] ; [61.5 20.5],0
n6,1,0.319988,0.988995,[40 15] ; [53 29],[37.33576642 17.66423358] ; [55.66423358 26.33576642],0
s1,1,0.334495,0.931416,[ 2 52] ; [ 1 81],[ 1.19117647 52.80882353] ; [ 1.80882353 80.19117647],0
p11,1,0.34442,0.893908,[34 21] ; [44 38],[31.31386861 23.68613139] ; [46.68613139 35.31386861],0
p6,1,0.402772,0.700034,[13 40] ; [15 66],[11.07462687 41.92537313] ; [16.92537313 64.07462687],0
p10,1,0.430643,0.621089,[34 21] ; [44 36],[31.77777778 23.22222222] ; [46.22222222 33.77777778],0
u2,1,0.486126,0.485089,[3 7] ; [16 22],[3.95833333 6.04166667] ; [15.04166667 22.95833333],0
a8,1,0.488291,0.480289,[ 4 48] ; [ 9 70],[ 5.16030534 46.83969466] ; [ 7.83969466 71.16030534],0
s3,1,0.490203,0.476081,[25 30] ; [32 49],[23.05147059 31.94852941] ; [33.94852941 47.05147059],0
b5,1,0.500475,0.453929,[36 19] ; [49 33],[34.12408759 20.87591241] ; [50.87591241 31.12408759],0
v3,1,0.523199,0.407582,[13 38] ; [17 65],[11.5037594 39.4962406] ; [18.4962406 63.5037594],0
n5,1,0.527399,0.399401,[34 21] ; [55 27],[35.72992701 19.27007299] ; [53.27007299 28.72992701],0
p2,1,0.576613,0.311742,[31 23] ; [51 31],[32.55882353 21.44117647] ; [49.44117647 32.55882353],0
s4,1,0.639988,0.218757,[ 9 46] ; [16 66],[10.03649635 44.96350365] ; [14.96350365 67.03649635],0
u3,1,0.692747,0.156127,[4 6] ; [13 26],[3.46938776 6.53061224] ; [13.53061224 25.46938776],0
v4,1,0.704531,0.143801,[40 15] ; [62 20],[40.94890511 14.05109489] ; [61.05109489 20.94890511],0
n1,1,0.716341,0.132025,[ 8 14] ; [12 17],[ 8.62745098 13.37254902] ; [11.37254902 17.62745098],0
p9,1,0.761793,0.091886,[38 15] ; [54 24],[37.22137405 15.77862595] ; [54.77862595 23.22137405],0
b2,1,0.782187,0.076436,[16 22] ; [18 28],[15.38095238 22.61904762] ; [18.61904762 27.38095238],0
b3,1,0.782187,0.076436,[16 22] ; [18 28],[15.38095238 22.61904762] ; [18.61904762 27.38095238],0
a1,1,0.789586,0.071208,[ 4 51] ; [ 7 75],[ 4.41605839 50.58394161] ; [ 6.58394161 75.41605839],0
b4,1,0.809164,0.058325,[32 23] ; [46 36],[31.31386861 23.68613139] ; [46.68613139 35.31386861],0
v1,1,0.856003,0.032929,[18 33] ; [27 53],[17.51908397 33.48091603] ; [27.48091603 52.51908397],0
r4,1,0.916914,0.010883,[27 28] ; [41 41],[27.29927007 27.70072993] ; [40.70072993 41.29927007],0
b1,1,0.916914,0.010883,[27 28] ; [41 41],[27.29927007 27.70072993] ; [40.70072993 41.29927007],0
